Name,AIC
preserved ~ RndCumErr,3166.802148
preserved ~ RndCumErr,3175.639657
preserved ~ RndCumErr,3175.768448
preserved ~ RndCumErr,3176.789811
preserved ~ RndCumErr,3182.295254
preserved ~ RndCumErr,3183.815884
preserved ~ RndCumErr,3187.605884
preserved ~ RndCumErr,3188.584134
preserved ~ RndCumErr,3188.860979
preserved ~ RndCumErr,3191.32
preserved ~ RndCumErr,3192.009532
preserved ~ RndCumErr,3192.938744
preserved ~ RndCumErr,3194.195015
preserved ~ RndCumErr,3195.01213
preserved ~ RndCumErr,3195.137801
preserved ~ RndCumErr,3196.446875
preserved ~ RndCumErr,3197.523696
preserved ~ RndCumErr,3197.889507
preserved ~ RndCumErr,3198.432418
preserved ~ RndCumErr,3198.704374
preserved ~ RndCumErr,3201.77903
preserved ~ RndCumErr,3202.414983
preserved ~ RndCumErr,3203.516625
preserved ~ RndCumErr,3204.713628
preserved ~ RndCumErr,3207.28739
preserved ~ RndCumErr,3208.022955
preserved ~ RndCumErr,3208.991842
preserved ~ RndCumErr,3209.428817
preserved ~ RndCumErr,3211.053386
preserved ~ RndCumErr,3211.381647
preserved ~ RndCumErr,3211.555665
preserved ~ RndCumErr,3214.093099
preserved ~ RndCumErr,3214.231526
preserved ~ RndCumErr,3215.75384
preserved ~ RndCumErr,3215.790092
preserved ~ RndCumErr,3215.901277
preserved ~ RndCumErr,3217.703048
preserved ~ RndCumErr,3218.33683
preserved ~ RndCumErr,3218.835321
preserved ~ RndCumErr,3219.547275
preserved ~ RndCumErr,3220.152173
preserved ~ RndCumErr,3220.421799
preserved ~ RndCumErr,3221.349544
preserved ~ RndCumErr,3222.086237
preserved ~ RndCumErr,3222.212494
preserved ~ RndCumErr,3222.386498
preserved ~ RndCumErr,3222.557993
preserved ~ RndCumErr,3222.789869
preserved ~ RndCumErr,3224.870409
preserved ~ RndCumErr,3225.040755
preserved ~ RndCumErr,3225.419813
preserved ~ RndCumErr,3225.602485
preserved ~ RndCumErr,3226.136372
preserved ~ RndCumErr,3226.305876
preserved ~ RndCumErr,3226.325321
preserved ~ RndCumErr,3227.34239
preserved ~ RndCumErr,3228.479945
preserved ~ RndCumErr,3230.061638
preserved ~ RndCumErr,3230.112432
preserved ~ RndCumErr,3230.647667
preserved ~ RndCumErr,3230.798935
preserved ~ RndCumErr,3231.672624
preserved ~ RndCumErr,3232.292651
preserved ~ RndCumErr,3233.2081
preserved ~ RndCumErr,3233.45851
preserved ~ RndCumErr,3233.519736
preserved ~ RndCumErr,3233.569482
preserved ~ RndCumErr,3233.612404
preserved ~ RndCumErr,3234.412781
preserved ~ RndCumErr,3234.926953
preserved ~ RndCumErr,3235.509214
preserved ~ RndCumErr,3236.262816
preserved ~ RndCumErr,3238.271744
preserved ~ RndCumErr,3238.747773
preserved ~ RndCumErr,3238.955442
preserved ~ RndCumErr,3239.006461
preserved ~ RndCumErr,3239.537902
preserved ~ RndCumErr,3239.655927
preserved ~ RndCumErr,3240.158021
preserved ~ RndCumErr,3241.75397
preserved ~ RndCumErr,3243.069947
preserved ~ RndCumErr,3243.093069
preserved ~ RndCumErr,3243.882846
preserved ~ RndCumErr,3244.403035
preserved ~ RndCumErr,3244.864414
preserved ~ RndCumErr,3245.121758
preserved ~ RndCumErr,3246.96654
preserved ~ RndCumErr,3247.198983
preserved ~ RndCumErr,3249.157374
preserved ~ RndCumErr,3252.723204
preserved ~ RndCumErr,3253.568197
preserved ~ RndCumErr,3255.464583
preserved ~ RndCumErr,3256.665024
preserved ~ RndCumErr,3258.50691
preserved ~ RndCumErr,3260.301289
preserved ~ RndCumErr,3267.25075
preserved ~ RndCumErr,3267.310073
preserved ~ RndCumErr,3269.256723
preserved ~ RndCumErr,3294.871896
preserved ~ RndCumErr,3294.922283
***preserved ~ CumErr,3308.610774
Random average,3223.643426
Random SD,24.53787289
