"Name","AIC"
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3089.1083334128
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3097.43491723168
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3100.59075053555
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3112.42409571836
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3113.13538382018
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3114.29102507196
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3116.97682099951
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3118.62679775374
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3119.25652751402
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3120.15436485218
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3120.35195946664
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3121.57725955362
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3122.47006059442
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3125.4313338496
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3126.49654524089
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3127.90491983891
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3130.09829269941
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3132.9480520923
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3133.297693787
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3133.60887447806
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3134.73955054014
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3135.61521507664
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3137.59469115892
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3138.22955665314
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3139.30577569386
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3139.4113274532
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3139.4888963341
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3139.58949331482
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3139.64625657149
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3139.87648754227
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3141.0326497997
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3141.52763609476
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3142.22334435512
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3142.44779950068
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3142.71039916942
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3144.27085203887
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3144.50268684779
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3145.85778531646
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3147.79722703624
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3147.98736041159
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3148.46278489187
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3149.66296945669
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3149.67744074598
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3150.15187948234
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3151.77898289376
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3152.99457319652
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3153.01522375948
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3153.19552089984
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3153.31976631414
