"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",3386.00803932004,0,1,0.222040857136574,0.0485600414040261,3.28241547487144,-0.125860239968007,-0.085142354166055,NA,-0.331581368822405,0.0411652799492369,NA,0.0225812511098196,-0.00237010844366452,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos",3386.13876232115,0.130723001111164,0.936728774190628,0.20799205992578,0.0459075805717098,3.2978151065207,-0.128759562823752,NA,NA,-0.32714123354165,NA,NA,0.0215318746343297,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",3386.14174747118,0.133708151139217,0.935331679121316,0.207681847739088,0.0491542877368408,3.24994017502226,-0.123577322566757,0.0519813928264672,-0.0187340261424848,-0.330206999017017,NA,0.0384674449250822,0.0226168756268854,NA,-0.00142460203975532,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",3386.23823667443,0.230197354393567,0.891278190734,0.197900173417713,0.0469901891879222,3.23192811585362,-0.120101228194291,0.0365600948062663,NA,-0.325311077575094,NA,NA,0.0213154884470681,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + I(pos^2) + pos",3388.02038915967,2.01234983963514,0.365614814260252,0.0811814267401758,0.0470576197396869,3.2190240557183,-0.119148289861854,0.0811322414753382,-0.00567869123055546,-0.323972655334811,NA,NA,0.0211663155950733,NA,NA,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",3389.57888142806,3.57084210802122,0.167726424246671,0.0372421190041834,0.0460073048457868,3.24196747395888,-0.127207797811667,NA,NA,-0.231036657094081,NA,NA,0.00176428770004765,NA,NA,-0.00831061743593338,0.00194181703157298
"preserved ~ stimlen * pos",3390.58559724127,4.57755792122907,0.101390187713935,0.0225127641852404,0.0447556037270566,3.56803007688328,-0.199122306133988,NA,NA,-0.343808497254801,NA,NA,NA,NA,NA,0.0242142759490593,NA
"preserved ~ stimlen * log_freq + pos * log_freq",3392.94418606647,6.93614674642731,0.0311770393544599,0.00692257654124498,0.0463474476270064,2.80850522927921,-0.10901132613695,0.0973051108840112,-0.0200224840908195,-0.133074945318603,NA,0.0229575864954851,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",3393.02006419763,7.01202487759156,0.0300163682194127,0.00666486012756542,0.0456452067717619,2.8408560307286,-0.111277731455891,-0.0333367391732593,NA,-0.134502880776257,0.0167510316758611,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",3394.00409272844,7.9960534083998,0.0183518167450961,0.00407485312009446,0.0445460376368001,2.82062276622966,-0.106863184957323,0.0374505103908853,NA,-0.139352726179489,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos",3394.05627458768,8.04823526764631,0.0178791931905991,0.00396991138095102,0.0434077379482555,2.88383157812237,-0.115616533062374,NA,NA,-0.139255756123674,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos",3395.64824436528,9.64020504524024,0.00806596015333928,0.00179097270607691,0.0446518460414139,2.80816443657971,-0.105786607635358,0.0926923208841817,-0.00704701801957376,-0.13931914515588,NA,NA,NA,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",3405.81343156443,19.8053922443869,5.00395871803156e-05,1.11108328282776e-05,0.0408761486512365,2.37379191796002,NA,-0.0510365598405965,NA,-0.30619719234851,0.0394942099738873,NA,0.0151163904410957,-0.00275578585133231,NA,NA,NA
"preserved ~ I(pos^2) + pos",3407.45925353378,21.4512142137405,2.19749562153566e-05,4.87933811359648e-06,0.0374269654136622,2.37559881484101,NA,NA,NA,-0.304145550710947,NA,NA,0.0141547303536232,NA,NA,NA,NA
"preserved ~ pos + log_freq",3407.62032116428,21.6122818442423,2.02746155053356e-05,4.5017930049192e-06,0.0387218588202923,2.1450886874622,NA,0.0534741540551084,NA,-0.173559780093013,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos * log_freq",3407.82186452922,21.8138252091858,1.83310795133442e-05,4.07024860738164e-06,0.0393841509638737,2.13859063910605,NA,-0.00104737100653937,NA,-0.170771795613486,0.0130053286539927,NA,NA,NA,NA,NA,NA
"preserved ~ pos",3410.59799797866,24.5899586586206,4.57465473744231e-06,1.01576025900558e-06,0.0363038348196774,2.15822561463176,NA,NA,NA,-0.177870926828575,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + log_freq",3438.20355638948,52.1955170694409,4.63326860491202e-12,1.02877493237864e-12,0.0257570772327809,2.83264128674015,-0.180853965943282,0.0369910825257894,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen",3438.22942037523,52.2213810551875,4.57373696932938e-12,1.01555647698713e-12,0.0246188930420749,2.89493740111882,-0.189431240899388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",3439.83357368227,53.8255343622291,2.05084916623601e-12,4.55372306728871e-13,0.0258686471390996,2.82002063594788,-0.179746145233557,0.0931391087538642,-0.00715264640431042,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ 1",3497.81500001915,111.806960699113,5.26534660482583e-25,1.16912207325668e-25,0,1.45437756336001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
