"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos","stimlen","CumPres"
"preserved ~ CumErr + I(pos^2) + pos",3293.74966598562,0,1,0.999407492390105,0.0782705490714443,2.35655471197528,-0.495067180786876,0.027068681897489,-0.291098573575019,NA,NA
"preserved ~ CumErr + stimlen",3297.71767668503,0,1,0.995707348620111,0.0773615277042482,2.46982659997894,-0.491197555331823,NA,NA,-0.0957199996623631,NA
"preserved ~ CumErr + CumPres",3306.01705289634,0,1,0.785306170377497,0.0745215248365996,1.90222353501086,-0.531936244889753,NA,NA,NA,-0.0573670201328261
"preserved ~ CumErr + pos",3306.01705289634,0,1,0.785306170377497,0.0745215248365996,1.9595905551437,-0.474569224756931,NA,-0.0573670201328278,NA,NA
"preserved ~ CumErr",3308.61077430186,14.8611083162414,0.000592858883295091,0.000592507609895145,0.0721294324680469,1.77494858323495,-0.54484065786183,NA,NA,NA,NA
"preserved ~ CumErr",3308.61077430186,10.8930976168376,0.00431115767683908,0.00429265137988868,0.0721294324680469,1.77494858323495,-0.54484065786183,NA,NA,NA,NA
"preserved ~ CumErr",3308.61077430186,2.59372140552159,0.273388695671778,0.214693829622503,0.0721294324680469,1.77494858323495,-0.54484065786183,NA,NA,NA,NA
"preserved ~ CumErr",3308.61077430186,2.59372140552159,0.273388695671778,0.214693829622503,0.0721294324680469,1.77494858323495,-0.54484065786183,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",3407.45925353378,113.709587548157,2.03365273054812e-25,2.03244777582938e-25,0.0374269654136622,2.37559881484101,NA,0.0141547303536232,-0.304145550710947,NA,NA
"preserved ~ pos",3410.59799797866,104.580945082317,1.95225399068386e-23,1.53311710502813e-23,0.0363038348196774,2.15822561463176,NA,NA,-0.177870926828575,NA,NA
"preserved ~ stimlen",3438.22942037523,140.5117436902,3.07795691537689e-31,3.06474431937686e-31,0.0246188930420749,2.89493740111882,NA,NA,NA,-0.189431240899388,NA
"preserved ~ CumPres",3485.03578776152,179.018734865178,1.3383683117322e-39,1.05102889344101e-39,0.00679221872439202,1.66424246445523,NA,NA,NA,NA,-0.0898368809754757
