"Name","AIC"
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3069.60342271814
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3070.86383183339
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3073.63831812588
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3076.93298731274
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3089.62239208835
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3093.80895744065
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3095.51881227071
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3095.66758105812
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3101.06653505033
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3101.52011891272
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3103.15923167616
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3107.24313974919
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3110.85928621155
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3112.04390777589
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3113.90243579263
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3115.09170564233
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3116.04401779651
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3116.41172855947
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3116.77607294206
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3117.20007961895
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3117.37896851554
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3119.27780285424
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3119.52774259424
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3119.55559408614
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3121.56036453678
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3123.34117605727
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3123.43120088758
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3123.95767129604
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3124.58017852349
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3124.66362547152
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3124.98061651675
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3125.49318530917
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3125.81007547504
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3126.49928191008
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3126.74904513232
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3127.0690971058
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3127.12190110781
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3128.17973715572
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3128.66347734909
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3131.5235293346
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3131.97352271009
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3132.5148151754
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3132.86781567872
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3133.28821552843
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3133.95411609046
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3134.31170635148
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3134.99514631203
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3135.57528674273
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",3136.10854326415
