"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ stimlen * log_freq + I(pos^2) + pos",3492.78902442791,0,1,0.477455949151073,0.0505702901138844,3.73761425286565,-0.188047968093532,0.41700175712132,-0.0380028037374781,-0.306584616718257,NA,NA,0.0299019781821292,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",3493.09375541785,0.304730989944801,0.858674382210823,0.40997919217018,0.0516530646741231,3.72919546777547,-0.191814100594017,0.341678790889257,-0.0438109142006541,-0.29331244442089,NA,0.0487065369727063,0.0292127119545573,NA,-0.00368535673968905,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",3496.50088813678,3.71186370887426,0.156307219213193,0.0746298117086,0.04785639744394,3.7611472161524,-0.186245767830197,0.10974343143989,NA,-0.315266997337441,NA,NA,0.0308759091106537,NA,NA,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",3498.29127283791,5.50224840999999,0.0638560335675603,0.0304884431160223,0.0485547401404748,3.73196086494088,-0.187008220086371,0.00306879053682273,NA,-0.294541305622403,0.0558190626473252,NA,0.0285691415868885,-0.0057520585429772,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",3502.7811111085,9.99208668059237,0.00676465957389826,0.00322982695753949,0.0465627549661823,3.16551954592961,-0.173899451521281,0.431970363864642,-0.0464439284085056,-0.0382070971583052,NA,0.0129295453129979,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos",3502.84800813196,10.0589837040493,0.00654213409825212,0.00312358084535457,0.0460000953825354,3.16564954000696,-0.170468927435068,0.430638144331656,-0.0396370119512683,-0.0450456160199883,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",3506.2601562848,13.4711318568948,0.00118790274193936,0.000567171231151819,0.0440667665969321,3.16737477739116,-0.193539961982124,0.430581559372443,-0.0396429548113568,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",3507.3165146193,14.5274901913913,0.000700479753384947,0.00033444822551352,0.0429615893267412,3.17209273708314,-0.168174170171287,0.110309152433588,NA,-0.0451513942798575,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",3509.25829835597,16.4692739280613,0.000265303271909346,0.000126670625502362,0.0429640214320504,3.1724692792871,-0.168415738190106,0.107057047764117,NA,-0.0447029956486527,0.000783920160204771,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + log_freq",3510.74276563562,17.9537412077166,0.000126297464521317,6.03014757983996e-05,0.0410202929010196,3.17377836408454,-0.191294423947996,0.11016278830344,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",3516.79730179192,24.0082773640138,6.11883596084644e-06,2.92147463138566e-06,0.0402788123668282,2.53444570081039,-0.0314865345891051,NA,NA,0.442436657435246,NA,NA,-0.0422528817563896,NA,NA,-0.0959726047273497,0.00920046023358109
"preserved ~ stimlen + I(pos^2) + pos",3517.91266105682,25.1236366289095,3.50325397423389e-06,1.67264945138511e-06,0.0385535167269964,4.00821479326863,-0.220253604516636,NA,NA,-0.317343060325085,NA,NA,0.0311249243852405,NA,NA,NA,NA
"preserved ~ stimlen + pos",3529.03279234221,36.2437679142986,1.34823561636311e-08,6.43723115889931e-09,0.0335110565537218,3.4152632300058,-0.202254215451641,NA,NA,-0.0448672527229343,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * pos",3530.83886478282,38.04984035491,5.46489910535224e-09,2.6092485893608e-09,0.0337427490401921,3.71111840100614,-0.237337592501129,NA,NA,-0.135444386978418,NA,NA,NA,NA,NA,0.0104479611783061,NA
"preserved ~ stimlen",3532.42245313303,39.63342870512,2.47577006347797e-09,1.18207114553769e-09,0.0315713810723251,3.41663611994434,-0.225186041122778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",3537.40193030686,44.6129058789516,2.05319679446591e-10,9.80311024295663e-11,0.0328712109456413,2.33534426828399,NA,0.0609451206422102,NA,-0.25560294668014,0.0542969956641974,NA,0.0179307348924223,-0.00651206172941003,NA,NA,NA
"preserved ~ pos + log_freq",3539.6813952142,46.8923707862896,6.56827098576689e-11,3.13606005779079e-11,0.0296218565947544,2.0504598828091,NA,0.143053331374174,NA,-0.0919722018116333,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos * log_freq",3541.73383490589,48.9448104779813,2.35379938914766e-11,1.12383552145671e-11,0.0297461449743641,2.05991330709594,NA,0.166016588899485,NA,-0.0948446239377157,-0.00561758375166528,NA,NA,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",3577.4351591045,84.6461346765941,4.16222350797488e-19,1.98727837557906e-19,0.0144361504638378,2.36876861321941,NA,NA,NA,-0.27616416014697,NA,NA,0.0190583138548309,NA,NA,NA,NA
"preserved ~ pos",3580.53672690903,87.7477024811201,8.82731259858209e-20,4.21465291520924e-20,0.0124586719739965,2.08063834858312,NA,NA,NA,-0.106521505604396,NA,NA,NA,NA,NA,NA,NA
"preserved ~ 1",3611.07943644386,118.290412015954,2.0585593837245e-26,9.82871424440031e-27,-3.91727528955202e-16,1.65897031804698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
