"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos","stimlen","CumPres"
"preserved ~ CumErr + I(pos^2) + pos",3307.83640080872,0,1,0.999999716570916,0.110319739451028,2.34593747643869,-0.746420572824266,0.040316120217165,-0.259803841796476,NA,NA
"preserved ~ CumErr + stimlen",3322.18424630482,0,1,0.999630274844305,0.105789474022493,2.93860526315006,-0.56390050193855,NA,NA,-0.119395495731482,NA
"preserved ~ CumErr + CumPres",3326.03007323368,0,1,0.997476212099391,0.103027993836606,1.86357352703553,-0.633421602385826,NA,NA,NA,0.0823854671816849
"preserved ~ CumErr + pos",3326.03007323368,0,1,0.99747621209939,0.103027993836606,1.78118805985384,-0.715807069567513,NA,0.0823854671816876,NA,NA
"preserved ~ CumErr",3337.98900801938,30.1526072106612,2.83429164595956e-07,2.83429084263888e-07,0.0986054662385317,2.04439609786362,-0.621002974154149,NA,NA,NA,NA
"preserved ~ CumErr",3337.98900801938,15.8047617145585,0.000369861902945064,0.000369725155695411,0.0986054662385317,2.04439609786362,-0.621002974154149,NA,NA,NA,NA
"preserved ~ CumErr",3337.98900801938,11.9589347857027,0.00253017352193044,0.00252378790060935,0.0986054662385317,2.04439609786362,-0.621002974154149,NA,NA,NA,NA
"preserved ~ CumErr",3337.98900801938,11.9589347857022,0.00253017352193101,0.00252378790060992,0.0986054662385317,2.04439609786362,-0.621002974154149,NA,NA,NA,NA
"preserved ~ stimlen",3532.42245313303,210.238206828203,2.22512003755244e-46,2.22429735470012e-46,0.0315713810723251,3.41663611994434,NA,NA,NA,-0.225186041122778,NA
"preserved ~ I(pos^2) + pos",3577.4351591045,269.59875829578,2.86664208271905e-59,2.86664127022931e-59,0.0144361504638378,2.36876861321941,NA,0.0190583138548309,-0.27616416014697,NA,NA
"preserved ~ pos",3580.53672690903,254.506653675347,5.42728153244963e-56,5.41358422498483e-56,0.0124586719739965,2.08063834858312,NA,NA,-0.106521505604396,NA,NA
"preserved ~ CumPres",3607.32912078868,281.299047555004,8.25444619687377e-62,8.23361372543587e-62,0.00192483498862892,1.54687493854492,NA,NA,NA,NA,0.049280031432493
