"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ stimlen * log_freq + I(pos^2) + pos",1157.34269928186,0,1,0.362113094273834,0.0793358469488268,2.59778034848894,0.0249971148447218,-0.448861822659069,0.103825321383944,-0.32264987148604,NA,NA,0.0259123403678273,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos",1157.73900753664,0.396308254781161,0.820243421416602,0.297020883386922,0.076685830276754,2.15804669287773,0.0372601841038707,-0.410559772400412,0.0984229252800949,-0.106062503041615,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",1159.63281922312,2.29011994126017,0.318204834273792,0.115226137151775,0.0768024085569888,2.15559690989248,0.0419205943079881,-0.411130185044098,0.103061055302774,-0.114026826758678,NA,-0.00859329855802987,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",1160.00409787922,2.66139859735836,0.264292377352409,0.0957037305560685,0.0809095314771277,2.79114932838779,0.0137417196446125,-0.225304003802997,0.093669023063313,-0.421680172667984,NA,-0.105725274920391,0.0406556271520467,NA,0.0138717607255846,NA,NA
"preserved ~ stimlen * log_freq",1160.95030037794,3.60760109608555,0.164671854146795,0.0596298346449054,0.0689786803357494,2.17124676111125,-0.0195523173249197,-0.405180205397927,0.0973974086494436,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos + log_freq",1163.44973771504,6.10703843318561,0.0471925510023111,0.0170890406701226,0.0637603577353215,2.31941557806332,NA,0.300293068184288,NA,-0.10893995322345,NA,NA,NA,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",1163.68609715884,6.34339787698605,0.0419322969592315,0.0151842338019166,0.071213875876023,2.77847074924073,NA,0.436609450533024,NA,-0.435643150552633,-0.133597483027337,NA,0.0450512261984978,0.0210333564244053,NA,NA,NA
"preserved ~ pos * log_freq",1164.46403699525,7.12133771339336,0.028419809575739,0.010291185184144,0.0653180226301757,2.2513978523855,NA,0.193756435436246,NA,-0.0866867393360445,0.0283511455755137,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",1164.69955509717,7.35685581531152,0.0252626588661721,0.00914793957161388,0.0719360979421378,3.07243267158181,-0.0434960391475763,0.418903151229208,NA,-0.44773932258026,-0.135193647488944,NA,0.0484218822879206,0.0215362119647633,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",1165.20247331513,7.85977403327001,0.019645892086674,0.00711403477327535,0.0638712708943664,2.4163723468242,-0.0166198682689331,0.294407257441872,NA,-0.103494579780255,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",1165.7236985573,8.38099927544658,0.0151387191079849,0.00548192841953483,0.0654145721696016,2.75861454848425,-0.0283099578947225,0.295247478124777,NA,-0.265917488430216,NA,NA,0.0194555956927148,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",1166.12688625453,8.78418697267102,0.0123747956185622,0.00448107553244383,0.0654956723037738,2.37342754975125,-0.0211192702390523,0.183994780852936,NA,-0.0793497981960519,0.0289704957763042,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + log_freq",1168.29331597714,10.9506166952781,0.0041889367020835,0.00151686883090869,0.0562956486393178,2.42832314075333,-0.071736421012925,0.292953755129312,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * pos",1193.51878019249,36.1760809106306,1.39464553838338e-08,5.05019411319202e-09,0.0308274008099151,4.20797085129081,-0.266592609839731,NA,NA,-0.439181384992571,NA,NA,NA,NA,NA,0.0416016364344325,NA
"preserved ~ stimlen + pos",1194.13442664221,36.7917273603566,1.02512757040126e-08,3.71212116543417e-09,0.0273166256007625,3.11072866521989,-0.126541656767763,NA,NA,-0.101137194631741,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos",1194.84322796095,37.5005286790949,7.19223158778001e-09,2.60440123498503e-09,0.0286821347619404,3.43010450992013,-0.137873725450986,NA,NA,-0.250974159534957,NA,NA,0.0179573499325907,NA,NA,NA,NA
"preserved ~ stimlen",1197.10250270864,39.7598034267837,2.3241726437411e-09,8.41613347651687e-10,0.019761817111349,3.12012449312762,-0.180022127949358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",1197.53072400747,40.1880247256108,1.87620941748061e-09,6.7939999766961e-10,0.0308534851806964,4.35856495047024,-0.287046048302552,NA,NA,-0.535451601472721,NA,NA,0.0120809957752494,NA,NA,0.0543041538589409,-0.00154390344453187
"preserved ~ pos",1199.77801727289,42.4353179910304,6.0994093244006e-10,2.20867598370138e-10,0.0197909887455469,2.38636847476024,NA,NA,NA,-0.149596372305476,NA,NA,NA,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",1201.4950991373,44.1523998554451,2.58480740983032e-10,9.35992609275593e-11,0.0201143159980928,2.50706784146069,NA,NA,NA,-0.222840388924131,NA,NA,0.00854255157465657,NA,NA,NA,NA
"preserved ~ 1",1212.74084361467,55.3981443328162,9.34212780349415e-13,3.38290680602488e-13,0,1.83460096419302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
