"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos","stimlen","CumPres"
"preserved ~ CumErr + CumPres",838.817910753102,0,1,0.999844850591478,0.409962382255989,2.14581832724384,-1.37506010230466,NA,NA,NA,0.244361252247761
"preserved ~ CumErr + pos",838.817910753102,0,1,0.999844850591478,0.409962382255989,1.90145707499609,-1.61942135455242,NA,0.244361252247759,NA,NA
"preserved ~ CumErr + I(pos^2) + pos",839.358185646294,0,1,0.999796741634225,0.411476819553613,2.2392597673355,-1.6124663327405,0.0321109837035588,0.00290936485143072,NA,NA
"preserved ~ CumErr",856.359844388958,17.0016587426638,0.000203299688137644,0.00020325836577527,0.391415613242042,2.61561264263988,-1.43168692831327,NA,NA,NA,NA
"preserved ~ CumErr",856.359844388958,0,1,0.738319631813142,0.391415613242042,2.61561264263988,-1.43168692831327,NA,NA,NA,NA
"preserved ~ CumErr",856.359844388958,17.5419336358559,0.000155173483596437,0.000155149408522238,0.391415613242042,2.61561264263988,-1.43168692831327,NA,NA,NA,NA
"preserved ~ CumErr",856.359844388958,17.5419336358558,0.000155173483596445,0.000155149408522247,0.391415613242042,2.61561264263988,-1.43168692831327,NA,NA,NA,NA
"preserved ~ CumErr + stimlen",858.434350481026,2.07450609206853,0.354426940462401,0.261680368186858,0.391680740600452,2.41381465220176,-1.44142289661114,NA,NA,0.0296144255142024,NA
"preserved ~ CumPres",1151.24437038,312.426459626896,1.43699842368373e-68,1.43677547422825e-68,0.0770391993801127,1.18525108769851,NA,NA,NA,NA,0.377614539132338
"preserved ~ stimlen",1197.10250270864,340.742658319684,1.02016841021081e-74,7.53210365014245e-75,0.019761817111349,3.12012449312762,NA,NA,NA,-0.180022127949358,NA
"preserved ~ pos",1199.77801727289,360.960106519787,4.15440445803995e-79,4.15375990464552e-79,0.0197909887455469,2.38636847476024,NA,NA,-0.149596372305476,NA,NA
"preserved ~ I(pos^2) + pos",1201.4950991373,362.13691349101,2.30657929193428e-79,2.30611046039687e-79,0.0201143159980928,2.50706784146069,NA,0.00854255157465657,-0.222840388924131,NA,NA
