"Name","AIC"
"***preserved ~ CumErr",1542.34046882844
"preserved ~ RndCumErr",1814.80718433298
"preserved ~ RndCumErr",1821.45965367749
"preserved ~ RndCumErr",1826.49688144679
"preserved ~ RndCumErr",1837.04762801579
"preserved ~ RndCumErr",1837.65090731272
"preserved ~ RndCumErr",1840.68383786326
"preserved ~ RndCumErr",1844.91289675779
"preserved ~ RndCumErr",1845.5123465233
"preserved ~ RndCumErr",1849.04979655188
"preserved ~ RndCumErr",1852.22614068798
"preserved ~ RndCumErr",1852.94372870736
"preserved ~ RndCumErr",1854.53333908678
"preserved ~ RndCumErr",1854.76020706227
"preserved ~ RndCumErr",1856.28157230283
"preserved ~ RndCumErr",1856.91512454386
"preserved ~ RndCumErr",1858.33663067637
"preserved ~ RndCumErr",1858.9007723886
"preserved ~ RndCumErr",1858.94672462792
"preserved ~ RndCumErr",1859.05961001045
"preserved ~ RndCumErr",1862.95688170136
"preserved ~ RndCumErr",1867.45797883882
"preserved ~ RndCumErr",1867.62706278918
"preserved ~ RndCumErr",1869.21683686125
"preserved ~ RndCumErr",1872.90056509911
"preserved ~ RndCumErr",1874.62646448014
"preserved ~ RndCumErr",1876.31415165499
"preserved ~ RndCumErr",1876.57457062579
"preserved ~ RndCumErr",1877.79036473113
"preserved ~ RndCumErr",1877.93384982325
"preserved ~ RndCumErr",1878.18690181243
"preserved ~ RndCumErr",1878.47337135154
"preserved ~ RndCumErr",1879.18572265864
"preserved ~ RndCumErr",1880.22857535994
"preserved ~ RndCumErr",1880.8382808265
"preserved ~ RndCumErr",1881.03014085761
"preserved ~ RndCumErr",1881.91702184311
"preserved ~ RndCumErr",1882.6183026111
"preserved ~ RndCumErr",1882.85680806678
"preserved ~ RndCumErr",1884.67905266982
"preserved ~ RndCumErr",1885.45999142022
"preserved ~ RndCumErr",1886.69136571393
"preserved ~ RndCumErr",1887.01161407673
"preserved ~ RndCumErr",1887.57290095889
"preserved ~ RndCumErr",1887.60226900936
"preserved ~ RndCumErr",1888.91168375617
"preserved ~ RndCumErr",1889.05833135786
"preserved ~ RndCumErr",1890.33504611012
"preserved ~ RndCumErr",1890.75669330427
"preserved ~ RndCumErr",1891.44190687044
"preserved ~ RndCumErr",1891.85405076864
"preserved ~ RndCumErr",1891.93540141337
"preserved ~ RndCumErr",1893.28840464662
"preserved ~ RndCumErr",1894.13193572331
"preserved ~ RndCumErr",1894.33111486819
"preserved ~ RndCumErr",1895.32172976463
"preserved ~ RndCumErr",1897.02034502463
"preserved ~ RndCumErr",1899.16770866007
"preserved ~ RndCumErr",1900.07599157335
"preserved ~ RndCumErr",1902.90330675918
"preserved ~ RndCumErr",1903.96412745239
"preserved ~ RndCumErr",1906.26805786453
"preserved ~ RndCumErr",1906.71073654668
"preserved ~ RndCumErr",1907.72446032753
"preserved ~ RndCumErr",1908.01789298114
"preserved ~ RndCumErr",1910.08629813738
"preserved ~ RndCumErr",1910.24041737793
"preserved ~ RndCumErr",1910.29186666677
"preserved ~ RndCumErr",1911.20739777816
"preserved ~ RndCumErr",1912.61671858078
"preserved ~ RndCumErr",1914.16859713171
"preserved ~ RndCumErr",1914.88577231347
"preserved ~ RndCumErr",1915.67020036986
"preserved ~ RndCumErr",1916.0633782347
"preserved ~ RndCumErr",1916.73719587047
"preserved ~ RndCumErr",1917.83003375629
"preserved ~ RndCumErr",1918.46541818156
"preserved ~ RndCumErr",1918.85275711901
"preserved ~ RndCumErr",1920.66458236292
"preserved ~ RndCumErr",1920.83624294972
"preserved ~ RndCumErr",1923.44863150128
"preserved ~ RndCumErr",1926.06680945631
"preserved ~ RndCumErr",1926.30808069985
"preserved ~ RndCumErr",1926.81833215564
"preserved ~ RndCumErr",1932.77363800358
"preserved ~ RndCumErr",1933.27243744576
"preserved ~ RndCumErr",1933.75226000953
"preserved ~ RndCumErr",1934.93264478339
"preserved ~ RndCumErr",1937.23362493853
"preserved ~ RndCumErr",1937.36780187404
"preserved ~ RndCumErr",1937.57024443359
"preserved ~ RndCumErr",1938.37947591126
"preserved ~ RndCumErr",1938.90882631551
"preserved ~ RndCumErr",1941.66763100578
"preserved ~ RndCumErr",1949.28582057811
"preserved ~ RndCumErr",1949.42887097894
"preserved ~ RndCumErr",1951.06087010631
"preserved ~ RndCumErr",1957.06976790214
"preserved ~ RndCumErr",1964.41749664528
"preserved ~ RndCumErr",1971.72549450576
"preserved ~ RndCumErr",1982.61158038288
"Random average",1895.14212170655
"Random SD",34.1779154301635
