"Name","AIC"
"***preserved ~ CumErr + I(pos^2) + pos + log_freq",1515.41477516841
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1615.13469465369
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1658.58324002574
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1660.38468775136
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1665.64605620656
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1670.00790189988
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1670.57671931094
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1680.11879724677
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1689.86235904686
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1690.07779289254
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1692.74904814306
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1701.33397651037
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1703.19486559099
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1706.53815521597
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1708.07805745938
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1709.49529382792
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1710.51080223463
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1713.97073912506
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1719.17346796814
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1723.19114816822
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1727.49965334377
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1735.00244365954
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1735.18722474118
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1735.82826865584
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1738.01606201064
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1739.86814884464
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1740.3278223962
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1740.68434226079
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1742.23154854361
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1742.5530366764
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1742.6584604367
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1743.17439389965
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1743.81434079758
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1743.902576789
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1744.17504201624
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1744.59225981017
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1744.80552003218
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1744.86627338752
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1744.93316230603
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1745.46186513007
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1747.26068327295
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1747.42998999306
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1747.70163788683
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1747.80013086554
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1748.37041597526
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1749.88508602548
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1752.69424719262
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1753.06725056522
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1754.77091343504
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1755.26616925764
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1755.59898573488
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1756.48783616506
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1757.54119650562
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1758.06418815973
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1758.10194084602
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1758.33375378369
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1759.32881184866
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1761.43345289774
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1761.46986199682
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1762.20688108279
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1763.18512100127
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1763.97958925493
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1764.40221765669
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1764.50198034692
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1764.65380629412
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1766.63283697202
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1768.4314068625
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1768.75934580823
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1769.69080593783
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1770.1014923204
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1771.04368339241
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1772.47780230253
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1773.07771915035
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1773.74719411168
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1775.31725230433
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1775.79438495586
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1776.66894502103
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1776.77771102949
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1776.91419260669
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1778.05385450675
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1778.21304812716
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1778.76297730997
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1780.07608917345
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1780.23209411347
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1782.23295990949
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1782.80749544669
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1786.03014353095
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1786.03648387976
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1786.37629091839
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1787.73852100988
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1791.89773795422
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1801.49584636516
