"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ stimlen + I(pos^2) + pos + log_freq",2296.85731446431,0,1,0.404291159015428,0.0938018230452224,4.46546063063942,-0.0203929436236623,0.19309140883107,NA,-0.544201627691802,NA,NA,0.0282463172865088,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + I(pos^2) + pos",2298.62736709676,1.7700526324561,0.412703312341656,0.166852300476115,0.0939001155849709,4.46031519666321,-0.018152149765436,0.122527406445211,0.00865198511949169,-0.547528582349449,NA,NA,0.0285693727057654,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",2298.67322157928,1.81590711497211,0.403348810164874,0.163070357949051,0.0938961276383881,4.33344157546829,NA,0.206708578617139,NA,-0.557288436309414,-0.0160424438070717,NA,0.0295232274050191,0.00239308039526592,NA,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",2300.06444776502,3.20713330071476,0.201177706343512,0.081334368065684,0.0940518642871599,4.51063385687419,-0.024431518750194,0.19802046138465,NA,-0.560854456712863,-0.0153770355574324,NA,0.0307983940795742,0.00244756612320331,NA,NA,NA
"preserved ~ pos + log_freq",2300.28565448438,3.42834002007521,0.180113150799057,0.0728181544904712,0.0908497186890967,3.78399284927623,NA,0.194865277792463,NA,-0.273525565938377,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",2302.06539091747,5.20807645316745,0.0739742494617529,0.0299071350521885,0.0940595603399066,4.50621284864215,-0.0233232013406678,0.177579575842591,0.00278495106359665,-0.561055459115827,NA,-0.0150464399830161,0.0307268957780438,NA,0.00231406461390055,NA,NA
"preserved ~ pos * log_freq",2302.10706219905,5.24974773474605,0.0724488946273658,0.0292904475782843,0.0909020689694029,3.77090686378341,NA,0.173295449902656,NA,-0.27051116025846,0.00439760462300133,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",2302.27227696374,5.41496249943748,0.0667046075511339,0.0269680830985172,0.0908502459811586,3.79280143455638,-0.00138117768050902,0.19464394990754,NA,-0.273065242841571,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",2304.06937044744,7.21205598313372,0.0271595107095324,0.0109803500630488,0.0909050247907309,3.79153789851012,-0.00329921246614286,0.172076438104812,NA,-0.269316804869509,0.00453844972623476,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos",2304.1713807165,7.31406625219506,0.0258089712120712,0.0104343388843241,0.0908943323940974,3.78465051717914,0.000188797746502548,0.148327720569697,0.00568885256833249,-0.273197328267662,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",2306.06252339785,9.20520893354023,0.0100256901349232,0.00405329788457764,0.0909167195542478,3.78719552471748,-0.00189355652474474,0.150565243787714,0.00337403962110343,-0.270365323303215,NA,0.00334009685470494,NA,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos",2333.71381079138,36.8564963270769,9.92461141244168e-09,4.01243265071379e-09,0.0739016555332179,4.87167738925258,-0.0788432880379246,NA,NA,-0.55294477673861,NA,NA,0.0294013092145843,NA,NA,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",2335.2788066901,38.4214922257943,4.53815128896637e-09,1.83473444440357e-09,0.0751382807023755,3.23242519104428,0.142974827596698,NA,NA,0.114549896994589,NA,NA,-0.0207705080588241,NA,NA,-0.0902839385263173,0.00699441968975919
"preserved ~ I(pos^2) + pos",2336.1808585186,39.3235440542944,2.89068590056187e-09,1.16867875308771e-09,0.0721010968847986,4.30094218048692,NA,NA,NA,-0.543915907741566,NA,NA,0.0255733903714758,NA,NA,NA,NA
"preserved ~ stimlen + pos",2339.76576736245,42.9084528981393,4.81446284747778e-10,1.94644476464351e-10,0.0706266792074139,4.1732440960445,-0.0597683194686324,NA,NA,-0.270038717270292,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos",2340.43538608518,43.5780716208747,3.44462525618783e-10,1.392631537198e-10,0.0695533728942413,3.79777176946438,NA,NA,NA,-0.291815195846125,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * pos",2341.25247252231,44.3951580580001,2.28935908063322e-10,9.25567636111701e-11,0.0708070796917319,4.5312013436658,-0.102088753840444,NA,NA,-0.36422561985375,NA,NA,NA,NA,NA,0.0107899194237091,NA
"preserved ~ stimlen + log_freq",2391.05320948425,94.1958950199469,3.5125400716774e-21,1.42008889666659e-21,0.0421497121297556,3.90381540963959,-0.16753748218209,0.189584495197488,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",2392.99567666236,96.1383621980517,1.32990279600082e-21,5.37667942773032e-22,0.0421746660692229,3.89751167711346,-0.166402149892992,0.155369056425408,0.00419107294911684,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen",2427.52586448844,130.668550024133,4.22362044147287e-29,1.70757240352432e-29,0.0220470828610959,4.27648801934303,-0.222997183104663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ 1",2468.54276471086,171.685450246557,5.23574115137365e-38,2.11676385839363e-38,0,2.51057699172914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
