"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos","stimlen","CumPres"
"preserved ~ CumErr + I(pos^2) + pos",1531.30032522249,0,1,0.996010420181979,0.431445374386427,4.25516981830049,-2.15433510468439,0.0551327429145039,-0.50774002016642,NA,NA
"preserved ~ CumErr",1542.34046882844,11.0401436059403,0.00400556032063631,0.00398957981802123,0.425815137299715,3.33586909239936,-2.16253217242742,NA,NA,NA,NA
"preserved ~ CumErr",1542.34046882844,0,1,0.576948729224202,0.425815137299715,3.33586909239936,-2.16253217242742,NA,NA,NA,NA
"preserved ~ CumErr",1542.34046882844,0,1,0.746337040614671,0.425815137299715,3.33586909239936,-2.16253217242742,NA,NA,NA,NA
"preserved ~ CumErr",1542.34046882844,0,1,0.746337040615531,0.425815137299715,3.33586909239936,-2.16253217242742,NA,NA,NA,NA
"preserved ~ CumErr + stimlen",1542.96098888014,0.620520051707899,0.733256265846459,0.423051270775798,0.426378437904907,3.71020847859039,-2.14464355170655,NA,NA,-0.0487376190281104,NA
"preserved ~ CumErr + CumPres",1544.4988105103,2.15834168186666,0.339877221123069,0.25366295938533,0.425881196015441,3.37323835791614,-2.1615257047221,NA,NA,NA,-0.0136875790466629
"preserved ~ CumErr + pos",1544.49881051031,2.15834168187575,0.339877221121524,0.253662959384469,0.425881196015441,3.38692593696302,-2.14783812567542,NA,-0.0136875790466659,NA,NA
"preserved ~ I(pos^2) + pos",2336.1808585186,804.880533296106,1.66883307701286e-175,1.66217513424916e-175,0.0721010968847986,4.30094218048692,NA,0.0255733903714758,-0.543915907741566,NA,NA
"preserved ~ pos",2340.43538608518,798.094917256746,4.96467358727106e-174,3.70531979274598e-174,0.0695533728942413,3.79777176946438,NA,NA,-0.291815195846125,NA,NA
"preserved ~ stimlen",2427.52586448844,885.185395660005,6.08742469468066e-193,3.51213194184403e-193,0.0220470828610959,4.27648801934303,NA,NA,NA,-0.222997183104663,NA
"preserved ~ CumPres",2469.7942275736,927.453758745163,4.03622323622016e-202,3.01238290538072e-202,0.000261949079786075,2.46020301840494,NA,NA,NA,NA,0.0190979796671705
