Name,AIC
preserved ~ RndCumErr,1529.144408
preserved ~ RndCumErr,1543.755905
preserved ~ RndCumErr,1552.009043
preserved ~ RndCumErr,1567.899085
preserved ~ RndCumErr,1570.834862
preserved ~ RndCumErr,1572.682232
preserved ~ RndCumErr,1578.992233
preserved ~ RndCumErr,1585.331486
preserved ~ RndCumErr,1598.397306
preserved ~ RndCumErr,1598.794202
preserved ~ RndCumErr,1602.454828
preserved ~ RndCumErr,1606.395782
preserved ~ RndCumErr,1606.886681
preserved ~ RndCumErr,1610.047811
preserved ~ RndCumErr,1611.596287
preserved ~ RndCumErr,1612.584399
preserved ~ RndCumErr,1612.846627
preserved ~ RndCumErr,1615.151983
preserved ~ RndCumErr,1615.766393
preserved ~ RndCumErr,1616.237114
preserved ~ RndCumErr,1616.862085
preserved ~ RndCumErr,1619.748678
preserved ~ RndCumErr,1619.758251
preserved ~ RndCumErr,1620.210468
preserved ~ RndCumErr,1624.291204
preserved ~ RndCumErr,1624.751505
preserved ~ RndCumErr,1625.242798
preserved ~ RndCumErr,1625.451551
preserved ~ RndCumErr,1629.380168
preserved ~ RndCumErr,1629.645105
preserved ~ RndCumErr,1632.13732
preserved ~ RndCumErr,1633.145833
preserved ~ RndCumErr,1634.739639
preserved ~ RndCumErr,1635.550161
preserved ~ RndCumErr,1637.560646
preserved ~ RndCumErr,1637.869553
preserved ~ RndCumErr,1638.723238
preserved ~ RndCumErr,1638.953062
preserved ~ RndCumErr,1640.246165
preserved ~ RndCumErr,1640.50882
preserved ~ RndCumErr,1640.888723
preserved ~ RndCumErr,1640.946986
preserved ~ RndCumErr,1641.385042
preserved ~ RndCumErr,1642.709877
preserved ~ RndCumErr,1643.531178
preserved ~ RndCumErr,1643.657891
preserved ~ RndCumErr,1643.993056
preserved ~ RndCumErr,1644.159703
preserved ~ RndCumErr,1644.310768
preserved ~ RndCumErr,1644.52618
preserved ~ RndCumErr,1644.700997
preserved ~ RndCumErr,1644.857976
preserved ~ RndCumErr,1645.936628
preserved ~ RndCumErr,1646.201066
preserved ~ RndCumErr,1646.790117
preserved ~ RndCumErr,1647.287761
preserved ~ RndCumErr,1649.001947
preserved ~ RndCumErr,1649.367148
preserved ~ RndCumErr,1650.300446
preserved ~ RndCumErr,1650.59759
preserved ~ RndCumErr,1651.052648
preserved ~ RndCumErr,1651.373965
preserved ~ RndCumErr,1651.914817
preserved ~ RndCumErr,1653.87832
preserved ~ RndCumErr,1654.75145
preserved ~ RndCumErr,1655.543171
preserved ~ RndCumErr,1656.729059
preserved ~ RndCumErr,1657.249475
preserved ~ RndCumErr,1657.595597
preserved ~ RndCumErr,1659.130833
preserved ~ RndCumErr,1660.546221
preserved ~ RndCumErr,1660.665038
preserved ~ RndCumErr,1663.039674
preserved ~ RndCumErr,1663.642181
preserved ~ RndCumErr,1665.441138
preserved ~ RndCumErr,1667.367865
preserved ~ RndCumErr,1667.842597
preserved ~ RndCumErr,1668.014049
preserved ~ RndCumErr,1668.404432
preserved ~ RndCumErr,1673.842537
preserved ~ RndCumErr,1674.652209
preserved ~ RndCumErr,1675.517627
preserved ~ RndCumErr,1675.834124
preserved ~ RndCumErr,1679.690062
preserved ~ RndCumErr,1680.672822
preserved ~ RndCumErr,1682.765381
preserved ~ RndCumErr,1683.277689
preserved ~ RndCumErr,1683.566833
preserved ~ RndCumErr,1686.137095
preserved ~ RndCumErr,1686.292525
preserved ~ RndCumErr,1689.754562
preserved ~ RndCumErr,1690.320876
preserved ~ RndCumErr,1690.695937
preserved ~ RndCumErr,1691.380847
preserved ~ RndCumErr,1692.509407
preserved ~ RndCumErr,1693.820168
preserved ~ RndCumErr,1705.240636
preserved ~ RndCumErr,1706.914031
preserved ~ RndCumErr,1715.19643
preserved ~ RndCumErr,1721.759051
***preserved ~ CumErr,1908.774345
Random average,1643.317594
Random SD,35.97732862
