"Name","AIC"
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1520.67338183424
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1543.56954624759
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1546.50686799507
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1554.58164162477
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1564.93811360277
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1565.06560396621
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1567.11839281604
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1567.29558159307
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1569.52147152343
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1570.90874319368
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1572.34588907975
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1573.70156998989
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1578.89503125246
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1580.53112334723
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1583.77131516044
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1585.3776076652
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1587.28670270789
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1588.74620966967
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1591.91684735884
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1592.029937866
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1592.33491194579
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1593.21977889568
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1594.53821192683
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1596.78041646725
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1597.29291932949
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1597.47069639228
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1597.93951249838
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1599.16314482075
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1600.88280545372
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1601.2140302842
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1603.62905275661
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1604.8231488056
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1606.26198790565
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1606.42233463798
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1608.16842017234
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1609.14884376802
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1609.18750783447
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1610.03176851211
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1611.23381444605
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1611.65652702866
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1612.17345378477
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1613.43755518773
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1615.37094793644
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1616.53220362354
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1618.48302220469
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1619.0289036519
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1619.13110245514
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1619.21727451748
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1619.3399923062
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1620.89539370005
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1621.69528068188
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1621.92492031347
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1623.68878487315
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1623.75181446041
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1624.06110949131
"preserved ~ RndCumErr + RndCumPres + stimlen + log_freq",1625.81690032679
