"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ stimlen + pos + log_freq",2113.402084166,0,1,0.275351560808473,0.0231275429744445,3.37676613303023,-0.148471230291585,0.0927185250621966,NA,0.140988613792575,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",2114.58474101639,1.18265685039205,0.553591391300531,0.152432253644736,0.023266056511859,3.47689590207925,-0.151188683599897,0.0926264007993874,NA,0.0873621969125724,NA,NA,0.00659244589977094,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos",2114.59923345773,1.19714929173324,0.54959444478525,0.151331688183285,0.0235304108952534,3.36553501993971,-0.148647154979456,0.225137329195051,-0.016600722799165,0.140997142636863,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",2115.23077684306,1.82869267705792,0.400778513961487,0.110354989357796,0.0234032841540515,3.37717483708704,-0.150742130922554,0.0556100020018019,NA,0.147318837692913,0.0106600349233129,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + I(pos^2) + pos",2115.84445692704,2.44237276103604,0.294880119291547,0.0811957010983163,0.023652893980972,3.46014247482234,-0.15122511626837,0.222695501710244,-0.0163066007950887,0.0905013561093295,NA,NA,0.00621105950544455,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",2116.06124395157,2.65915978557132,0.264588393447399,0.0728548271075477,0.0240927799582169,3.36012315545836,-0.151667730480914,0.218281191179722,-0.0227450673242263,0.14998944357609,NA,0.0160484069608786,NA,NA,NA,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",2116.4397790606,3.03769489460001,0.218964109249867,0.060292109242988,0.0245402989763178,3.446952846381,-0.152698335348669,-0.0578978520186804,NA,0.115724310678962,0.0856564422024532,NA,0.00342011090535242,-0.00902051917137293,NA,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",2117.0683492631,3.66626509709795,0.159911850722988,0.0440319776883463,0.0234435360169822,1.05713171089361,0.142738204496511,NA,NA,1.89039291729219,NA,NA,-0.22158921388978,NA,NA,-0.215824228170806,0.0267130821407918
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",2117.59425948509,4.1921753190959,0.122936457898256,0.0338507455625498,0.0250506490131551,3.43563057767846,-0.153723838996783,0.0916484853319405,-0.0196884995958653,0.11613338150442,NA,0.0843060561235319,0.00372766020419971,NA,-0.00827577913143228,NA,NA
"preserved ~ stimlen + pos",2120.22017743515,6.81809326914936,0.0330727157343759,0.00910662389763536,0.0185795223922688,3.58921451051545,-0.177725199984944,NA,NA,0.140680483823775,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos",2121.36713532134,7.96505115534319,0.0186385068476772,0.00513214195164734,0.0187278481997766,3.69241042912789,-0.180505263024719,NA,NA,0.0853453913555819,NA,NA,0.00679954926722269,NA,NA,NA,NA
"preserved ~ stimlen * pos",2121.94296001062,8.54087584462286,0.0139756615590311,0.00384822022361018,0.0189657891850837,3.18079084895682,-0.129125376118684,NA,NA,0.287140396702373,NA,NA,NA,NA,NA,-0.0169722687139296,NA
"preserved ~ pos + log_freq",2128.55600366033,15.1539194943352,0.000512115820205605,0.000141011890408325,0.0151650756634723,2.3525161693282,NA,0.125960660136767,NA,0.106408334992198,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos * log_freq",2130.60811913613,17.2060349701346,0.000183551094503492,5.054108035964e-05,0.0152496155801604,2.34336107334213,NA,0.105510304442435,NA,0.109839375388401,0.00596753493793265,NA,NA,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",2132.42541981877,19.0233356527665,7.39835470692055e-05,2.03714851596529e-05,0.0163791891039328,2.30158637662966,NA,-0.0136582151044561,NA,0.14421362146637,0.0864617534248965,NA,-0.0047867063186979,-0.00986077285838432,NA,NA,NA
"preserved ~ stimlen + log_freq",2136.08640142216,22.6843172561648,1.18621413539539e-05,3.26625913634194e-06,0.0104295725338399,3.41254371809008,-0.0869379673334462,0.0921930791149369,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",2137.28298143891,23.8808972729125,6.52122291178504e-06,1.79562890713999e-06,0.0108334474372957,3.4014828802355,-0.0871269635137525,0.224328344514565,-0.0165564469016622,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen",2142.84267017112,29.4405860051161,4.04629904951422e-07,1.11415475878158e-07,0.00588812566238751,3.62382246902528,-0.11617247092023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos",2144.56653680884,31.1644526428454,1.70893322281696e-07,4.70557430220105e-08,0.00609299601710433,2.37411200118685,NA,NA,NA,0.094295706666023,NA,NA,NA,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",2146.72877896382,33.3266947978177,5.7969582773204e-08,1.59620150960177e-08,0.00611505885547966,2.34227763961702,NA,NA,NA,0.115622735998301,NA,NA,-0.00259961421900864,NA,NA,NA,NA
"preserved ~ 1",2153.84032143077,40.4382372647742,1.65557305312216e-09,4.55864624209635e-10,6.10764310088439e-16,2.71775312730104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
