"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos","stimlen","CumPres"
"preserved ~ CumErr + pos",1799.72493092601,0,1,1,0.190082629363583,2.02557298704759,-1.47621471597036,NA,0.375871801608896,NA,NA
"preserved ~ CumErr + CumPres",1799.72493092601,0,1,1,0.190082629363583,2.40144478865654,-1.10034291436145,NA,NA,NA,0.375871801608896
"preserved ~ CumErr + I(pos^2) + pos",1799.99664464183,0,1,1,0.190465418037885,2.16883571762303,-1.47928001624437,0.0131333005088758,0.274066974896538,NA,NA
"preserved ~ CumErr",1908.77434473263,108.777700090795,2.39454249235745e-24,2.39454249235745e-24,0.133628672320898,3.15601152274077,-1.04833953761032,NA,NA,NA,NA
"preserved ~ CumErr",1908.77434473263,0,1,0.603504555494391,0.133628672320898,3.15601152274077,-1.04833953761032,NA,NA,NA,NA
"preserved ~ CumErr",1908.77434473263,109.049413806616,2.09035796942874e-24,2.09035796942874e-24,0.133628672320898,3.15601152274077,-1.04833953761032,NA,NA,NA,NA
"preserved ~ CumErr",1908.77434473263,109.049413806618,2.09035796942637e-24,2.09035796942637e-24,0.133628672320898,3.15601152274077,-1.04833953761032,NA,NA,NA,NA
"preserved ~ CumErr + stimlen",1909.61452280708,0.840178074450478,0.656988320793702,0.396495444505609,0.133933709727349,3.38041091875666,-1.03866335016576,NA,NA,-0.02930429856848,NA
"preserved ~ CumPres",2052.82303013634,253.098099210328,1.09760497380645e-55,1.09760497380645e-55,0.0561714111891358,2.02601058093463,NA,NA,NA,NA,0.335798134441252
"preserved ~ stimlen",2142.84267017112,234.068325438488,1.48836324584795e-51,8.98233999099656e-52,0.00588812566238751,3.62382246902528,NA,NA,NA,-0.11617247092023,NA
"preserved ~ pos",2144.56653680884,344.841605882835,1.31400409058482e-75,1.31400409058482e-75,0.00609299601710433,2.37411200118685,NA,NA,0.094295706666023,NA,NA
"preserved ~ I(pos^2) + pos",2146.72877896382,346.732134321984,5.10591619966758e-76,5.10591619966758e-76,0.00611505885547966,2.34227763961702,NA,-0.00259961421900864,0.115622735998301,NA,NA
