"Name","AIC"
"***preserved ~ CumErr + I(pos^2) + pos + stimlen + log_freq",808.336802073392
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",861.883113621515
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",870.47561333444
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",874.339938795559
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",877.134611664942
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",879.498252057039
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",882.061616494422
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",883.001004096099
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",886.109107195499
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",892.26460812025
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",893.609380540826
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",893.894700324082
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",894.981026806462
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",897.756426517967
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",898.520921107787
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",900.484297602193
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",901.093571460421
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",901.327651659723
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",902.750786203448
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",903.051968486041
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",904.4550724244
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",905.30281919705
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",905.953582238839
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",906.753430859911
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",906.831926026576
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",906.880971733947
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",907.144211967695
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",907.309488255979
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",907.670539814992
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",907.840189263732
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",908.037799388563
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",909.433203721181
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",909.823086449757
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",910.244558379812
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",913.854037402662
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",914.443063524627
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",915.29306676766
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",915.363552696895
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",916.077168458514
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",916.523018403003
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",917.176355277873
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",918.221124178116
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",918.846374501526
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",919.85111265778
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",920.348688711485
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",920.372438879439
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",921.255786714162
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",921.535264728799
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",922.286980954048
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",922.679254554659
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",922.77756235206
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",923.207652193477
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",924.643257899322
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",924.921988839652
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",925.153510404929
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",926.836147656754
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",926.959685117406
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",927.345164956181
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",929.297876732346
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",929.887282173647
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",930.330433466355
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",930.769376416666
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",931.916642762486
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",933.784173327352
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",934.047601147861
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",934.4596113303
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",935.001377663162
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",935.523874553888
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",935.663785069507
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",936.437051119255
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",937.060474969643
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",937.904669408717
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",938.64444407749
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",940.134308887566
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",940.702021425991
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",940.819335921685
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",940.961120506599
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",941.003914017412
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",941.535709746366
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",942.424704116763
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",942.432002561506
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",942.701008685494
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",943.027157343878
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",943.947650435317
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",947.06374212921
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",948.991626992717
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",950.12913027977
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",950.344034521388
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",950.448595490305
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",951.745737402434
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",951.76130690378
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",951.887620657761
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",953.913929823204
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",954.65451461023
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",956.34315620037
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",956.428393528099
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",962.921274465578
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",975.40305227495
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",982.941417745585
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",986.043807150587
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",995.793877804049
"Random average",923.911245594894
"Random SD",24.9340054593022
