"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ stimlen * log_freq + I(pos^2) + pos",1268.86609016143,0,1,0.49509692518768,0.164797708969638,2.48453028612436,0.049078672530941,-0.196363255189755,0.0913833963050053,-0.464123931491444,NA,NA,0.0315134091288817,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",1270.76052772763,1.89443756619994,0.387818131265791,0.192007564321725,0.16723339756706,2.71905245797757,0.0258452650984552,0.0400707577833086,0.0683520814227714,-0.560911368068845,NA,-0.0906855402919778,0.0479651948062635,NA,0.0151659627439543,NA,NA
"preserved ~ stimlen * log_freq + pos",1271.4644623044,2.59837214296635,0.272753704729982,0.135039520545362,0.161380478665551,1.94448527332399,0.0675937702173057,-0.16390040758968,0.0868691776433812,-0.206897992445933,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",1272.96932527823,4.10323511680213,0.128526835689352,0.0636332411539002,0.161834204980449,1.9526231543349,0.0577211867322761,-0.165399197690443,0.077372638191383,-0.191495863486311,NA,0.0181659952209459,NA,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",1273.22004300528,4.35395284385186,0.113383837769337,0.0561359894455774,0.163016592779926,2.82695034411476,NA,0.516065709166667,NA,-0.568956348762537,-0.116500545139813,NA,0.0513699730614816,0.0211346451407025,NA,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",1274.56898232494,5.70289216350875,0.0577607337093307,0.028597161656074,0.163117263296289,2.93787227418292,-0.0167178145655143,0.509876545845174,NA,-0.57353590659142,-0.116453861290682,NA,0.0526646881791599,0.0212336004665772,NA,NA,NA
"preserved ~ pos * log_freq",1275.99319977301,7.12710961157472,0.0283379096884325,0.0140300119529891,0.156250840895579,2.19221107892659,NA,0.271641886783769,NA,-0.161903759378603,0.0455604694621358,NA,NA,NA,NA,NA,NA
"preserved ~ pos + log_freq",1277.86010013923,8.99400997779935,0.0111423179803242,0.00551652737152193,0.152679440658363,2.30360633481741,NA,0.44077956821923,NA,-0.194605699474296,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",1278.23046624573,9.36437608429628,0.00925873320916687,0.00458397034299157,0.156276037645684,2.14624006326305,0.00815780501209646,0.274813721175399,NA,-0.164806531294197,0.045287463156872,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",1278.65888779441,9.79279763297973,0.00747344792669089,0.0037000810890549,0.155440127227178,2.69606602973039,-0.00257875489983705,0.44525868658671,NA,-0.422184267635787,NA,NA,0.0270980377864434,NA,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",1280.26744527653,11.4013551151043,0.00334369914117297,0.00165545516354743,0.15277300322833,2.21445099694205,0.0156619174347212,0.444947769136386,NA,-0.199897469280287,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",1292.59616175637,23.7300715949411,7.03202531602493e-06,3.48153411180586e-06,0.133269254838134,1.97985923571505,-0.0469882572225585,-0.133924942124596,0.0809376825194056,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + log_freq",1300.4029116298,31.5368214683658,1.41862049464744e-07,7.02354644908171e-08,0.125433173619391,2.23760179938435,-0.092704966981764,0.435080178386864,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos",1367.47940791407,98.6133177526417,3.85824790400374e-22,1.91020667388406e-22,0.061433657252957,3.46504778505198,-0.142314576966698,NA,NA,-0.40053486222098,NA,NA,0.0260953733558498,NA,NA,NA,NA
"preserved ~ stimlen + pos",1369.01268650166,100.146596340225,1.79243292996483e-22,8.87428032230729e-23,0.0586169851638202,2.99893008783026,-0.124749583211321,NA,NA,-0.185900626290183,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * pos",1370.17902169179,101.312931530359,1.00040636323244e-22,4.95298114374568e-23,0.0594414976108676,3.52112162698732,-0.193172756743587,NA,NA,-0.344401625712404,NA,NA,NA,NA,NA,0.020017225762733,NA
"preserved ~ stimlen * (I(pos^2) + pos)",1371.32500602356,102.458915862126,5.6406494399047e-23,2.79266819375842e-23,0.0615036340056222,3.3262518221706,-0.117994286591123,NA,NA,-0.370640814093418,NA,NA,0.030056975398115,NA,NA,-0.0075551816509594,-4.14984422263056e-05
"preserved ~ pos",1378.21259326653,109.346503105099,1.80180813347366e-24,8.92069666660962e-25,0.0513327550889547,2.29572724749808,NA,NA,NA,-0.232470651790901,NA,NA,NA,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",1379.02873054765,110.162640386219,1.19808211260117e-24,5.931667700712e-25,0.0524212526943657,2.51750942895394,NA,NA,NA,-0.366245131419203,NA,NA,0.0157919915568313,NA,NA,NA,NA
"preserved ~ stimlen",1387.49422036602,118.628130204591,1.73871670550681e-26,8.60833294668874e-27,0.0315796740517539,3.01100090013953,-0.223643213045036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ 1",1421.37700059566,152.510910434226,7.63267172598791e-34,3.77891230250356e-34,0,1.44006585563945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
