"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos","stimlen","CumPres"
"preserved ~ CumErr + I(pos^2) + pos",835.908115141085,0,1,0.999942773201842,0.51718891987628,2.21521941684643,-2.00657632688597,0.0482411515270403,-0.0983183455722554,NA,NA
"preserved ~ CumErr + pos",836.506348625116,0,1,0.9999228216423,0.514628541446312,1.7380343475763,-2.00905969167832,NA,0.250279154092182,NA,NA
"preserved ~ CumErr + CumPres",836.506348625116,0,1,0.9999228216423,0.514628541446312,1.98831350166849,-1.75878053758614,NA,NA,NA,0.250279154092182
"preserved ~ CumErr",855.44497722427,19.5368620831852,5.72300732516246e-05,5.72267981577741e-05,0.499437237216782,2.43649039357263,-1.79552154581739,NA,NA,NA,NA
"preserved ~ CumErr",855.44497722427,0,1,0.592023557374016,0.499437237216782,2.43649039357263,-1.79552154581739,NA,NA,NA,NA
"preserved ~ CumErr",855.44497722427,18.9386285991544,7.71843146583833e-05,7.71783576997378e-05,0.499437237216782,2.43649039357263,-1.79552154581739,NA,NA,NA,NA
"preserved ~ CumErr",855.44497722427,18.9386285991545,7.71843146583789e-05,7.71783576997334e-05,0.499437237216782,2.43649039357263,-1.79552154581739,NA,NA,NA,NA
"preserved ~ CumErr + stimlen",856.189651210027,0.744673985756776,0.68912197419239,0.407976442625984,0.499635304724395,2.63081527193821,-1.78790662514413,NA,NA,-0.0287707611870366,NA
"preserved ~ CumPres",1367.34667938878,530.840330763663,5.36397554052971e-116,5.36356155770675e-116,0.0594067798627053,0.899352280223297,NA,NA,NA,NA,0.313007755531797
"preserved ~ pos",1378.21259326653,541.706244641414,2.34414013056078e-118,2.34395921367529e-118,0.0513327550889547,2.29572724749808,NA,NA,-0.232470651790901,NA,NA
"preserved ~ I(pos^2) + pos",1379.02873054765,543.120615406564,1.15573126097062e-118,1.15566512217103e-118,0.0524212526943657,2.51750942895394,NA,0.0157919915568313,-0.366245131419203,NA,NA
"preserved ~ stimlen",1387.49422036602,532.049243141751,2.9307231939123e-116,1.7350571709385e-116,0.0315796740517539,3.01100090013953,NA,NA,NA,-0.223643213045036,NA
