"Name","AIC"
"***preserved ~ CumErr",1313.55019028445
"preserved ~ RndCumErr",1448.23115240031
"preserved ~ RndCumErr",1467.48104100447
"preserved ~ RndCumErr",1471.0479225594
"preserved ~ RndCumErr",1478.53121706634
"preserved ~ RndCumErr",1482.55800409665
"preserved ~ RndCumErr",1482.63536709129
"preserved ~ RndCumErr",1483.59026920693
"preserved ~ RndCumErr",1485.98958683635
"preserved ~ RndCumErr",1487.21653822736
"preserved ~ RndCumErr",1490.90554263444
"preserved ~ RndCumErr",1490.96105861617
"preserved ~ RndCumErr",1493.29016338021
"preserved ~ RndCumErr",1493.83210744703
"preserved ~ RndCumErr",1495.1856611733
"preserved ~ RndCumErr",1498.93712632792
"preserved ~ RndCumErr",1500.95899884906
"preserved ~ RndCumErr",1504.78639475306
"preserved ~ RndCumErr",1506.71481180541
"preserved ~ RndCumErr",1511.18320634126
"preserved ~ RndCumErr",1511.65627508942
"preserved ~ RndCumErr",1512.31178112792
"preserved ~ RndCumErr",1512.51893255703
"preserved ~ RndCumErr",1513.52431856806
"preserved ~ RndCumErr",1517.70346548697
"preserved ~ RndCumErr",1519.83527243726
"preserved ~ RndCumErr",1521.16740572235
"preserved ~ RndCumErr",1521.85639939711
"preserved ~ RndCumErr",1522.16909011244
"preserved ~ RndCumErr",1526.50544064853
"preserved ~ RndCumErr",1526.8639064673
"preserved ~ RndCumErr",1527.20785391863
"preserved ~ RndCumErr",1527.48627436355
"preserved ~ RndCumErr",1528.13657909912
"preserved ~ RndCumErr",1528.17790246899
"preserved ~ RndCumErr",1528.34554636386
"preserved ~ RndCumErr",1528.50451968679
"preserved ~ RndCumErr",1529.4854295578
"preserved ~ RndCumErr",1530.00889342875
"preserved ~ RndCumErr",1530.44228565636
"preserved ~ RndCumErr",1530.7578068805
"preserved ~ RndCumErr",1531.61821117394
"preserved ~ RndCumErr",1532.19158322921
"preserved ~ RndCumErr",1533.98896893334
"preserved ~ RndCumErr",1534.19068810357
"preserved ~ RndCumErr",1534.43468496842
"preserved ~ RndCumErr",1535.37902318185
"preserved ~ RndCumErr",1535.46581239046
"preserved ~ RndCumErr",1535.7950682896
"preserved ~ RndCumErr",1539.47488579074
"preserved ~ RndCumErr",1541.48417898056
"preserved ~ RndCumErr",1541.50396702923
"preserved ~ RndCumErr",1541.56722521181
"preserved ~ RndCumErr",1542.77689588262
"preserved ~ RndCumErr",1543.9074020636
"preserved ~ RndCumErr",1545.66753263557
"preserved ~ RndCumErr",1546.03541211193
"preserved ~ RndCumErr",1546.50053380955
"preserved ~ RndCumErr",1547.14474371606
"preserved ~ RndCumErr",1547.75526550898
"preserved ~ RndCumErr",1548.20325539724
"preserved ~ RndCumErr",1549.23750653952
"preserved ~ RndCumErr",1549.39217136441
"preserved ~ RndCumErr",1549.72923694491
"preserved ~ RndCumErr",1549.7484993274
"preserved ~ RndCumErr",1549.97411071493
"preserved ~ RndCumErr",1552.5679508219
"preserved ~ RndCumErr",1552.7113750102
"preserved ~ RndCumErr",1552.80176778026
"preserved ~ RndCumErr",1552.90684475854
"preserved ~ RndCumErr",1553.17301465843
"preserved ~ RndCumErr",1553.32797670299
"preserved ~ RndCumErr",1557.27431704695
"preserved ~ RndCumErr",1557.39239584043
"preserved ~ RndCumErr",1559.74793954785
"preserved ~ RndCumErr",1561.22149500032
"preserved ~ RndCumErr",1561.36170739387
"preserved ~ RndCumErr",1562.33271334611
"preserved ~ RndCumErr",1563.00420728664
"preserved ~ RndCumErr",1563.01999423859
"preserved ~ RndCumErr",1563.54421013318
"preserved ~ RndCumErr",1565.75485232488
"preserved ~ RndCumErr",1566.4243811011
"preserved ~ RndCumErr",1567.07318998381
"preserved ~ RndCumErr",1567.55392988511
"preserved ~ RndCumErr",1569.28933096945
"preserved ~ RndCumErr",1569.84215227298
"preserved ~ RndCumErr",1570.66593912812
"preserved ~ RndCumErr",1572.51814209262
"preserved ~ RndCumErr",1573.4087058083
"preserved ~ RndCumErr",1573.7403204452
"preserved ~ RndCumErr",1574.3623620747
"preserved ~ RndCumErr",1574.82903141811
"preserved ~ RndCumErr",1576.38237815694
"preserved ~ RndCumErr",1578.00716690842
"preserved ~ RndCumErr",1580.64949419202
"preserved ~ RndCumErr",1583.31216745154
"preserved ~ RndCumErr",1584.71867639543
"preserved ~ RndCumErr",1586.73240925984
"preserved ~ RndCumErr",1599.46371681324
"preserved ~ RndCumErr",1606.40556323224
"Random average",1537.29390231635
"Random SD",31.2667218623634
