"Name","AIC"
"***preserved ~ CumErr + I(pos^2) + pos + log_freq",1281.33131474375
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1310.99476769885
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1318.37791447272
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1320.31535401455
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1321.55338524827
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1323.45897757108
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1337.84495992824
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1339.5527980756
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1343.72334599706
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1344.39594695371
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1348.1627786779
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1349.14995519923
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1349.41754994945
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1350.00635445239
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1351.95533431248
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1352.27895024426
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1352.78267812024
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1353.25521217196
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1354.7723697669
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1355.42650920446
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1357.63884579524
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1357.90912785363
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1360.71728223246
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1361.20005928552
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1363.28913641467
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1363.46682544573
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1364.39405440566
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1368.63369480272
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1369.93657867347
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1371.04069933679
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1371.20001464922
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1372.1262476868
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1373.53373842976
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1373.62633310254
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1373.65543029852
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1376.46727225557
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1377.09185594693
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1377.19827057469
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1377.76702534084
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1380.07376297328
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1380.51236626855
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1382.17147488385
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1382.80791828705
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1382.96514986374
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1383.59163851007
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1384.20452986939
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1384.50516684891
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1384.67784938261
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1385.76531098185
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1386.28468706399
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1387.67652968796
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1388.74001750287
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1389.05868259095
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1389.41449472726
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1389.44472818173
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1390.86869568041
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1391.68810681966
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1392.05463946064
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1392.31973196352
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1392.66008904007
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1393.58348117803
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1395.57308197347
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1396.32844171461
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1396.64815899945
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1396.70599040753
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1396.76839964326
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1398.26837948346
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1398.32362858378
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1398.83033731628
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1398.92895820861
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1399.84283917935
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1400.53603007649
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1400.91716141984
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1401.49112254672
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1403.10130057079
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1403.320169514
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1405.1453494513
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1406.26976295494
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1406.43792018432
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1406.69272239168
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1408.53480239016
"preserved ~ RndCumErr + I(pos^2) + pos + log_freq",1409.76782460947
