"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos","stimlen","CumPres"
"preserved ~ CumErr + I(pos^2) + pos",1296.28349901405,0,1,0.999821963805284,0.35133051853056,4.6910561576922,-2.10803306957472,0.0262044918625797,-0.441116543398487,NA,NA
"preserved ~ CumErr + CumPres",1297.18240634409,0,1,0.999720964360667,0.349843101223708,4.01406164163196,-2.31328088655955,NA,NA,NA,-0.188356999786653
"preserved ~ CumErr + pos",1297.18240634409,0,1,0.999720964360667,0.349843101223708,4.20241864141867,-2.12492388677287,NA,-0.188356999786657,NA,NA
"preserved ~ CumErr + stimlen",1311.60539421785,0,1,0.725597218569058,0.338267804924867,4.29190478806601,-2.29025830300485,NA,NA,-0.111999155200517,NA
"preserved ~ CumErr",1313.55019028445,17.2666912703903,0.00017806789724716,0.000178036194716333,0.335186159356321,3.4311288375424,-2.337889468003,NA,NA,NA,NA
"preserved ~ CumErr",1313.55019028445,1.94479606659797,0.378175073454786,0.274402781430942,0.335186159356321,3.4311288375424,-2.337889468003,NA,NA,NA,NA
"preserved ~ CumErr",1313.55019028445,16.367783940359,0.000279113521952929,0.000279035639332884,0.335186159356321,3.4311288375424,-2.337889468003,NA,NA,NA,NA
"preserved ~ CumErr",1313.55019028445,16.367783940357,0.000279113521953214,0.000279035639333169,0.335186159356321,3.4311288375424,-2.337889468003,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",1732.58194986015,436.298450846091,1.81549546037815e-95,1.81517223647486e-95,0.101264683860619,4.858779720421,NA,0.0180911161422131,-0.555583550492194,NA,NA
"preserved ~ pos",1732.79813913231,435.615732788218,2.55414477175752e-95,2.55343207433818e-95,0.100144724076637,4.47094418434993,NA,NA,-0.371308458662679,NA,NA
"preserved ~ stimlen",1837.73338066217,526.127986444326,5.6592562113208e-115,4.10634056610404e-115,0.0266559158331129,4.82620941361886,NA,NA,NA,-0.259103036254988,NA
"preserved ~ CumPres",1857.58528036244,560.402874018353,2.04202984681419e-122,2.04146004771034e-122,0.0142800462594428,3.20386104140925,NA,NA,NA,NA,-0.142587625332463
