"Name","AIC"
"preserved ~ RndCumErr",1140.11922594335
"preserved ~ RndCumErr",1162.71196501789
"preserved ~ RndCumErr",1164.91060945565
"***preserved ~ CumErr",1170.24573598571
"preserved ~ RndCumErr",1170.59012410931
"preserved ~ RndCumErr",1170.60650751414
"preserved ~ RndCumErr",1170.79757287912
"preserved ~ RndCumErr",1172.10824665035
"preserved ~ RndCumErr",1172.3523459933
"preserved ~ RndCumErr",1174.57339063304
"preserved ~ RndCumErr",1176.7790902005
"preserved ~ RndCumErr",1179.64149708827
"preserved ~ RndCumErr",1180.91593607668
"preserved ~ RndCumErr",1180.93879479157
"preserved ~ RndCumErr",1181.00443241159
"preserved ~ RndCumErr",1181.3132769957
"preserved ~ RndCumErr",1182.53216101178
"preserved ~ RndCumErr",1183.10753275851
"preserved ~ RndCumErr",1184.56699779232
"preserved ~ RndCumErr",1185.03452600505
"preserved ~ RndCumErr",1185.18778975015
"preserved ~ RndCumErr",1185.19195981705
"preserved ~ RndCumErr",1185.23240142154
"preserved ~ RndCumErr",1185.46145479993
"preserved ~ RndCumErr",1185.70378430714
"preserved ~ RndCumErr",1185.85281640998
"preserved ~ RndCumErr",1186.52670593811
"preserved ~ RndCumErr",1186.53252619503
"preserved ~ RndCumErr",1186.97324553547
"preserved ~ RndCumErr",1187.39574822783
"preserved ~ RndCumErr",1187.95965458492
"preserved ~ RndCumErr",1188.71783728915
"preserved ~ RndCumErr",1188.84799090448
"preserved ~ RndCumErr",1189.48346708512
"preserved ~ RndCumErr",1189.66587428814
"preserved ~ RndCumErr",1190.30829364956
"preserved ~ RndCumErr",1190.65103767784
"preserved ~ RndCumErr",1190.69538957849
"preserved ~ RndCumErr",1191.08369421707
"preserved ~ RndCumErr",1191.32326181454
"preserved ~ RndCumErr",1191.76658864667
"preserved ~ RndCumErr",1193.27281599206
"preserved ~ RndCumErr",1194.15424596957
"preserved ~ RndCumErr",1194.22822338421
"preserved ~ RndCumErr",1195.20473691597
"preserved ~ RndCumErr",1195.34049838191
"preserved ~ RndCumErr",1195.86544485467
"preserved ~ RndCumErr",1197.00832862974
"preserved ~ RndCumErr",1197.40299573422
"preserved ~ RndCumErr",1197.53582997247
"preserved ~ RndCumErr",1197.54031845784
"preserved ~ RndCumErr",1197.61204702174
"preserved ~ RndCumErr",1197.74306297196
"preserved ~ RndCumErr",1198.20881012341
"preserved ~ RndCumErr",1198.37778248722
"preserved ~ RndCumErr",1198.60443585575
"preserved ~ RndCumErr",1198.95583642844
"preserved ~ RndCumErr",1199.14764891835
"preserved ~ RndCumErr",1199.25493976848
"preserved ~ RndCumErr",1199.99542980687
"preserved ~ RndCumErr",1201.21854479107
"preserved ~ RndCumErr",1201.33957857116
"preserved ~ RndCumErr",1201.5697663772
"preserved ~ RndCumErr",1202.06756244511
"preserved ~ RndCumErr",1202.27252640499
"preserved ~ RndCumErr",1202.4597298756
"preserved ~ RndCumErr",1202.94653253063
"preserved ~ RndCumErr",1203.80977306244
"preserved ~ RndCumErr",1204.04507442766
"preserved ~ RndCumErr",1204.30629613795
"preserved ~ RndCumErr",1204.31709567107
"preserved ~ RndCumErr",1204.50371457934
"preserved ~ RndCumErr",1204.55721964331
"preserved ~ RndCumErr",1205.09334811144
"preserved ~ RndCumErr",1205.70528978008
"preserved ~ RndCumErr",1206.15459165686
"preserved ~ RndCumErr",1206.45776063279
"preserved ~ RndCumErr",1206.59197417038
"preserved ~ RndCumErr",1206.79651454007
"preserved ~ RndCumErr",1207.70428935091
"preserved ~ RndCumErr",1207.93512728739
"preserved ~ RndCumErr",1209.21231669183
"preserved ~ RndCumErr",1209.29677455577
"preserved ~ RndCumErr",1209.76470290959
"preserved ~ RndCumErr",1211.72222757109
"preserved ~ RndCumErr",1212.16126970993
"preserved ~ RndCumErr",1212.89618822662
"preserved ~ RndCumErr",1213.36699351806
"preserved ~ RndCumErr",1217.39835355325
"preserved ~ RndCumErr",1217.83656651379
"preserved ~ RndCumErr",1218.5713905409
"preserved ~ RndCumErr",1220.68177578658
"preserved ~ RndCumErr",1222.18275068284
"preserved ~ RndCumErr",1222.90041143969
"preserved ~ RndCumErr",1222.93407535185
"preserved ~ RndCumErr",1224.2696725682
"preserved ~ RndCumErr",1225.51210777184
"preserved ~ RndCumErr",1225.53690885152
"preserved ~ RndCumErr",1225.74679314445
"preserved ~ RndCumErr",1227.07195981373
"preserved ~ RndCumErr",1240.20541821385
"Random average",1196.91740154604
"Random SD",16.2025447546811
