"Name","AIC"
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1074.32818715933
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1078.68202234395
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1080.64914806299
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1081.51258800657
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1084.83319437385
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1091.15991310634
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1091.67367602573
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1093.15502027698
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1094.62680699387
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1095.22396187578
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1097.34821272375
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1098.87905197462
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1099.12889812697
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1103.39593956721
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1104.2432544253
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1104.3748783375
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1104.52719386593
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1105.45187980248
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1105.90079865404
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1106.10192112824
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1106.28866722306
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1108.16036517865
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1108.64331500506
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1110.0331451509
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1110.54698158527
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1111.81417047239
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1111.85828001422
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1112.64814277826
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1113.09921834343
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1113.69455500305
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1114.18732278561
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1114.62949990817
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1114.8763149874
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1115.64563140834
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1116.1594912874
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1116.44464758441
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1116.87867742271
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1117.04608311691
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1117.40372508026
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1118.2313613186
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1118.69619592729
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1119.28627577567
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1119.50892885769
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1119.51008969509
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1119.62047777328
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1120.14334626781
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1120.19689462025
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1120.77663911842
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1120.91709160617
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1121.01923907331
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1121.40760922289
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1121.70407294701
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1122.06140934056
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1122.60189972107
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1123.90632579339
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1124.22084371317
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1124.39312730229
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1124.70497656582
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1124.96750387504
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1125.04265273369
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1126.16440126167
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1126.8020500268
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1127.18548978149
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1127.62452404043
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1127.84163130957
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1128.39529376093
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1128.55756409742
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1128.57997392595
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen + log_freq",1128.60538877715
