"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",1222.67301830481,0,1,0.46862012116526,0.129161055935062,3.71578797581783,-0.0889477617010313,-0.0699198989512521,NA,-0.879806977447444,-0.00506441011012762,NA,0.0743102166512256,0.00941943545202619,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",1224.98059761263,2.30757930781579,0.315439096424951,0.147821107586921,0.125988185500675,3.13662933912755,NA,-0.0487819691178863,NA,-0.849312137625006,-0.00367230771347322,NA,0.0663735873787837,0.00885852776585996,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",1225.03177666837,2.35875836355581,0.307469562068532,0.144086423431185,0.129357945230349,3.72652549273772,-0.091723648396067,0.0150487678909816,-0.0135083458704377,-0.881465501954789,NA,-0.00854705840495512,0.0747999416073958,NA,0.0105456278245207,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",1225.72392076039,3.05090245557813,0.217522882348091,0.101935599482179,0.120250876999597,2.4580412376068,0.132449350877916,NA,NA,-0.556162459749047,NA,NA,0.0961747816310819,NA,NA,-0.0704542776674791,0.000108919914353225
"preserved ~ stimlen * log_freq + I(pos^2) + pos",1227.1731868793,4.50016857448918,0.10539034112603,0.049388034428128,0.120534366767411,3.52471547103418,-0.0693117254576894,-0.133519535595979,0.031007617681175,-0.811286387713111,NA,NA,0.0623282758789572,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",1227.59465213393,4.92163382911986,0.0853651864116697,0.0400038439995317,0.119057279241882,3.52757528212801,-0.0759402659335433,0.0779514118863948,NA,-0.798685991186816,NA,NA,0.0609052871262509,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos",1228.08383124344,5.41081293863385,0.0668431486350562,0.0313240444124275,0.115643700198605,3.65274527052521,-0.0960608939961877,NA,NA,-0.797043728991931,NA,NA,0.060796165009961,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",1231.1784804075,8.50546210269295,0.014225330701285,0.00666627619685207,0.111664596055083,3.03431806787622,NA,NA,NA,-0.767484314869916,NA,NA,0.0525631304838062,NA,NA,NA,NA
"preserved ~ pos * log_freq",1232.24145996261,9.56844165779876,0.0083606355763231,0.00391796205679511,0.110501532568789,2.25524599143628,NA,-0.110956087329435,NA,-0.310390141532465,0.0527084643402305,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",1233.05936187871,10.3863435739017,0.00555436159464689,0.00260288560347909,0.111041780791018,2.44272273122836,-0.0352619575856147,-0.1194320653238,NA,-0.296863417770733,0.05319348115421,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",1235.19679451761,12.523776212802,0.00190764056581089,0.000893958753090063,0.111061337314587,2.44470388732663,-0.0361129837604136,-0.0981904079571096,-0.00409700453957932,-0.296342749254553,NA,0.0549039524206854,NA,NA,NA,NA,NA
"preserved ~ pos + log_freq",1235.32173298644,12.6487146816255,0.0017921176013797,0.00083982236750095,0.104986957603324,2.28224532832183,NA,0.0839041585429247,NA,-0.322371810585873,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",1236.31187601707,13.6388577122582,0.0010923446300895,0.000511894672906764,0.105422411534826,2.44952334612748,-0.031472823563358,0.0776548182999263,NA,-0.310333342612008,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos",1236.51666693826,13.8436486334492,0.000986029468664468,0.00046207324907806,0.106405047853867,2.42747223291788,-0.025279755794342,-0.0916740925146033,0.0250211923772462,-0.311490206847711,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos",1236.79276640524,14.1197481004292,0.000858886263702811,0.000402491384963589,0.101987181097179,2.57602862936851,-0.0516203854621465,NA,NA,-0.309500995586426,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos",1236.88960266059,14.2165843557768,0.000818291295414844,0.000383467766005781,0.100749688511369,2.30466388965076,NA,NA,NA,-0.33026045620385,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * pos",1238.90492260937,16.2319043045611,0.000298735451957582,0.000139993443692721,0.103136270883418,3.17875689120994,-0.134514852567885,NA,NA,-0.48828513023793,NA,NA,NA,NA,NA,0.0235621120490853,NA
"preserved ~ stimlen + log_freq",1289.18367456423,66.5106562594174,3.60906330075985e-15,1.69127968129517e-15,0.0353067760547507,2.456906118228,-0.19646615945109,0.0736070218778846,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen",1289.53558088832,66.8625625835132,3.02676715127391e-15,1.41840398916901e-15,0.0318907285270556,2.57729986436465,-0.215211254622706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",1289.74363507525,67.0706167704427,2.72772522160322e-15,1.27826692385324e-15,0.0360906726084924,2.43732147306317,-0.191638995290308,-0.0699438792799108,0.0210362543886177,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ 1",1317.06848615173,94.3954678469167,3.17895659896037e-21,1.48972302658391e-21,0,1.1298831579303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
