"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos","stimlen","CumPres"
"preserved ~ CumErr + I(pos^2) + pos",1152.36986658542,0,1,0.999868705281807,0.197055146385708,2.98066613019555,-0.784139153591488,0.0806417317409433,-0.757854953724973,NA,NA
"preserved ~ CumErr + CumPres",1167.08214083331,0,1,0.829458948110586,0.176168300995074,1.83212841526468,-0.853494130109313,NA,NA,NA,-0.118526999545961
"preserved ~ CumErr + pos",1167.08214083331,0,1,0.829458948110586,0.176168300995074,1.95065541481064,-0.73496713056335,NA,-0.118526999545961,NA,NA
"preserved ~ CumErr + stimlen",1168.91881880704,0,1,0.660036884312814,0.171573540228281,2.06208731545531,-0.842612902607471,NA,NA,-0.0703520527511986,NA
"preserved ~ CumErr",1170.2457359877,17.8758694022797,0.000131311958759774,0.000131294718193154,0.169117753900144,1.61113142920745,-0.878535749651303,NA,NA,NA,NA
"preserved ~ CumErr",1170.2457359877,1.3269171806578,0.515066845152348,0.339963115687186,0.169117753900144,1.61113142920745,-0.878535749651303,NA,NA,NA,NA
"preserved ~ CumErr",1170.2457359877,3.16359515439535,0.205605174647747,0.170541051889414,0.169117753900144,1.61113142920745,-0.878535749651303,NA,NA,NA,NA
"preserved ~ CumErr",1170.2457359877,3.16359515439535,0.205605174647747,0.170541051889414,0.169117753900144,1.61113142920745,-0.878535749651303,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",1231.1784804075,78.8086138220801,7.70773802726525e-18,7.70672604197305e-18,0.111664596055083,3.03431806787622,NA,0.0525631304838062,-0.767484314869916,NA,NA
"preserved ~ pos",1236.88960266059,69.8074618272797,6.94228224541882e-16,5.75833812877188e-16,0.100749688511369,2.30466388965076,NA,NA,-0.33026045620385,NA,NA
"preserved ~ stimlen",1289.53558088832,120.616762081278,6.43284225043592e-27,4.24591315625355e-27,0.0318907285270556,2.57729986436465,NA,NA,NA,-0.215211254622706,NA
"preserved ~ CumPres",1306.48362512475,139.401484291446,5.36231474404481e-31,4.4478199470333e-31,0.0170192444141838,1.4408913358742,NA,NA,NA,NA,-0.160641252796927
