Name,AIC
***preserved ~ CumErr,4434.267572
preserved ~ RndCumErr,4579.650258
preserved ~ RndCumErr,4592.821495
preserved ~ RndCumErr,4610.825989
preserved ~ RndCumErr,4611.399647
preserved ~ RndCumErr,4614.131502
preserved ~ RndCumErr,4614.68966
preserved ~ RndCumErr,4619.212967
preserved ~ RndCumErr,4624.793005
preserved ~ RndCumErr,4624.853322
preserved ~ RndCumErr,4628.685628
preserved ~ RndCumErr,4631.006849
preserved ~ RndCumErr,4635.091867
preserved ~ RndCumErr,4635.258339
preserved ~ RndCumErr,4635.528977
preserved ~ RndCumErr,4636.815753
preserved ~ RndCumErr,4637.790715
preserved ~ RndCumErr,4639.476501
preserved ~ RndCumErr,4639.817487
preserved ~ RndCumErr,4640.142503
preserved ~ RndCumErr,4640.927795
preserved ~ RndCumErr,4640.986988
preserved ~ RndCumErr,4641.029392
preserved ~ RndCumErr,4641.729793
preserved ~ RndCumErr,4643.823985
preserved ~ RndCumErr,4648.20037
preserved ~ RndCumErr,4648.348267
preserved ~ RndCumErr,4650.419145
preserved ~ RndCumErr,4650.560728
preserved ~ RndCumErr,4650.698945
preserved ~ RndCumErr,4651.59908
preserved ~ RndCumErr,4651.793657
preserved ~ RndCumErr,4653.501172
preserved ~ RndCumErr,4656.186606
preserved ~ RndCumErr,4659.37365
preserved ~ RndCumErr,4660.224747
preserved ~ RndCumErr,4660.242524
preserved ~ RndCumErr,4662.584301
preserved ~ RndCumErr,4663.74189
preserved ~ RndCumErr,4664.62495
preserved ~ RndCumErr,4665.492612
preserved ~ RndCumErr,4665.926
preserved ~ RndCumErr,4667.062631
preserved ~ RndCumErr,4667.754041
preserved ~ RndCumErr,4667.803936
preserved ~ RndCumErr,4668.726086
preserved ~ RndCumErr,4669.761441
preserved ~ RndCumErr,4670.152217
preserved ~ RndCumErr,4670.186648
preserved ~ RndCumErr,4674.77172
preserved ~ RndCumErr,4677.115447
preserved ~ RndCumErr,4677.832781
preserved ~ RndCumErr,4678.305415
preserved ~ RndCumErr,4678.590914
preserved ~ RndCumErr,4678.668663
preserved ~ RndCumErr,4678.703626
preserved ~ RndCumErr,4680.95445
preserved ~ RndCumErr,4681.00457
preserved ~ RndCumErr,4682.371085
preserved ~ RndCumErr,4683.361579
preserved ~ RndCumErr,4683.557814
preserved ~ RndCumErr,4683.990671
preserved ~ RndCumErr,4684.436227
preserved ~ RndCumErr,4684.515493
preserved ~ RndCumErr,4684.567251
preserved ~ RndCumErr,4684.948848
preserved ~ RndCumErr,4685.052353
preserved ~ RndCumErr,4685.289731
preserved ~ RndCumErr,4685.624398
preserved ~ RndCumErr,4685.729881
preserved ~ RndCumErr,4686.986666
preserved ~ RndCumErr,4687.962082
preserved ~ RndCumErr,4688.748123
preserved ~ RndCumErr,4690.367256
preserved ~ RndCumErr,4691.776327
preserved ~ RndCumErr,4691.999258
preserved ~ RndCumErr,4694.22349
preserved ~ RndCumErr,4694.451678
preserved ~ RndCumErr,4695.852237
preserved ~ RndCumErr,4695.910175
preserved ~ RndCumErr,4696.120768
preserved ~ RndCumErr,4697.813467
preserved ~ RndCumErr,4697.959359
preserved ~ RndCumErr,4697.962743
preserved ~ RndCumErr,4698.284662
preserved ~ RndCumErr,4701.278008
preserved ~ RndCumErr,4701.491294
preserved ~ RndCumErr,4702.286906
preserved ~ RndCumErr,4702.574664
preserved ~ RndCumErr,4703.917477
preserved ~ RndCumErr,4705.506448
preserved ~ RndCumErr,4707.229543
preserved ~ RndCumErr,4707.459925
preserved ~ RndCumErr,4712.065152
preserved ~ RndCumErr,4713.591579
preserved ~ RndCumErr,4715.539915
preserved ~ RndCumErr,4719.108631
preserved ~ RndCumErr,4719.545991
preserved ~ RndCumErr,4721.774394
preserved ~ RndCumErr,4729.234551
preserved ~ RndCumErr,4730.018171
Random average,4670.238899
Random SD,30.95336534
