"Name","AIC"
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4117.8703974488
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4118.52455913633
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4122.46993476949
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4126.93337375319
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4140.59516260619
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4140.70029435381
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4141.43067263643
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4142.0366088158
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4142.61890816135
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4142.7268167302
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4143.47403001283
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4143.93021707278
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4148.93963459574
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4149.84720132339
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4159.95650377567
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4160.06502357908
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4160.20058239571
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4165.11865869756
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4165.29337251524
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4165.442904717
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4165.73399870215
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4166.28697580199
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4166.52203069224
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4166.53503060192
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4166.6677947128
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4167.4316157432
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4168.00928349072
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4168.07903191715
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4169.89369158438
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4173.46655585186
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4173.58633282739
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4173.59514424978
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4174.93645490697
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4175.0220177072
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4175.02259847215
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4175.44967317494
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4177.3278767872
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4177.39068382886
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4177.48028114906
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4178.61663515496
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4179.48640320534
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4179.6974121112
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4179.89335361127
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4180.67975400623
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4181.10348801183
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4181.11118078198
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4181.32168970353
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4182.96784336854
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4186.021509855
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4186.82238231807
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4187.68005315174
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4188.6781395342
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4188.86312094664
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4189.19526357246
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4189.70050987478
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4190.07492989518
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4190.40640464842
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4191.02083348528
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4191.90502174829
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4191.9680088927
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4193.32304453168
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4194.33812992186
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4197.81794878159
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4198.6784041885
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4198.69741181974
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4199.54039015879
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4199.63171408823
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4200.44286567247
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4200.59557733575
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4202.78582329113
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4203.63800346749
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4203.6839736814
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4204.94577409173
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4206.66231827874
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4206.95259575418
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4207.63654355852
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4207.97416582609
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4208.5725111526
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4209.97193184674
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4212.25182667408
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4212.33237130964
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4213.92117205637
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4214.12411324329
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4217.86201769225
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4220.97204389895
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4221.86058453392
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4222.09555566768
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4222.81606358481
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4223.35801909933
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4223.64350491057
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4224.16658041215
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4227.90782079094
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4228.71135254657
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4229.61169297486
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4229.79815641255
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4232.42502177976
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4235.95143747244
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4237.08706107143
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4249.86455178452
"preserved ~ RndCumErr + I(pos^2) + pos + stimlen",4256.24569850066
"***preserved ~ CumErr + I(pos^2) + pos + stimlen",4286.87096891237
"Random average",4186.5672164104
"Random SD",29.3800598929567
