"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos","stimlen","CumPres"
"preserved ~ CumErr + I(pos^2) + pos",4296.56625109156,0,1,1,0.225107915198089,3.06823605408155,-0.526719195094326,0.0523327041197049,-0.694724763883365,NA,NA
"preserved ~ CumErr + pos",4342.15293094763,0,1,1,0.212828962026298,2.22907867902035,-0.481602574265157,NA,-0.23188286137024,NA,NA
"preserved ~ CumErr + CumPres",4342.15293094764,0,1,1,0.212828962026298,1.99719581765011,-0.713485435635373,NA,NA,NA,-0.231882861370243
"preserved ~ CumErr + stimlen",4409.74333886343,0,1,0.999995272534321,0.186152329073898,2.34897184416108,-0.716247055261562,NA,NA,-0.118062061588811,NA
"preserved ~ CumErr",4434.2675720011,137.701320909537,1.25469477402167e-30,1.25469477402167e-30,0.178161963945969,1.46891280360249,-0.769773503715404,NA,NA,NA,NA
"preserved ~ CumErr",4434.2675720011,24.5242331376667,4.7274880280018e-06,4.7274656789644e-06,0.178161963945969,1.46891280360249,-0.769773503715404,NA,NA,NA,NA
"preserved ~ CumErr",4434.2675720011,92.1146410534611,9.94397088337407e-21,9.94397088337407e-21,0.178161963945969,1.46891280360249,-0.769773503715404,NA,NA,NA,NA
"preserved ~ CumErr",4434.2675720011,92.1146410534629,9.94397088336502e-21,9.94397088336502e-21,0.178161963945969,1.46891280360249,-0.769773503715404,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",4489.54119417329,192.974943081726,1.24745111922158e-42,1.24745111922158e-42,0.177573917754663,3.04950287403869,NA,0.0313212701146509,-0.667868008846323,NA,NA
"preserved ~ pos",4505.56852613312,163.415595185486,3.27155613848862e-36,3.27155613848862e-36,0.172616869905005,2.51362150570961,NA,NA,-0.378746927994455,NA,NA
"preserved ~ CumPres",4849.52912096308,507.376190015445,6.67821218410002e-111,6.67821218410002e-111,0.0660416243008678,1.60682254894695,NA,NA,NA,NA,-0.278499367415274
"preserved ~ stimlen",4879.79107601257,470.047737149136,8.51982673032969e-103,8.51978645314123e-103,0.047875702288691,2.8678647904411,NA,NA,NA,-0.247244563180569,NA
