"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ stimlen * log_freq + pos",1679.77068976541,0,1,0.263024483293529,0.0433183913379342,4.5152087998694,-0.223305581028424,0.867659011137096,-0.0843709123139208,0.0602122668892047,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",1679.9858321391,0.215142373690242,0.89801259349197,0.236199298394307,0.0477954941557025,4.11337459698781,-0.217654583214777,0.616237921015046,-0.0870327584084093,0.279023935468614,NA,0.146895867376177,-0.0238088280412683,NA,-0.0145669784798075,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",1680.23798641604,0.467296650631852,0.791640166753784,0.208220745814817,0.0443333760741691,4.50858453031624,-0.229380965903733,0.862912248851979,-0.0939307950236635,0.0757230917026868,NA,0.0215720637994952,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",1680.95739031077,1.18670054535824,0.552473244681235,0.145313989715781,0.0410145720570577,4.52201397674462,-0.194890089765054,0.867434094604003,-0.0843575819982803,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + I(pos^2) + pos",1681.224456075,1.45376630958276,0.483413369057258,0.127149551613469,0.0441353400066554,4.24736463523379,-0.215084872614551,0.869176172028924,-0.0844917153035763,0.190227610060331,NA,NA,-0.0151380462586957,NA,NA,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",1687.30787014374,7.5371803783305,0.0230845852553361,0.00607181110883019,0.03989907447144,3.86912800778466,-0.179689736343225,-0.0608533636673087,NA,0.276273186367139,0.153458523793707,NA,-0.0253427574901753,-0.0176413216088225,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",1687.36782465286,7.59713488744364,0.0224028422116458,0.00589249599702459,0.0350190268691348,4.26837909727331,-0.189683195561265,0.175709385565814,NA,0.0602660835146871,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + log_freq",1688.55935310857,8.78866334316126,0.0123471295060891,0.00324759735849737,0.0327069357929748,4.27506668016071,-0.161230090282401,0.175534620530544,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",1688.94525585735,9.17456609193277,0.0101804807302249,0.00267771568374715,0.0357131364704233,4.02380007385703,-0.18232090570719,0.176199865201001,NA,0.179730110464582,NA,NA,-0.0138964669321772,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",1689.3481933715,9.57750360609202,0.00832283944398858,0.0021891105442901,0.0350214873714977,4.26753473150503,-0.189941232440974,0.17186199112969,NA,0.0611169284792728,0.000999381535495673,NA,NA,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",1700.44213358158,20.6714438161678,3.24528624346391e-05,8.53589737326693e-06,0.0303253578426688,2.51888318195123,NA,-0.00917334768348269,NA,0.306646320945924,0.151500117526581,NA,-0.0344870871197493,-0.0182160881064716,NA,NA,NA
"preserved ~ pos + log_freq",1702.38314802054,22.612458255127,1.22960912878655e-05,3.23417305752089e-06,0.023836910188145,2.9543077923011,NA,0.211224029130477,NA,0.0148665493256212,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos * log_freq",1704.35839668499,24.5877069195767,4.5798081022485e-06,1.20460165967743e-06,0.0239119398994015,2.96978243951687,NA,0.232468704969075,NA,0.0102460757723851,-0.0056027736610278,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos",1709.92190395709,30.1512141916764,2.83626644464838e-07,7.46007516086416e-08,0.0194949680035828,4.59503468020689,-0.238558586652516,NA,NA,0.0598499274094949,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * pos",1710.34288400565,30.572194240242,2.29790659144043e-07,6.04405693870413e-08,0.020885644850378,3.73627008724745,-0.13836691776394,NA,NA,0.347249313941285,NA,NA,NA,NA,NA,-0.0326327454480764,NA
"preserved ~ stimlen",1711.08786327838,31.3171735129692,1.58329622850226e-07,4.16445672402401e-08,0.0171872819376734,4.60144456274584,-0.210263681449034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos",1711.58405568801,31.8133659225996,1.23542209579464e-07,3.24946258395795e-08,0.0201115517166861,4.36750669360242,-0.231896273852837,NA,NA,0.171627664767933,NA,NA,-0.0129852003681943,NA,NA,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",1712.92466109222,33.1539713268098,6.31984751533606e-08,1.66227462721516e-08,0.0224165422986654,2.38879386829656,0.00957240782318316,NA,NA,1.40352181998925,NA,NA,-0.152019434240956,NA,NA,-0.146846522112387,0.0162529715266268
"preserved ~ 1",1735.61476197417,55.8440722087548,7.47504474001542e-13,1.96611978033857e-13,0,2.93821039001062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",1737.30442625187,57.5337364864556,3.21149951178485e-13,8.44702999684631e-14,0.0022478396981831,2.61882164913298,NA,NA,NA,0.207796533658149,NA,NA,-0.0244346782520644,NA,NA,NA,NA
"preserved ~ pos",1737.55976976636,57.7890800009507,2.82657634851031e-13,7.43458783556634e-14,1.56630456351019e-05,2.95658430848902,NA,NA,NA,-0.00479236792404815,NA,NA,NA,NA,NA,NA,NA
