"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ pos * log_freq",3708.26235594806,0,1,0.350642832723153,0.00999452074528485,1.87963587307477,NA,0.160490632468153,NA,-0.0577717391686865,-0.0217177240783764,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",3709.36019441525,1.09783846718346,0.577573695431077,0.202522076672332,0.010214588911306,2.01849351281088,-0.0213146561736335,0.152155520866484,NA,-0.0512613647514587,-0.0207872561695895,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",3711.07613026136,2.81377431329383,0.244904447026927,0.0858739890520188,0.0103101161462124,2.00818471148516,-0.0212337450196055,0.199798344601058,-0.00718221594626862,-0.0501633430714774,NA,-0.0186425696542253,NA,NA,NA,NA,NA
"preserved ~ pos + log_freq",3711.20855645843,2.94620051036782,0.229213761342196,0.0803721625761564,0.00819228159151329,1.85858978920111,NA,0.0743093610237266,NA,-0.0505249720905517,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",3711.75190036027,3.48954441220349,0.174684776561172,0.0612519648870204,0.00857995879573835,2.04284216215368,-0.0280456168659398,0.0682046402183958,NA,-0.0424508349650253,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos",3712.01073303676,3.74837708869563,0.153479458102301,0.0538164719538054,0.00920669949681926,2.01057301282233,-0.0257223713971029,0.200524180777549,-0.0168765857598307,-0.0424445705220525,NA,NA,NA,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",3712.38190495278,4.11954900471801,0.127482713705076,0.0447008998567827,0.0101424480381564,1.80627627570581,NA,0.164852555837236,NA,-0.0131139147354334,-0.0241920785593302,NA,-0.00508647781098624,0.000241181690091766,NA,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",3713.55928926114,5.29693331307908,0.0707596287339396,0.0248113566617072,0.0103078824659989,1.9438871864748,-0.0188162524335978,0.158506315054903,NA,-0.0165467487615969,-0.0240206382974853,NA,-0.00403631872476936,0.000322878563289768,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",3713.92247301456,5.66011706649715,0.0590093995565061,0.0206912230177856,0.00860669291989503,2.00244622306738,-0.0267868544351639,0.0682764066487211,NA,-0.0232582008525692,NA,NA,-0.00222499789484456,NA,NA,NA,NA
"preserved ~ stimlen + log_freq",3713.96009975313,5.69774380506851,0.0579096117269233,0.0203055902978263,0.00692345994014961,2.0452458493216,-0.0498851616878815,0.0681317590980974,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + I(pos^2) + pos",3714.20356046444,5.94120451637673,0.0512724217955521,0.0179783072189687,0.00925054910738265,1.95818587948733,-0.0240601663250296,0.20251079618793,-0.0171187068892816,-0.017813272360164,NA,NA,-0.0028566177557224,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",3714.21828259269,5.95592664462492,0.0508963879136326,0.0178464536334125,0.00755104725152245,2.01299702387016,-0.0475609159010408,0.200433599376739,-0.0168726007026919,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",3715.24583139285,6.98347544478247,0.0304479161474533,0.0106763435684601,0.0104124434519634,1.93489621729434,-0.0188057714443659,0.215325898270699,-0.00764382259948358,-0.0163069509811934,NA,-0.0254859752753519,-0.00391715185229261,NA,0.000749615862013554,NA,NA
"preserved ~ stimlen + pos",3717.61148696592,9.34913101785787,0.00932957787550909,0.00327134961437976,0.00505307136199638,2.20997284988295,-0.0506237031030793,NA,NA,-0.0423511510463161,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * pos",3719.37280666004,11.1104507119771,0.00386719687540609,0.00135600486709052,0.005139379786469,2.37617915726147,-0.07075978528362,NA,NA,-0.0950415490790408,NA,NA,NA,NA,NA,0.006181147656523,NA
"preserved ~ stimlen + I(pos^2) + pos",3719.76526281162,11.502906863559,0.00317815820187953,0.00111439839474936,0.00507298053506696,2.17535085621915,-0.0495624271857838,NA,NA,-0.0258310033331516,NA,NA,-0.00191441138096357,NA,NA,NA,NA
"preserved ~ stimlen",3719.81050727574,11.5481513276741,0.00310706830731998,0.00108947123274301,0.00339707576111653,2.21219040915513,-0.0723875227827005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos",3719.82155507266,11.5591991245947,0.00308995249401039,0.00108346969547977,0.00367817288196911,1.88172223321231,NA,NA,NA,-0.0582961844914321,NA,NA,NA,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",3721.97676244243,13.7144064943609,0.00105185159166461,0.000368824221705634,0.00379480921180591,1.81565375860358,NA,NA,NA,-0.0181188706613825,NA,NA,-0.00456632896671305,NA,NA,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",3723.15007910442,14.887723156357,0.000585021722947362,0.000205133674138843,0.00551424820770076,2.84249996016753,-0.136676569064291,NA,NA,-0.385983959755845,NA,NA,0.033767176004104,NA,NA,0.0462913548398685,-0.00453814095768277
"preserved ~ 1",3727.64497482585,19.3826188777812,6.18184039746989e-05,2.16761802841126e-05,0,1.65352976562206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
