"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ (I(pos^2) + pos) * log_freq",1862.49377516179,0,1,0.24468164365965,0.020475287573894,2.21790467587634,NA,0.00307483742645222,NA,0.381802221644493,0.0884394631699249,NA,-0.0375763944658036,-0.00911121763127387,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",1863.0894214177,0.595646255909514,0.74243264371558,0.181659639570908,0.0190714304794617,2.31190294196639,-0.00446222298465708,0.156292843516903,NA,0.339268909365808,NA,NA,-0.0327654529356369,NA,NA,NA,NA
"preserved ~ pos + log_freq",1863.83621688673,1.34244172494095,0.511084233185097,0.125052930224261,0.0151148793587975,2.70921307656764,NA,0.159939184298546,NA,0.0591507498461161,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",1864.47700028647,1.98322512468121,0.370977983299957,0.0907715027153757,0.0204880350058587,2.26407022324508,-0.00630858223369812,0.00117782453487935,NA,0.380660522230404,0.0884518644270342,NA,-0.0372274914069754,-0.00908258036780756,NA,NA,NA
"preserved ~ pos * log_freq",1864.75686583821,2.26309067642569,0.32253444630152,0.0789182584579111,0.0157600588120974,2.67587703888453,NA,0.100470363157962,NA,0.0708251643731396,0.0165831801111122,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + I(pos^2) + pos",1864.90461123785,2.41083607606447,0.299566743042302,0.0732984830733584,0.0191705297913139,2.31192569868032,-0.00577517185993506,0.219533563576176,-0.00814877872546682,0.341505764694175,NA,NA,-0.0330419476088454,NA,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",1865.65518016166,3.16140499987569,0.205830451524288,0.0503629331941707,0.0152687505214115,2.8524463367578,-0.0213723619295425,0.155269800923489,NA,0.0646022957358113,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",1866.13876075225,3.64498559045978,0.16162235691307,0.0395460239416367,0.0206659933036482,2.2727567434441,-0.00930025149640444,0.0872621008802652,-0.0119661629511065,0.380910595535803,NA,0.0877592671983636,-0.0369450696031856,NA,-0.00857818928572276,NA,NA
"preserved ~ stimlen + log_freq",1866.46302890085,3.96925373906038,0.137431884574733,0.0336270594089889,0.0128095655516557,2.86054403371939,0.00893774108691054,0.155124087152895,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",1866.48786166679,3.99408650500663,0.135736027654609,0.0332121143503613,0.0159743040360637,2.84426056482966,-0.0253110785756393,0.092154628654426,NA,0.077737356127688,0.0173557757813604,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos",1867.55251066463,5.05873550284809,0.0797094005127707,0.0195034271325901,0.0153164261018453,2.85589315829366,-0.0224499840778351,0.199595277398802,-0.0057130483140969,0.0646026998758308,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",1867.910611153,5.41683599121416,0.0666421515415493,0.0163061111762018,0.0162796082197537,2.84942777895111,-0.0286717910447769,0.19595389524764,-0.0154451357516664,0.0804627043089636,NA,0.021763581875648,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",1868.36024742055,5.86647225876186,0.0532245177209681,0.0130230624789586,0.0128572630692567,2.86400437377846,0.00785881431030578,0.199435348311743,-0.00571073077623239,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",1883.00053831488,20.5067631530953,3.52381386846431e-05,8.62212569286517e-06,0.00576291674591881,2.2713605493415,NA,NA,NA,0.341002866636613,NA,NA,-0.0348461693772009,NA,NA,NA,NA
"preserved ~ stimlen * pos",1883.09676434031,20.6029891785204,3.35828650689144e-05,8.21711062386223e-06,0.00641204502233733,2.04452353495382,0.0684740769509626,NA,NA,0.468042775563156,NA,NA,NA,NA,NA,-0.0471590468151403,NA
"preserved ~ stimlen + I(pos^2) + pos",1883.15671076422,20.6629356024348,3.25912144530439e-05,7.97447192123492e-06,0.00682932132308796,2.67025261449519,-0.054647566067274,NA,NA,0.332562923261902,NA,NA,-0.0319727467973208,NA,NA,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",1884.49828910161,22.0045139398208,1.66640480606322e-05,4.07738666949888e-06,0.00881608313183758,1.09205326669428,0.146165702822847,NA,NA,1.35132609703101,NA,NA,-0.14893752809856,NA,NA,-0.126016820417975,0.0141222220354468
"preserved ~ stimlen + pos",1885.50273902678,23.0089638649922,1.00847927963438e-05,2.4675636773764e-06,0.00315719036301497,3.19685379011303,-0.0708790022521339,NA,NA,0.0642845954863861,NA,NA,NA,NA,NA,NA,NA
"preserved ~ 1",1885.65760527279,23.1638301110045,9.33336395562971e-06,2.28370283353721e-06,-6.72893479752494e-16,2.89084851312831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen",1886.29299492991,23.7992197681197,6.79305436931962e-06,1.66213570855449e-06,0.000700262435447362,3.20465251279306,-0.0406791191668209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos",1886.49012999955,23.9963548377589,6.15542088989498e-06,1.50611850075645e-06,0.00129358009971689,2.72652986800881,NA,NA,NA,0.0439037069388828,NA,NA,NA,NA,NA,NA,NA
