"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",5434.92474469782,0,1,0.556204037836895,0.0429081149984423,1.51586319370808,-0.162967938246701,0.323448831153548,-0.0301552200535677,-0.255717912319076,NA,-0.0367411409654914,0.0277417285468013,NA,0.00503096498854877,NA,NA
"preserved ~ stimlen * log_freq + I(pos^2) + pos",5435.94296506241,1.01822036459544,0.601030148207819,0.334295395294897,0.0420590755452106,1.50011728656946,-0.16132841342948,0.235312870141129,-0.0243638816498801,-0.247680285543886,NA,NA,0.0263237213294716,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",5438.94936461843,4.02461992061581,0.133679523349717,0.074353090663224,0.040118165739343,1.58846416574439,-0.168718166058915,0.0458331781653316,NA,-0.254578186149626,NA,NA,0.0271508926757777,NA,NA,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",5441.0020753419,6.07733064407967,0.0478987762915997,0.0266414927808339,0.0404501519078972,1.58830118011672,-0.168727050803261,0.0998139046170922,NA,-0.255830575893031,-0.0307695035390101,NA,0.0274324138630407,0.00331207965995059,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos",5444.03618010521,9.11143540738976,0.010506956643801,0.00584401171065931,0.037778393104173,1.70198555916443,-0.18320948970644,NA,NA,-0.255355693102808,NA,NA,0.0272494310477203,NA,NA,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",5445.73877205873,10.8140273609133,0.00448501391704261,0.00249458285041377,0.038733338271116,1.02344998163628,-0.104969004891431,NA,NA,0.250099587884404,NA,NA,-0.0453337707989749,NA,NA,-0.0570207236873695,0.00803861306086739
"preserved ~ stimlen * log_freq + pos",5452.7057303436,17.7809856457816,0.000137691783595104,7.6584726012561e-05,0.0368342634359528,1.03261008017233,-0.146137395345729,0.250818375663788,-0.0263304484401225,-0.0242368846008846,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",5454.18694364538,19.2621989475674,6.56548243645485e-05,3.6517478415034e-05,0.0360658005746027,1.03194652259951,-0.158147904688072,0.250804743068592,-0.0263304947689505,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",5454.47313219169,19.54838749387,5.69012216502531e-05,3.16486892397229e-05,0.0368525812096278,1.03259355299338,-0.146367881818209,0.250706860411708,-0.0273048282051545,-0.0237729348697143,NA,0.00198505523363528,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",5456.78570548524,21.8609607874196,1.79041076514344e-05,9.95833696959428e-06,0.0345398405489581,1.11269456377304,-0.15357151365109,0.0462090889462181,NA,-0.0242723468010814,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + log_freq",5458.27223853237,23.3474938345498,8.51444080914585e-06,4.73576635797016e-06,0.0337689733984779,1.11203388245249,-0.165600017759188,0.0461850840252903,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",5458.80966963032,23.8849249325012,6.50810349336137e-06,3.619833441668e-06,0.0347475896150064,1.10313165342594,-0.152018374315199,0.07009923866181,NA,-0.0255764266234191,-0.00617506028413678,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * pos",5459.02324047514,24.0984957773244,5.84895299084704e-06,3.25321127062731e-06,0.0344108768876537,1.91221932184491,-0.251752926397271,NA,NA,-0.248258777479383,NA,NA,NA,NA,NA,0.0264163387483011,NA
"preserved ~ stimlen + pos",5462.02542417645,27.100679478629,1.30365364511523e-06,7.25097421353876e-07,0.0321420402349111,1.22533908745637,-0.168107478560123,NA,NA,-0.0242364964297744,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen",5463.50675498396,28.5820102861426,6.21577557426309e-07,3.45723947269307e-07,0.0313709764055795,1.22461653034932,-0.180110093592961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",5502.15457541288,67.2298307150631,2.51899758178292e-15,1.40107662628904e-15,0.0199359758074515,0.336107432701697,NA,0.149143272380078,NA,-0.221632833091799,-0.0303910572644734,NA,0.0178307539432721,0.00245120617692119,NA,NA,NA
"preserved ~ pos + log_freq",5507.90480100032,72.9800563025001,1.42096090533174e-16,7.90344193153886e-17,0.0166031900098462,0.0922019176483443,NA,0.0783502869623247,NA,-0.0675048431318992,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos * log_freq",5508.93518261992,74.0104379221038,8.48862999030472e-17,4.72141027631085e-17,0.0173464941302326,0.0935729838616021,NA,0.122047039822749,NA,-0.0690845643092981,-0.0114707869463277,NA,NA,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",5521.56900711193,86.6442624141109,1.53263053012098e-19,8.52455289365389e-20,0.0113682444252671,0.357433258578581,NA,NA,NA,-0.222521528033677,NA,NA,0.0171108695842291,NA,NA,NA,NA
"preserved ~ pos",5528.48711930375,93.5623746059364,4.82157023500536e-21,2.68177683342417e-21,0.00899740530304471,0.120997519779023,NA,NA,NA,-0.0746981849926987,NA,NA,NA,NA,NA,NA,NA
"preserved ~ 1",5557.10251694181,122.177772243993,2.94736452249462e-27,1.63933604838872e-27,-3.14633179553816e-16,-0.166944162981941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
