Model,AIC,DeltaAIC,AICexp,AICwt,NagR2,(Intercept),CumErr,I(pos^2),pos,stimlen,CumPres
preserved ~ CumErr + I(pos^2) + pos,3311.426584,0,1,0.999953196,0.087809943,2.947215281,-0.715826937,0.035440648,-0.350469409,NA,NA
preserved ~ CumErr + stimlen,3326.083444,0,1,0.933457568,0.084665771,2.905347021,-0.697510711,NA,NA,-0.082664779,NA
preserved ~ CumErr,3331.365555,19.93897139,4.68E-05,4.68E-05,0.081240849,2.274848456,-0.735407523,NA,NA,NA,NA
preserved ~ CumErr,3331.365555,5.282111379,0.071285974,0.066542432,0.081240849,2.274848456,-0.735407523,NA,NA,NA,NA
preserved ~ CumErr,3331.365555,0,1,0.513231324,0.081240849,2.274848456,-0.735407523,NA,NA,NA,NA
preserved ~ CumErr,3331.365555,0,1,0.513231324,0.081240849,2.274848456,-0.735407523,NA,NA,NA,NA
preserved ~ CumErr + CumPres,3331.47143,0.105875311,0.948439141,0.486768676,0.082003837,2.35666628,-0.72413788,NA,NA,NA,-0.032966898
preserved ~ CumErr + pos,3331.47143,0.105875311,0.948439141,0.486768676,0.082003837,2.389633178,-0.691170982,NA,-0.032966898,NA,NA
preserved ~ I(pos^2) + pos,3467.118585,155.6920017,1.56E-34,1.56E-34,0.029548766,2.975114839,NA,0.022549139,-0.368809946,NA,NA
preserved ~ pos,3476.042018,144.6764634,3.84E-32,1.97E-32,0.026960061,2.60443742,NA,NA,-0.161278274,NA,NA
preserved ~ stimlen,3510.413438,184.3299948,9.40E-41,8.78E-41,0.014925805,3.197908539,NA,NA,NA,-0.160301558,NA
preserved ~ CumPres,3533.393682,202.0281274,1.35E-44,6.93E-45,0.004658406,2.135961047,NA,NA,NA,NA,-0.074665155
