"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ stimlen * log_freq + pos",5613.04417213138,0,1,0.478860237432038,0.0503949773670456,0.424766211540638,-0.0900629809546509,0.22147988734117,-0.0234421216476313,0.195462437476426,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + I(pos^2) + pos",5614.84495924281,1.80078711143142,0.406409683409039,0.194613437491932,0.0504967764364551,0.48947318466773,-0.0919046882712172,0.219304843118341,-0.0231773240804488,0.16242054337556,NA,NA,0.00399190851604699,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",5615.0397839706,1.99561183921651,0.368687484371554,0.176549776304383,0.0503955534579609,0.42473245023768,-0.0900154793157442,0.221543662337827,-0.0232720385414311,0.195369442527194,NA,-0.000373836237989308,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",5617.9461312324,4.90195910102193,0.0862090989592842,0.0412821095964448,0.0486925333220407,0.492145132504771,-0.096146990292122,0.0399629596715299,NA,0.195421181781934,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",5618.8435314908,5.79935935941558,0.0550408479334668,0.0263568735098806,0.0504971222926935,0.489854104896288,-0.0919439895224234,0.22072773520907,-0.0233013053757283,0.162234382545573,NA,-0.000579730891743133,0.00402584987490899,NA,9.33316412291586e-05,NA,NA
"preserved ~ stimlen + pos * log_freq",5618.870037121,5.82586498961427,0.0543162140781612,0.0260098751698777,0.0489453996829128,0.482682141051783,-0.0944555238792359,0.0667927695319981,NA,0.193582830755166,-0.00726081157420093,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",5619.61124967866,6.56707754727722,0.0374953342540484,0.0179550246634872,0.0488384049632329,0.568282538298963,-0.0982427938046855,0.0398797398307632,NA,0.155995251716322,NA,NA,0.00476266714630773,NA,NA,NA,NA
"preserved ~ stimlen + pos",5619.71857497797,6.67440284658369,0.0355362696673174,0.0170169065303405,0.0470263517015073,0.590230849874049,-0.108807181981345,NA,NA,0.195169979729244,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * pos",5621.11962882697,8.07545669558931,0.0176374931920771,0.00844589417766399,0.0472283235247419,0.800532761609649,-0.134507835558851,NA,NA,0.123872407243755,NA,NA,NA,NA,NA,0.00844143656318497,NA
"preserved ~ stimlen + I(pos^2) + pos",5621.36706475903,8.32289262764971,0.0155850008094535,0.00746303718799339,0.0471795321271281,0.66796195023021,-0.110929504839125,NA,NA,0.154833460605727,NA,NA,0.00487233194245369,NA,NA,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",5622.59907549095,9.55490335956347,0.00841742194612438,0.00403076867168676,0.0490718420984739,0.545327861871655,-0.0961715068745723,0.0511170505031603,NA,0.161645816815255,0.00199895041162218,NA,0.00381233236763338,-0.00103637089282727,NA,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",5624.69754227299,11.6533701416056,0.00294783265814616,0.00141159984658978,0.0475094877718199,0.408005654210518,-0.0845380840157131,NA,NA,0.403770676696349,NA,NA,-0.0380861468212655,NA,NA,-0.0260917191197738,0.00455920358576133
"preserved ~ pos * log_freq",5637.71189489671,24.667722765329,4.40019639563539e-06,2.10707909076156e-06,0.0426906581031473,-0.147949302512921,NA,0.0986272612683724,NA,0.16736844946634,-0.0104758606119826,NA,NA,NA,NA,NA,NA
"preserved ~ pos + log_freq",5637.82053740854,24.7763652771573,4.16754827552775e-06,1.9956731567287e-06,0.042160228937325,-0.150922832333347,NA,0.0605623997463356,NA,0.169459699294369,NA,NA,NA,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",5641.45377479543,28.4096026640491,6.77537231116783e-07,3.24445639361628e-07,0.0427581084395758,-0.163799633111324,NA,0.0787582934118631,NA,0.178341628445059,0.00249919026491414,NA,-0.00139967816051329,-0.00156859692516043,NA,NA,NA
"preserved ~ pos",5646.71152134671,33.6673492153286,4.88908972713235e-08,2.34119066756113e-08,0.0380048166931697,-0.128537055802574,NA,NA,NA,0.163295184599545,NA,NA,NA,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",5648.66671510194,35.6225429705619,1.83934450096131e-08,8.80788944449645e-09,0.0380103701426458,-0.140434905389673,NA,NA,NA,0.170959996252108,NA,NA,-0.000913615263197706,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",5764.40570270262,151.361530571235,1.35600487302253e-33,6.4933681545457e-34,0.00363814970863736,0.445404520911728,0.00280125198138309,0.217449078972867,-0.0230240329230505,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + log_freq",5769.2291573061,156.184985174715,1.21579790652516e-34,5.82197274188012e-35,0.00188686536208905,0.511657395634931,-0.00320042296933812,0.0385845652174618,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ 1",5769.39698962099,156.352817489606,1.11793632306226e-34,5.35335253095491e-35,-3.11862614479033e-16,0.486264273310089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen",5770.86129501554,157.817122884162,5.37585060029281e-35,2.57428109485538e-35,0.000223136537172841,0.606130146263635,-0.0155117689842163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
