Model,AIC,DeltaAIC,AICexp,AICwt,NagR2,(Intercept),CumErr,I(pos^2),pos,stimlen,CumPres
preserved ~ CumErr + I(pos^2) + pos,5063.333285,0,1,0.999999259,0.075505598,1.171159929,-0.531856176,0.014367468,-0.03923849,NA,NA
preserved ~ CumErr + pos,5067.995779,0,1,0.999992371,0.074167372,0.969210434,-0.528926556,NA,0.084777321,NA,NA
preserved ~ CumErr + CumPres,5067.995779,0,1,0.999992371,0.074167372,1.053987756,-0.444149235,NA,NA,NA,0.084777321
preserved ~ CumErr + stimlen,5081.251624,0,1,0.994266296,0.070794481,0.796439457,-0.447886327,NA,NA,0.05617791,NA
preserved ~ CumErr,5091.56291,28.22962524,7.41E-07,7.41E-07,0.068439331,1.21182201,-0.427304343,NA,NA,NA,NA
preserved ~ CumErr,5091.56291,10.31128651,0.005766769,0.005733704,0.068439331,1.21182201,-0.427304343,NA,NA,NA,NA
preserved ~ CumErr,5091.56291,23.56713122,7.63E-06,7.63E-06,0.068439331,1.21182201,-0.427304343,NA,NA,NA,NA
preserved ~ CumErr,5091.56291,23.56713122,7.63E-06,7.63E-06,0.068439331,1.21182201,-0.427304343,NA,NA,NA,NA
preserved ~ I(pos^2) + pos,5304.736189,241.4029035,3.80E-53,3.80E-53,0.010409483,1.30496311,NA,0.009836963,-0.168274327,NA,NA
preserved ~ pos,5306.401599,238.4058197,1.70E-52,1.70E-52,0.009704784,1.162244463,NA,NA,-0.081776806,NA,NA
preserved ~ CumPres,5326.010958,258.0151792,9.39E-57,9.39E-57,0.002101338,0.743977116,NA,NA,NA,NA,0.047397945
preserved ~ stimlen,5336.086423,254.8347989,4.61E-56,4.58E-56,0.000202683,0.958085921,NA,NA,NA,-0.015199007,NA
