"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ stimlen + pos + log_freq",2794.2367508187,0,1,0.232826353395168,0.0102948101253371,2.49348011561336,-0.0538152693768014,0.102170328048737,NA,0.0499000770667525,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos + log_freq",2795.28144287477,1.04469205607074,0.593127420893604,0.138095694505339,0.00908539020608455,2.13261732288109,NA,0.113557946429632,NA,0.0356632275559531,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + log_freq",2795.34722640258,1.11047558387918,0.573935767669155,0.133627371869466,0.00844454428780556,2.49775713100103,-0.0299247251120153,0.102071421047008,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos",2795.93245338518,1.69570256648012,0.428334312967424,0.0997275161222299,0.0105523722904272,2.48428597827934,-0.0538624975861637,0.196328632709119,-0.0120264279152767,0.0498937596768996,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",2796.04129658979,1.80454577109003,0.405646622813944,0.0944452239568357,0.0104678637690926,2.38573141278295,-0.0505757331396647,0.10233642475679,NA,0.103859374094204,NA,NA,-0.00641228689802555,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",2796.38418434507,2.14743352636788,0.341736002273021,0.0795651472330703,0.0103531273614024,2.4919317718448,-0.0526924659339938,0.118851441296928,NA,0.0475317739839282,-0.00444155899996315,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",2797.04219592494,2.80544510624031,0.24592650370395,0.0572581710606138,0.00870256014398476,2.48857695642357,-0.029976958143585,0.19625017040147,-0.012027938657843,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos * log_freq",2797.40101482371,3.16426400501587,0.205536426569615,0.0478542966880771,0.00920445162440951,2.14140091988433,NA,0.137056316316489,NA,0.03263954533103,-0.00634973628622926,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + I(pos^2) + pos",2797.71344047463,3.47668965593311,0.17581115763546,0.0409334707184471,0.0107451775596833,2.36995102814586,-0.0504199190027669,0.19991480178843,-0.0124616864923995,0.106925472441037,NA,NA,-0.00677976696101946,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",2797.9897116683,3.75296084960155,0.15312810431658,0.0356522581303441,0.0105565254955973,2.48437292015567,-0.0535602705740989,0.196537591988142,-0.0114428814929635,0.0492388493366667,NA,-0.00127221227601661,NA,NA,NA,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",2799.36386664456,5.12711582586553,0.0770301856182205,0.0179346572188432,0.0109108094041062,2.40721544019997,-0.0498780986428874,0.186175112720486,NA,0.0875439047947042,-0.0464696222183127,NA,-0.00457600087053058,0.00482552683405501,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",2800.10518901811,5.86843819941305,0.0531722253046116,0.012379895319579,0.0099143775225993,2.03900669204093,NA,0.200766788096284,NA,0.0969777417993155,-0.0463406461066757,NA,-0.00736991995402126,0.00456501731568409,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",2800.7381199464,6.50136912770404,0.0387476734939102,0.00902147952213371,0.011223021355578,2.4019433267478,-0.0510314979304576,0.294304747834294,-0.014382982903145,0.0871376038684987,NA,-0.0491953647447795,-0.00424636425680777,NA,0.00560832531934348,NA,NA
"preserved ~ stimlen + pos",2807.99138433129,13.7546335125949,0.00103090651073601,0.000240022203586,0.00382784963399597,2.72171935608161,-0.0853037471672983,NA,NA,0.0497224977818998,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen",2809.08821112351,14.8514603048075,0.000595725747261966,0.000138700653358615,0.00197864748586419,2.7257751123516,-0.0614693333818667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * pos",2809.22045421416,14.9837033954595,0.000557609479720075,0.000129826181781802,0.00423116851369689,3.11496384534386,-0.132701474323568,NA,NA,-0.0810898236432041,NA,NA,NA,NA,NA,0.0153260104740312,NA
"preserved ~ stimlen + I(pos^2) + pos",2809.83230341967,15.5955526009689,0.000410647120242232,9.56094715382259e-05,0.00398099349701318,2.62104133733841,-0.0823138804435694,NA,NA,0.100267492146158,NA,NA,-0.00600285302023356,NA,NA,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",2811.9366982481,17.6999474293993,0.000143385505157826,3.33839242956205e-05,0.00509915517557828,3.27733796320072,-0.178478113718722,NA,NA,-0.113454339860745,NA,NA,-0.0109344294016892,NA,NA,0.0362504650937417,-0.000744425467028522
"preserved ~ 1",2812.59888895405,18.3621381353514,0.000102970391968398,2.39742208696731e-05,-4.82011220245338e-16,2.24977485916169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos",2814.16071431551,19.9239634968098,4.71591857372905e-05,1.09799012442987e-05,0.000521660180608696,2.1556634001463,NA,NA,NA,0.0248263697520395,NA,NA,NA,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",2815.38012294635,21.1433721276521,2.56315622925393e-05,5.967703180393e-06,0.000990387138631368,2.01652653636836,NA,NA,NA,0.113526107751287,NA,NA,-0.0103730052559318,NA,NA,NA,NA
