"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ pos * log_freq",1626.25910833864,0,1,0.149427330571366,0.010466184482372,3.19994028439334,NA,0.221664968145012,NA,-0.0532373705989871,-0.0262913569314553,NA,NA,NA,NA,NA,NA
"preserved ~ pos + log_freq",1626.42999734727,0.170889008628592,0.918104092456568,0.137189843722431,0.00878535762912669,3.15471073002367,NA,0.11632983511915,NA,-0.0403481618478108,NA,NA,NA,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",1626.92369070003,0.664582361387602,0.71727843481154,0.107181001790296,0.0142856909709483,2.81587311596224,NA,0.308294714503263,NA,0.182160087825163,-0.0810922577278487,NA,-0.0264355496145645,0.00608721735792754,NA,NA,NA
"preserved ~ stimlen * log_freq",1627.18726250025,0.928154161611246,0.628715090733609,0.0939472176982571,0.00954655219613925,3.13902655240275,-0.0215834087773077,0.396750305260044,-0.0357280224709354,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + I(pos^2) + pos",1627.54476009281,1.28565175416861,0.525804463851706,0.0785695574358685,0.0139554691356319,2.57456170741369,0.0183391243222809,0.412658960290044,-0.0375988985217285,0.22227731812574,NA,NA,-0.0302865404881233,NA,NA,NA,NA
"preserved ~ stimlen + log_freq",1627.63805337606,1.37894503741927,0.501840710848841,0.0749887177941788,0.00779408745349622,3.13633491726031,-0.0181595295573407,0.116948610703561,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos",1628.00663830328,1.74752996463667,0.417377169687833,0.0623675563078847,0.010541377218773,3.13566993454079,-9.05246249961612e-05,0.396857692956998,-0.0357371553769184,-0.0413396390855041,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",1628.24469041008,1.98558207143356,0.370541053129346,0.0553689604362208,0.0119594611615639,2.59517469346082,0.0208761826710244,0.118212836777709,NA,0.212209117160753,NA,NA,-0.0290907457205858,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",1628.32009741941,2.06098908076956,0.356830449858933,0.0533202215889999,0.0105099418709362,3.12317101316479,0.0119076589217737,0.226173870582599,NA,-0.0570168572109643,-0.0268225249962005,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",1628.45823671357,2.19912837492757,0.333016184705421,0.0497617195175919,0.00878881031920594,3.13300371627176,0.00331708122550628,0.116993503433999,NA,-0.0413125844887923,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",1628.95892749358,2.69981915493895,0.25926370286611,0.0387410830333304,0.014572405444864,2.59077623442193,0.0311779536881454,0.318381552771962,NA,0.187219683762076,-0.081537851869815,NA,-0.0281377581938503,0.00598238499233597,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",1629.18200643798,2.92289809933868,0.231899996533399,0.0346521974414947,0.0112614901935085,3.13190856041708,0.00597783321233266,0.394999406861406,-0.0255800975489482,-0.0515433224125817,NA,-0.019093829838055,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",1629.36617980516,3.1070714665218,0.211498846743326,0.0316037080877776,0.0156218096944473,2.61641604286419,0.0236731309669585,0.547930372617427,-0.030889237706289,0.186731123377175,NA,-0.0884921551719422,-0.0273427683709734,NA,0.00782136695750004,NA,NA
"preserved ~ I(pos^2) + pos",1632.08615625723,5.82704791858419,0.0542840974654309,0.00811152777673517,0.0051444606405321,2.74986594438873,NA,NA,NA,0.208556009812719,NA,NA,-0.0291870444744748,NA,NA,NA,NA
"preserved ~ pos",1632.63159050802,6.37248216937587,0.0413269237477879,0.00617537189635832,0.00182737714063829,3.17597888123754,NA,NA,NA,-0.0514826552503099,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen",1633.0806556969,6.82154735825202,0.0330156469751988,0.00493343999459054,0.00118522667330716,3.3874233337044,-0.0535933919144587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ 1",1633.10245497801,6.84334663936693,0.0326577423495971,0.00487995926178773,0,2.97332248301638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos",1633.80551824303,7.54640990439134,0.0229783007921527,0.00343358614843727,0.00522261321238983,2.86145043982203,-0.0154717472806932,NA,NA,0.206375503248446,NA,NA,-0.0283799667702671,NA,NA,NA,NA
"preserved ~ stimlen + pos",1633.90381357345,7.64470523480827,0.0218762738037743,0.00326891319734629,0.00217919675224438,3.38418686305498,-0.0321900544976178,NA,NA,-0.0411953870820211,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * pos",1635.33508115045,9.07597281180301,0.0106949201144906,0.00159811336338234,0.00286361820021627,2.81613883671918,0.0365932209172833,NA,NA,0.14047539990266,NA,NA,NA,NA,NA,-0.0212225572051367,NA
"preserved ~ stimlen * (I(pos^2) + pos)",1637.74077984308,11.4816715044394,0.00321208264800074,0.000479972935665354,0.00538512466583046,3.27274038312471,-0.0720253372850826,NA,NA,0.00845548088819347,NA,NA,-0.014053638894491,NA,NA,0.0275279774187045,-0.00212705251993077
