"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos","stimlen","CumPres"
"preserved ~ CumErr + I(pos^2) + pos",1355.52053630787,0,1,0.999373886193242,0.19893378097159,2.47482249695437,-1.56422902291125,-0.0333335767338168,0.444601441690115,NA,NA
"preserved ~ CumErr + pos",1355.97363598697,0,1,0.999214812291877,0.19587107745781,2.9100022331045,-1.55717503195494,NA,0.160582386970626,NA,NA
"preserved ~ CumErr + CumPres",1355.97363598697,0,1,0.999214812291876,0.19587107745781,3.07058462007517,-1.39659264498432,NA,NA,NA,0.160582386970622
"preserved ~ CumErr",1370.27124049498,14.7507041871149,0.000626506070858697,0.000626113806757715,0.184998601117115,3.45305900990556,-1.38872378805154,NA,NA,NA,NA
"preserved ~ CumErr",1370.27124049498,0,1,0.703370939861985,0.184998601117115,3.45305900990556,-1.38872378805154,NA,NA,NA,NA
"preserved ~ CumErr",1370.27124049498,14.2976045080163,0.000785804712324522,0.00078518770812342,0.184998601117115,3.45305900990556,-1.38872378805154,NA,NA,NA,NA
"preserved ~ CumErr",1370.27124049498,14.2976045080172,0.000785804712324165,0.000785187708123063,0.184998601117115,3.45305900990556,-1.38872378805154,NA,NA,NA,NA
"preserved ~ CumErr + stimlen",1371.99804450084,1.726804005855,0.42172492965976,0.296629060138015,0.185344513646163,3.19880407007481,-1.39891752464466,NA,NA,0.0335758484170806,NA
"preserved ~ CumPres",1618.83242357152,262.858787584552,8.33565086535064e-58,8.32910581475196e-58,0.0116954174633991,2.62768619579655,NA,NA,NA,NA,0.142421460441833
"preserved ~ I(pos^2) + pos",1632.08615625723,276.565619949359,8.80113506615852e-61,8.79562455397846e-61,0.0051444606405321,2.74986594438873,NA,-0.0291870444744748,0.208556009812719,NA,NA
"preserved ~ pos",1632.63159050802,276.657954521053,8.40404730731926e-61,8.39744855267507e-61,0.00182737714063829,3.17597888123754,NA,NA,-0.0514826552503099,NA,NA
"preserved ~ stimlen",1633.0806556969,262.809415201912,8.54398727355618e-58,6.00959235877005e-58,0.00118522667330716,3.3874233337044,NA,NA,NA,-0.0535933919144587,NA
