"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos","stimlen","CumPres"
"preserved ~ CumErr + I(pos^2) + pos",2974.52284808845,0,1,0.999999999999993,0.376639057913458,3.94672965294153,-1.34432467848065,0.0590872923422608,-0.70660690047147,NA,NA
"preserved ~ CumErr + pos",3006.92717476485,0,1,0.999999923131003,0.366887364271105,2.91034701466871,-1.35030658962075,NA,-0.155383615130807,NA,NA
"preserved ~ CumErr + CumPres",3006.92717476485,0,1,0.999999923131003,0.366887364271105,2.7549633995379,-1.50569020475155,NA,NA,NA,-0.155383615130801
"preserved ~ CumErr + stimlen",3023.33623436386,0,1,0.999718932143047,0.360293798046244,3.32052050520997,-1.47808218031371,NA,NA,-0.128654600892761,NA
"preserved ~ CumErr",3039.68950101706,65.166652928609,7.06709801217813e-15,7.06709801217808e-15,0.354744390787251,2.33327370079871,-1.54081949709529,NA,NA,NA,NA
"preserved ~ CumErr",3039.68950101706,16.3532666532001,0.000281146878303737,0.000281067856953163,0.354744390787251,2.33327370079871,-1.54081949709529,NA,NA,NA,NA
"preserved ~ CumErr",3039.68950101706,32.7623262522079,7.68690028089644e-08,7.68689969001212e-08,0.354744390787251,2.33327370079871,-1.54081949709529,NA,NA,NA,NA
"preserved ~ CumErr",3039.68950101706,32.7623262522097,7.68690028088944e-08,7.68689969000513e-08,0.354744390787251,2.33327370079871,-1.54081949709529,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",3697.15702122071,722.63417313226,1.20776679929468e-157,1.20776679929467e-157,0.172061044173096,4.06619205705939,NA,0.0360449279440369,-0.756700178914792,NA,NA
"preserved ~ pos",3713.69865737933,706.771482614482,3.36141835323183e-154,3.36141809484297e-154,0.166466574082807,3.34735259215056,NA,NA,-0.402395081365845,NA,NA
"preserved ~ stimlen",4018.93639498787,995.600160624005,6.42942344425117e-217,6.42761633998225e-217,0.0598429417346268,4.08692950643197,NA,NA,NA,-0.316187829795954,NA
"preserved ~ CumPres",4127.84962850373,1120.92245373887,3.93352441265243e-244,3.93352411028635e-244,0.0227242985899342,1.99303010616595,NA,NA,NA,NA,-0.157025833989
