"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ stimlen * log_freq + pos * log_freq",1706.46111172882,0,1,0.201763778596638,0.120605634108073,4.43337489558376,-0.00548849379664581,0.577052087700715,-0.0639834799556886,-0.344365080922348,NA,0.0254476997860264,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + I(pos^2) + pos",1706.7744611231,0.313349394280976,0.854982141720184,0.172504427546111,0.12059707107397,4.8696694922092,-0.00436242605682089,0.54527285946336,-0.0437271410246192,-0.537048624194433,NA,NA,0.0176468323909276,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos",1706.83919982108,0.378088092261351,0.827750046705055,0.167009977156756,0.119583050415947,4.41699784660426,0.00825689152550398,0.551733206449096,-0.0444298054649082,-0.362641826537162,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos + log_freq",1707.51695527572,1.05584354690063,0.589829496134582,0.119006227867865,0.117166846411193,4.45501481984079,NA,0.184620885016678,NA,-0.353665523806596,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",1707.62532857796,1.1642168491428,0.558719106718928,0.112729278145749,0.122439837077278,4.81747342157488,-0.0161551063521527,0.362077246117876,-0.0590845871776435,-0.487618694843535,NA,0.106953897705736,0.0142889132379731,NA,-0.00795102141892268,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",1708.97558853105,2.51447680222827,0.284438447773253,0.057389376000894,0.11846786349208,4.77487555211899,0.0128437414158397,0.187104018858323,NA,-0.548633584846997,NA,NA,0.0187405717795589,NA,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",1709.27658117898,2.81546945015862,0.244696961690106,0.0493709836017127,0.117325325118245,4.29366771931626,0.0263470541409627,0.188320869703,NA,-0.363386694961853,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos * log_freq",1709.48182155192,3.02070982310261,0.220831588367911,0.0445558157026071,0.117172533319788,4.45013423343042,NA,0.176462220936011,NA,-0.352624030433915,0.00156135723951149,NA,NA,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",1709.60682798829,3.14571625946337,0.207451411177528,0.0418561805943829,0.119682958137936,4.75537269758638,NA,-0.0518957723211491,NA,-0.492523596147968,0.107677819805224,NA,0.0134790192024451,-0.0102660194794176,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",1711.26755414659,4.80644241776417,0.0904262019607696,0.0182447321917476,0.117325855921407,4.29340012762035,0.0261433266980944,0.185769740394029,NA,-0.362988403875042,0.000482657798634257,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",1711.5848966873,5.12378495847952,0.0771585811721911,0.0155678068884567,0.119716689971552,4.66638213349173,0.0125446063936904,-0.0476455165585149,NA,-0.490891148392388,0.107339350733619,NA,0.0128258191943422,-0.0102890989804387,NA,NA,NA
"preserved ~ I(pos^2) + pos",1732.58194986015,26.120838131324,2.1278061923371e-06,4.29314217487258e-07,0.101264683860619,4.858779720421,NA,NA,NA,-0.555583550492194,NA,NA,0.0180911161422131,NA,NA,NA,NA
"preserved ~ pos",1732.79813913231,26.3370274034842,1.90979681386083e-06,3.85327821516381e-07,0.100144724076637,4.47094418434993,NA,NA,NA,-0.371308458662679,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos",1733.82926593043,27.3681542016056,1.14046201561758e-06,2.30103925616942e-07,0.101677469517358,5.15491518837302,-0.0419320991166835,NA,NA,-0.559562754507257,NA,NA,0.0201212797773006,NA,NA,NA,NA
"preserved ~ stimlen * pos",1734.43476352659,27.9736517977656,8.42555839243141e-07,1.69997249804358e-07,0.101457302035005,5.67638279529117,-0.151067775734946,NA,NA,-0.614326823151143,NA,NA,NA,NA,NA,0.0292417273514112,NA
"preserved ~ stimlen + pos",1734.46444040022,28.0033286713958,8.30145927206681e-07,1.6749337905983e-07,0.100334835775287,4.63929585934051,-0.027930365088801,NA,NA,-0.360203188269439,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",1737.68499994254,31.2238882137181,1.65889471140736e-07,3.34704865267529e-08,0.101883644090293,5.12679330875947,-0.0538098282477919,NA,NA,-0.403528148607841,NA,NA,-0.0122131786227069,NA,NA,-0.0106882977782106,0.00292454461877934
"preserved ~ stimlen * log_freq",1810.83436877014,104.37325704132,2.16588405630976e-23,4.36996951203272e-24,0.0459359047363615,4.61841143079958,-0.226488819715568,0.552350175467017,-0.0451767922431301,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + log_freq",1813.5120807074,107.050968978574,5.677765415546e-24,1.14556740422587e-24,0.0434718691489282,4.48949931112263,-0.208162551506813,0.181488838648585,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen",1837.73338066217,131.272268933351,3.12312227362369e-29,6.3013295094564e-30,0.0266559158331129,4.82620941361886,-0.259103036254988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ 1",1873.23401645441,166.772904725584,6.10553708306917e-37,1.23187623224193e-37,6.35776134692278e-16,2.78219904667577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
