"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ stimlen * log_freq + I(pos^2) + pos",4474.75254620898,0,1,0.446811434650971,0.182745440353285,3.53918224687936,-0.0731121822398299,0.246340378552675,-0.0296866481509801,-0.672075930167754,NA,NA,0.0347728918062226,NA,NA,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",4475.78732728174,1.03478107275623,0.59607395360887,0.266332658370056,0.181990890773337,2.99797618806999,0.0201384953026789,NA,NA,-0.550894364360057,NA,NA,0.0501313414705924,NA,NA,-0.028189288412867,-0.000268205348733535
"preserved ~ stimlen + I(pos^2) + pos",4477.39535709087,2.64281088188545,0.266760122783069,0.119191473168372,0.180838207223029,3.65302849870593,-0.0829238884927324,NA,NA,-0.681340661769314,NA,NA,0.0357901558454148,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",4477.59156966004,2.83902345105707,0.241832068499329,0.108053333470797,0.183282166830509,3.56074719232622,-0.0743466614960532,0.363329863085316,-0.0344686410613674,-0.682708887767023,NA,-0.047370976004781,0.0362587686763194,NA,0.00549639095313251,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",4479.1499698565,4.39742364752055,0.110945984330982,0.0495719344276901,0.180928568781459,3.627708667153,-0.0797047983337762,0.0107063747795258,NA,-0.680865974738755,NA,NA,0.0357373822307388,NA,NA,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",4482.42085029088,7.66830408189617,0.0216196632889151,0.00965991277079108,0.181323920977145,3.61740411006746,-0.0776603212004722,0.104733205977083,NA,-0.68326324923921,-0.0397199165975813,NA,0.0358859208001356,0.0034869857807544,NA,NA,NA
"preserved ~ I(pos^2) + pos",4489.54119417329,14.7886479643021,0.000614732107787617,0.0002746693350066,0.177573917754663,3.04950287403869,NA,NA,NA,-0.667868008846323,NA,NA,0.0313212701146509,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",4492.23305271405,17.4805065050705,0.000160013358988898,7.14957984931502e-05,0.178663174283112,3.04626610980372,NA,0.129394691283308,NA,-0.66850352783039,-0.0407010382959506,NA,0.0315293010152005,0.00320110724932252,NA,NA,NA
"preserved ~ stimlen * log_freq + pos",4494.85284727203,20.1003010630466,4.31792487330154e-05,1.92929820735497e-05,0.176855577971038,2.81224478337222,-0.0526347575811902,0.265261617455127,-0.0320947886545488,-0.357900853589132,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",4496.83995580508,22.0874095960962,1.59874775057824e-05,7.14338776080877e-06,0.176863437010229,2.8126501183857,-0.0524365405755494,0.265564274120524,-0.0312078437663111,-0.358353753791764,NA,-0.00164701879135517,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos",4498.74636914568,23.9938229366926,6.1632182827677e-06,2.75379640299053e-06,0.174577133079252,2.91214926463907,-0.0626198702519095,NA,NA,-0.357911550942377,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * pos",4499.87299636973,25.1204501607499,3.50883992653899e-06,1.56778980153749e-06,0.175000281382289,3.34194486531094,-0.114635550567373,NA,NA,-0.479272066280695,NA,NA,NA,NA,NA,0.0142836903731167,NA
"preserved ~ stimlen + pos + log_freq",4500.44417289973,25.691626690751,2.63714584389175e-06,1.17830691789312e-06,0.174686847136234,2.88545379449593,-0.0591028336310763,0.0117797202963357,NA,-0.357914599761724,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",4500.97056062004,26.2180144110544,2.02689152793105e-06,9.05638311476772e-07,0.175165522904932,2.86862075403846,-0.055578330711508,0.0633332238709326,NA,-0.36134712993902,-0.0116308063583955,NA,NA,NA,NA,NA,NA
"preserved ~ pos",4505.56852613312,30.8159799241366,2.03420624028554e-07,9.08906608597942e-08,0.172616869905005,2.51362150570961,NA,NA,NA,-0.378746927994455,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos * log_freq",4505.74608849428,30.9935422852932,1.86139183878824e-07,8.31691157936583e-08,0.173726777539344,2.51231241920316,NA,0.083288583019593,NA,-0.379282618822676,-0.0138925716551945,NA,NA,NA,NA,NA,NA
"preserved ~ pos + log_freq",4506.03320943255,31.2806632235697,1.61246495992636e-07,7.20467782069119e-08,0.173035707661184,2.50521640193993,NA,0.0223540430001813,NA,-0.376502968509274,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",4875.88294409603,401.13039788705,7.8639516924308e-88,3.51370353772094e-88,0.0503739050910773,2.77284888827406,-0.237745484552612,0.255349689878882,-0.0306251712666596,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen",4879.79107601257,405.038529803583,1.11429651961624e-88,4.97880426556318e-89,0.047875702288691,2.8678647904411,-0.247244563180569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + log_freq",4881.48716724141,406.734621032431,4.77198690573947e-89,2.1321783154891e-89,0.0479947652673887,2.84297171199887,-0.243965808544521,0.0111313257787111,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ 1",5023.54520298451,548.792656775528,6.77936046984143e-120,3.02909577754593e-120,-3.33587132913947e-16,0.941063227798903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
