Model,AIC,DeltaAIC,AICexp,AICwt,NagR2,(Intercept),CumErr,I(pos^2),pos,stimlen,CumPres
preserved ~ CumErr + I(pos^2) + pos,4296.566251,0,1,1,0.225107915,3.068236054,-0.526719195,0.052332704,-0.694724764,NA,NA
preserved ~ CumErr + pos,4342.152931,0,1,1,0.212828962,2.229078679,-0.481602574,NA,-0.231882861,NA,NA
preserved ~ CumErr + CumPres,4342.152931,0,1,1,0.212828962,1.997195818,-0.713485436,NA,NA,NA,-0.231882861
preserved ~ CumErr + stimlen,4409.743339,0,1,0.999995273,0.186152329,2.348971844,-0.716247055,NA,NA,-0.118062062,NA
preserved ~ CumErr,4434.267572,137.7013209,1.25E-30,1.25E-30,0.178161964,1.468912804,-0.769773504,NA,NA,NA,NA
preserved ~ CumErr,4434.267572,24.52423314,4.73E-06,4.73E-06,0.178161964,1.468912804,-0.769773504,NA,NA,NA,NA
preserved ~ CumErr,4434.267572,92.11464105,9.94E-21,9.94E-21,0.178161964,1.468912804,-0.769773504,NA,NA,NA,NA
preserved ~ CumErr,4434.267572,92.11464105,9.94E-21,9.94E-21,0.178161964,1.468912804,-0.769773504,NA,NA,NA,NA
preserved ~ I(pos^2) + pos,4489.541194,192.9749431,1.25E-42,1.25E-42,0.177573918,3.049502874,NA,0.03132127,-0.667868009,NA,NA
preserved ~ pos,4505.568526,163.4155952,3.27E-36,3.27E-36,0.17261687,2.513621506,NA,NA,-0.378746928,NA,NA
preserved ~ CumPres,4849.529121,507.37619,6.68E-111,6.68E-111,0.066041624,1.606822549,NA,NA,NA,NA,-0.278499367
preserved ~ stimlen,4879.791076,470.0477371,8.52E-103,8.52E-103,0.047875702,2.86786479,NA,NA,NA,-0.247244563,NA
