"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",1496.22049841975,0,1,0.245418219415951,0.0416821094015999,3.9034438859863,-0.18489712498139,0.594604456614824,-0.0838779853160807,0.314535223735506,NA,0.14784365199136,-0.0290633058540664,NA,-0.0153022328403843,NA,NA
"preserved ~ stimlen * log_freq + pos",1496.42873850188,0.208240082127986,0.901117119870609,0.221150559043875,0.0368936322405472,4.39970432165692,-0.195249662592646,0.857124115373598,-0.0841296144744004,0.0537072577486448,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + I(pos^2) + pos",1496.57278063468,0.352282214928437,0.838499656428599,0.205783092661594,0.0383259075115146,4.03811125460689,-0.183980568527891,0.858918577122091,-0.0842661237299696,0.229422860579003,NA,NA,-0.0204702138415829,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",1496.65287296149,0.432374541744821,0.805584425248405,0.197705095233686,0.0351763781104348,4.40367044787836,-0.169514364847647,0.8560612799312,-0.0839738686016701,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",1497.77761352755,1.55711510779997,0.459067714389239,0.112663581056758,0.0373961903243771,4.39716515873103,-0.199883084349053,0.854581833054041,-0.0912485585087592,0.0645280592149255,NA,0.0156837524436302,NA,NA,NA,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",1503.40756690694,7.18706848719603,0.0275009633614424,0.00674923746038852,0.0345934681596454,3.67046896879588,-0.147514581291045,-0.0489152914695969,NA,0.311234204762529,0.153538554289735,NA,-0.0306025039749371,-0.0183248577733109,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",1504.88123111661,8.66073269685944,0.0131627244632416,0.00323037240043153,0.0288151941171669,4.16725145873179,-0.162702114509704,0.172147244543161,NA,0.0533317893852521,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + log_freq",1505.07383710138,8.85333868162979,0.0119542389361328,0.00293378803417856,0.0271179871381689,4.17148605596773,-0.137192245478956,0.172295725815551,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",1505.24020542498,9.01970700523361,0.0110000715394692,0.00269961797066461,0.030084854123355,3.83014991975994,-0.152410460086871,0.172797785806952,NA,0.218223961720381,NA,NA,-0.0191896113965904,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",1506.7955783796,10.5750799598541,0.00505417835925746,0.0012403874535396,0.0288814760735316,4.17099342917373,-0.16125263901942,0.192712578531694,NA,0.0489307015356165,-0.00533273193504121,NA,NA,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",1509.36727233929,13.1467739195393,0.00139705761198382,0.000342863391554569,0.0284390473580421,2.57148804099955,NA,-0.00520543036553333,NA,0.335353223582073,0.151664346012807,NA,-0.0381428621586601,-0.0187755116330421,NA,NA,NA
"preserved ~ pos + log_freq",1513.05166304163,16.8311646218822,0.000221390530204679,5.43332697183857e-05,0.020935045705976,3.05007573920603,NA,0.203385492920974,NA,0.0132466898067434,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos * log_freq",1514.67648755747,18.4559891377264,9.82500725430807e-05,2.41123578610109e-05,0.0212260811325153,3.08041271037706,NA,0.246371788582439,NA,0.00432338425814635,-0.0113205454468902,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * pos",1520.39650508823,24.1760066684806,5.62661053095536e-06,1.3808727378541e-06,0.016786002717427,3.44405008769026,-0.0884159699138586,NA,NA,0.407823254732427,NA,NA,NA,NA,NA,-0.0403440794921012,NA
"preserved ~ stimlen + pos",1521.07726775061,24.856769330861,4.00332750892796e-06,9.82489508979997e-07,0.0147029771401349,4.49662590809209,-0.211916486968304,NA,NA,0.0536920809159946,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen",1521.31202885412,25.0915304343691,3.55994587387161e-06,8.73675577582732e-07,0.0129654702330642,4.50078725309019,-0.186229157626947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos",1521.56398932695,25.3434909072025,3.13856316479218e-06,7.7026058342779e-07,0.0158790023571387,4.1761778091754,-0.202409186346435,NA,NA,0.21139243487779,NA,NA,-0.0183265202799515,NA,NA,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",1521.66683743141,25.4463390116618,2.98124515988146e-06,7.3165187878053e-07,0.0189056359118285,1.92348888859633,0.0744999660515934,NA,NA,1.63132839171404,NA,NA,-0.179529345928089,NA,NA,-0.170117976651016,0.0189163918766265
"preserved ~ 1",1535.94988518966,39.7293867699136,2.35978957514854e-09,5.79135355729279e-10,0,3.03439318216774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",1536.22423531963,40.0037368998774,2.05730605569138e-09,5.04900388981432e-10,0.00290786029052738,2.66203998350992,NA,NA,NA,0.242311557933535,NA,NA,-0.0284211671240374,NA,NA,NA,NA
"preserved ~ pos",1537.92724916628,41.7067507465274,8.7799925284842e-10,2.15477013282595e-10,1.76753036011051e-05,3.05446807708708,NA,NA,NA,-0.00523523873634011,NA,NA,NA,NA,NA,NA,NA
