"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos","stimlen","CumPres"
"preserved ~ CumErr + CumPres",1356.04083616891,0,1,0.999999233838245,0.140446001599271,2.87686927587629,-1.14477100638531,NA,NA,NA,0.232420517065699
"preserved ~ CumErr + pos",1365.51889909249,0,1,0.999912417371132,0.133360152302923,2.76942886798096,-1.35085775287451,NA,0.188626263182523,NA,NA
"preserved ~ CumErr + I(pos^2) + pos",1367.31249451813,0,1,0.999785297520941,0.133514635216588,2.6738616541903,-1.34707996026665,-0.0076102026795838,0.251566673661055,NA,NA
"preserved ~ CumErr + stimlen",1382.97551537988,0,1,0.648973952307874,0.120266737762595,4.06508470262767,-1.10222325432135,NA,NA,-0.0869183224271176,NA
"preserved ~ CumErr",1384.20457968012,16.8920851619912,0.000214748586113056,0.000214702479059243,0.117838674417004,3.3965080420318,-1.13792713505753,NA,NA,NA,NA
"preserved ~ CumErr",1384.20457968012,1.22906430023659,0.54089389326615,0.351026047692127,0.117838674417004,3.3965080420318,-1.13792713505753,NA,NA,NA,NA
"preserved ~ CumErr",1384.20457968012,28.163743511215,7.66162341484732e-07,7.66161754480448e-07,0.117838674417004,3.3965080420318,-1.13792713505753,NA,NA,NA,NA
"preserved ~ CumErr",1384.20457968012,18.6856805876319,8.75903002567005e-05,8.75826288679407e-05,0.117838674417004,3.3965080420318,-1.13792713505753,NA,NA,NA,NA
"preserved ~ CumPres",1505.17765866562,149.136822496718,4.12430211175559e-33,4.12429895187305e-33,0.0254886548211548,2.52883862805002,NA,NA,NA,NA,0.225295845938464
"preserved ~ stimlen",1521.31202885412,138.336513474234,9.13288052277527e-31,5.92700156882107e-31,0.0129654702330642,4.50078725309019,NA,NA,NA,-0.186229157626947,NA
"preserved ~ I(pos^2) + pos",1536.22423531963,168.911740801497,2.09547035233903e-37,2.09502044965958e-37,0.00290786029052738,2.66203998350992,NA,-0.0284211671240374,0.242311557933535,NA,NA
"preserved ~ pos",1537.92724916628,172.408350073787,3.64756016770599e-38,3.64724070479754e-38,1.76753036011051e-05,3.05446807708708,NA,NA,-0.00523523873634011,NA,NA
