"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ pos + log_freq",2164.67854102808,0,1,0.218412595350271,0.0123631696069262,2.70699994719107,NA,0.124053040751617,NA,-0.0497581746999241,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",2165.16184441119,0.48330338310916,0.785329666875156,0.171525890747766,0.0132597157216309,2.37329182051085,0.0509457500371871,0.13526963184767,NA,-0.0642699289643162,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos",2165.71178353053,1.03324250245214,0.596532680874317,0.130290251041014,0.0141165562022675,2.36635688166712,0.0492518496960693,0.318783501535928,-0.0235197719528283,-0.0641739572425143,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos * log_freq",2166.50237966736,1.82383863928726,0.401752392316238,0.0877477826939697,0.0124673190480444,2.69699036903198,NA,0.0997767337421802,NA,-0.0465182784356122,0.00601765213764411,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",2166.96259033434,2.28404930625902,0.319172154295053,0.0697112185831196,0.0145591331866044,2.36722730641728,0.0449304005369627,0.322513531079302,-0.0313425841427945,-0.055993994651987,NA,0.0139470693459266,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",2167.0838159346,2.40527490651994,0.300400872913258,0.0656113342984715,0.0133058305865843,2.37523078148315,0.049594931472919,0.118598763823635,NA,-0.0616619123757651,0.00405758764365236,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",2167.14095759078,2.46241656269876,0.291939619290147,0.0637632899347309,0.0132720599296279,2.40627382756293,0.049905626866614,0.135224082315324,NA,-0.0796933117136336,NA,NA,0.00177556463087993,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + I(pos^2) + pos",2167.7053747165,3.02683368842418,0.220156451054924,0.0480849418580108,0.0141203424826571,2.38473396709301,0.048671105666022,0.318184219930279,-0.0234461984363583,-0.0727330517055708,NA,NA,0.000986050006813075,NA,NA,NA,NA
"preserved ~ stimlen + log_freq",2167.79712756041,3.1185865323373,0.21028463396245,0.0459288126660204,0.0105186555026426,2.38110470564653,0.0168993196834044,0.134975356724504,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",2168.33302960047,3.65448857238971,0.160856231305293,0.0351330269576525,0.0113847866046909,2.37423614284733,0.0152351047267134,0.319320482507703,-0.0236234832515313,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",2168.86306120002,4.18452017194613,0.123407907915135,0.0269538414544919,0.0134362918886764,2.73118197032828,NA,-0.01645341752933,NA,-0.0617252051478695,0.0754666790699507,NA,0.00128911690009343,-0.00778903999644921,NA,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",2169.47286469916,4.79432367108575,0.0909757914805789,0.0198702587313183,0.0142577036181248,2.36570546922847,0.0500278527988308,-5.11752826472277e-05,NA,-0.0521563069798256,0.0754786816110013,NA,-0.00154916660914555,-0.008060490847858,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",2169.8602244118,5.18168338372243,0.0749569228944983,0.0163715360688575,0.0152101928889079,2.36811395535533,0.0454287946476604,0.197631859640403,-0.0276772905522561,-0.0519127755428654,NA,0.0732767190248116,-0.000899954629390899,NA,-0.00680158334221552,NA,NA
"preserved ~ pos",2178.27060361432,13.5920625862482,0.00111820417787992,0.000244229876622268,0.00312679681798615,2.73418790809021,NA,NA,NA,-0.0624748902691856,NA,NA,NA,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",2180.23002276511,15.5514817370322,0.000419796340225432,9.16888081871818e-05,0.00315088246766332,2.77012119547127,NA,NA,NA,-0.0839953400927987,NA,NA,0.00242340555046294,NA,NA,NA,NA
"preserved ~ stimlen + pos",2180.26030876256,15.5817677344799,0.00041348725458019,9.03108244171174e-05,0.0031329070678094,2.70833076723488,0.00400426454866383,NA,NA,-0.0637497934250601,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * pos",2181.31481447184,16.6362734437653,0.000244050174190379,5.33036319406062e-05,0.00369401470280291,3.21329992362879,-0.05742399859328,NA,NA,-0.21998197644857,NA,NA,NA,NA,NA,0.0184031189784949,NA
"preserved ~ 1",2181.53533191361,16.8567908855334,0.000218571920328493,4.77388603896388e-05,2.65375121013554e-16,2.48625417727877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos",2182.2255553138,17.547014285728,0.000154779792789647,3.3805856250964e-05,0.00315353398596712,2.75067205099975,0.0026795722320127,NA,NA,-0.0835644108753977,NA,NA,0.00227889948435416,NA,NA,NA,NA
"preserved ~ stimlen",2182.8414768424,18.1629358143236,0.000113754503789654,2.48454164054806e-05,0.000412324570561289,2.71570190223575,-0.0297102907110408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",2184.80758184393,20.1290408158566,4.25632051015892e-05,9.29634009266399e-06,0.00399497971861548,2.86452983063827,-0.0301380721300256,NA,NA,0.0660792763074264,NA,NA,-0.0460456932575127,NA,NA,-0.00613421989503021,0.00426053593696186
