"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos","stimlen","CumPres"
"preserved ~ CumErr + CumPres",2050.60805361148,0,1,0.921792331531239,0.078857558810375,2.57159935872871,-0.883800467210945,NA,NA,NA,0.08234014765219
"preserved ~ CumErr + pos",2054.57441478785,0,1,0.618638102843905,0.0765769808803465,2.58759084988563,-0.938578593089367,NA,0.0530319101287354,NA,NA
"preserved ~ CumErr",2055.54195812394,0,1,0.575181953055958,0.0748692317164973,2.77573449083772,-0.879023748813502,NA,NA,NA,NA
"preserved ~ CumErr",2055.54195812394,0,1,0.661279232664575,0.0748692317164973,2.77573449083772,-0.879023748813502,NA,NA,NA,NA
"preserved ~ CumErr",2055.54195812394,4.93390451246432,0.0848430452213092,0.078207668468761,0.0748692317164973,2.77573449083772,-0.879023748813502,NA,NA,NA,NA
"preserved ~ CumErr",2055.54195812394,0.967543336088056,0.616453941978289,0.381361897156095,0.0748692317164973,2.77573449083772,-0.879023748813502,NA,NA,NA,NA
"preserved ~ CumErr + I(pos^2) + pos",2056.14800908078,0.606050956845593,0.738580278270157,0.424818046944042,0.076822263497674,2.70490233796355,-0.940756546349498,0.00819397373451038,-0.0184331906439023,NA,NA
"preserved ~ CumErr + stimlen",2056.87995835914,1.33800023520462,0.512220482065609,0.338720767335425,0.0752503057118105,2.54648295501659,-0.890266977643963,NA,NA,0.0302317799174237,NA
"preserved ~ CumPres",2177.4188456334,126.810792021929,2.90660749804601e-28,2.67928850247001e-28,0.00363228342259638,2.30347660348741,NA,NA,NA,NA,0.0733388863302623
"preserved ~ pos",2178.27060361432,123.696188826473,1.3794751456723e-27,8.53395887039029e-28,0.00312679681798615,2.73418790809021,NA,NA,-0.0624748902691856,NA,NA
"preserved ~ I(pos^2) + pos",2180.23002276511,124.688064641169,8.40099610921212e-28,4.83210134971213e-28,0.00315088246766332,2.77012119547127,NA,0.00242340555046294,-0.0839953400927987,NA,NA
"preserved ~ stimlen",2182.8414768424,127.299518718461,2.27646373293549e-28,1.50537819050431e-28,0.000412324570561289,2.71570190223575,NA,NA,NA,-0.0297102907110408,NA
