"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ pos * log_freq",3507.61798078649,0,1,0.370413955640405,0.00989310252558473,1.91516344801189,NA,0.161242509492545,NA,-0.0570897974476218,-0.021338535146494,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",3509.48140411512,1.86342332863251,0.393878944515775,0.145898257881556,0.00995067991950862,1.98693883712974,-0.0110561717665987,0.156850474449415,NA,-0.0536905822513187,-0.0208463320724702,NA,NA,NA,NA,NA,NA
"preserved ~ pos + log_freq",3509.64874354649,2.03076276000593,0.362264243145221,0.134187731290499,0.00819296206526182,1.89393811469928,NA,0.0765645760656612,NA,-0.0497871256410537,NA,NA,NA,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",3510.94870166361,3.33072087711889,0.189122478661724,0.0700536054216074,0.0101752358407668,1.81184281477745,NA,0.163554458638016,NA,0.00600032292057063,-0.0224959664620959,NA,-0.00719411814315365,7.51525254164536e-05,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",3511.28214552118,3.66416473469053,0.16007987535558,0.0592958198488835,0.00834765943298809,2.01157860970837,-0.0179612862687589,0.0726091215178548,NA,-0.0445950434175679,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",3511.32440555554,3.70642476904914,0.156732870503573,0.0580560425421036,0.0100168642993688,1.97881878121462,-0.0110973791684336,0.19685448348848,-0.00604717017623173,-0.0527103291478734,NA,-0.0190346886734933,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos",3511.98387693211,4.36589614562172,0.112708766724605,0.0417489001178126,0.00889539209241037,1.98242970878545,-0.0159906933808762,0.19747501931459,-0.015953013595734,-0.0445351889193717,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",3512.89970590862,5.28172512213041,0.0712997426428779,0.0264104197084912,0.0101958880859568,1.86108900541192,-0.00674831156780757,0.161253934539225,NA,0.00474245129638463,-0.0224390443540231,NA,-0.00681256596997914,0.00010562419843063,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",3512.9843322336,5.36635144711499,0.0683457619020063,0.0253162240173794,0.00847332070990267,1.9230093950928,-0.0151484645503438,0.0727753945364478,NA,-0.00259275518496154,NA,NA,-0.0048730286786353,NA,NA,NA,NA
"preserved ~ stimlen + log_freq",3513.49118978053,5.87320899404131,0.0530455395791498,0.0196488081445925,0.00657068544974594,2.01474724957215,-0.041018814952151,0.0725574225017967,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + I(pos^2) + pos",3513.60832472706,5.99034394057753,0.050028023013221,0.0185310778971964,0.00905380304591815,1.88176244408626,-0.0127410730384165,0.2013303556401,-0.0164225129483741,0.00272178915030879,NA,NA,-0.00548467894430489,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",3514.18233183955,6.56435105305991,0.037546484517361,0.0139077418504669,0.00712345564177439,1.98552673479582,-0.0390147990795241,0.197899027434232,-0.0160114470606873,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",3514.73307922652,7.11509844003149,0.0285086074927601,0.010559986071193,0.0102661211919234,1.85442905093604,-0.00686939572238805,0.208324064887146,-0.00634311381130113,0.00492982282024691,NA,-0.0236940849330475,-0.00670503921724024,NA,0.000465529678292673,NA,NA
"preserved ~ stimlen + pos",3518.45385929435,10.8358785078608,0.00443627927967122,0.00164325975630858,0.00447318685692382,2.19053718854915,-0.0421842022156518,NA,NA,-0.044524418220407,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos",3518.65318500288,11.0352042163972,0.00401546505782172,0.00148738429580357,0.00354281299903536,1.91798819558523,NA,NA,NA,-0.0579044386092972,NA,NA,NA,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",3520.07626269867,12.4582819121811,0.00197114446918948,0.000730139419971182,0.00378691521761082,1.82175073560155,NA,NA,NA,0.000760891293475246,NA,NA,-0.00666783598498261,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos",3520.19643609985,12.5784553133681,0.00185619301164095,0.000687559795873998,0.00458205096125028,2.10869309408074,-0.0396278126212977,NA,NA,-0.005541000087405,NA,NA,-0.0045207729255559,NA,NA,NA,NA
"preserved ~ stimlen * pos",3520.31804065384,12.7000598673571,0.00174669485047636,0.000647000148861672,0.00453062533015041,2.32687832888753,-0.0587370332953997,NA,NA,-0.0877759586819734,NA,NA,NA,NA,NA,0.00508110449974918,NA
"preserved ~ stimlen",3520.65999890694,13.0420181204504,0.00147218283147223,0.000545317066031521,0.00269343856665691,2.1936618981178,-0.0651991836075572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",3523.00245380904,15.3844730225524,0.000456356383343044,0.000169040773135846,0.00508689539618009,2.79764431417163,-0.131163151897328,NA,NA,-0.362846119576543,NA,NA,0.0282694244936636,NA,NA,0.0470458310601205,-0.00432869282474739
"preserved ~ 1",3525.01724832629,17.3992675397999,0.000166646830898841,6.17283118281773e-05,1.91829054139508e-16,1.69146844854879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
