"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos","stimlen","CumPres"
"preserved ~ CumErr + CumPres",3292.86754260614,0,1,0.999999903875984,0.0972838732551079,1.74068702001855,-0.67383769310141,NA,NA,NA,0.143987238919769
"preserved ~ CumErr + pos",3309.63808109669,0,1,0.999578958197573,0.0905595313707325,1.72463354324007,-0.778669323674793,NA,0.101799704944079,NA,NA
"preserved ~ CumErr + I(pos^2) + pos",3311.6244220281,0,1,0.998864092505608,0.0905650194009346,1.70960048934182,-0.778534980400766,-0.00110048584166833,0.111218354802492,NA,NA
"preserved ~ CumErr",3325.18279570783,13.5583736797307,0.00113719924754011,0.00113590749439221,0.0834950921131216,2.05393648786858,-0.662168031681666,NA,NA,NA,NA
"preserved ~ CumErr",3325.18279570783,0,1,0.694206964020198,0.0834950921131216,2.05393648786858,-0.662168031681666,NA,NA,NA,NA
"preserved ~ CumErr",3325.18279570783,32.3152531016854,9.61240251319089e-08,9.61240158920816e-08,0.0834950921131216,2.05393648786858,-0.662168031681666,NA,NA,NA,NA
"preserved ~ CumErr",3325.18279570783,15.5447146111405,0.000421219153298387,0.000421041802426865,0.0834950921131216,2.05393648786858,-0.662168031681666,NA,NA,NA,NA
"preserved ~ CumErr + stimlen",3326.82251893779,1.6397232299646,0.440492607865722,0.305793035979802,0.0836404648714499,1.93076818893917,-0.66901456629071,NA,NA,0.0165282454394799,NA
"preserved ~ CumPres",3496.69776072145,203.830218115308,5.48063037938276e-45,5.48062985256256e-45,0.0128080716092478,1.40915285670958,NA,NA,NA,NA,0.127987536628662
"preserved ~ pos",3518.65318500288,209.015103906197,4.10153922761816e-46,4.09981230814903e-46,0.00354281299903536,1.91798819558523,NA,NA,-0.0579044386092972,NA,NA
"preserved ~ I(pos^2) + pos",3520.07626269867,208.451840670571,5.43573063195463e-46,5.4295561447923e-46,0.00378691521761082,1.82175073560155,NA,-0.00666783598498261,0.000760891293475246,NA,NA
"preserved ~ stimlen",3520.65999890694,195.47720319911,3.56997073824927e-43,2.47829854784097e-43,0.00269343856665691,2.1936618981178,NA,NA,NA,-0.0651991836075572,NA
