"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ stimlen + I(pos^2) + pos + log_freq",1694.11264212807,0,1,0.307117629535198,0.0184530411369361,2.21882267250106,0.00461493480853137,0.146144440147557,NA,0.39694634081858,NA,NA,-0.0388630229176949,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",1694.29417398735,0.181531859283496,0.913231446295531,0.280469477003284,0.0197289412228396,2.19733033960932,NA,-0.000974956087395442,NA,0.435406780467626,0.0867199722219848,NA,-0.0430646767322209,-0.00912259788274895,NA,NA,NA
"preserved ~ stimlen * log_freq + I(pos^2) + pos",1695.97068570709,1.8580435790193,0.394939855785049,0.121292992317678,0.0185526616913166,2.21659082118904,0.00356267791587609,0.210126593797995,-0.00827392693743603,0.399222410968574,NA,NA,-0.0391468812811471,NA,NA,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",1696.2885886326,2.17594650453452,0.336898610729132,0.103467502720833,0.0197328592864577,2.17133106716594,0.00356219183401007,9.43857579547645e-05,NA,0.436045791565934,0.0867150971270137,NA,-0.0432617953870592,-0.00913887908832137,NA,NA,NA
"preserved ~ pos + log_freq",1697.52618817185,3.41354604378171,0.181450385297182,0.0557266122107191,0.0132459669566883,2.74905852769887,NA,0.148483125786281,NA,0.0684781705003209,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",1698.08887130347,3.97622917540593,0.136953395795423,0.0420608022734862,0.019872955472841,2.17704187901241,0.00113827333514801,0.0773490256651769,-0.0107890545096609,0.436266884414737,NA,0.086097573781593,-0.0430149613584747,NA,-0.00867927743535165,NA,NA
"preserved ~ pos * log_freq",1698.76091285095,4.64827072288654,0.097868027949267,0.0300569967510634,0.0137838828274539,2.72023560484122,NA,0.0933395750629197,NA,0.0787973862501981,0.0155385515553859,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",1699.41664913594,5.30400700787663,0.0705098047801407,0.0216548041030664,0.0133229682476336,2.85194030264302,-0.015376203820894,0.145081196780045,NA,0.072406191929045,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",1700.59571070102,6.48306857295347,0.0391038525373841,0.0120094824969754,0.0138999919407738,2.84617474722017,-0.0189500709996408,0.0870877949171404,NA,0.0839594001180002,0.0161158092178028,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos",1701.35673092121,7.24408879314365,0.0267279780123764,0.00820863324942996,0.0133650873952071,2.85377984751707,-0.0162320331306899,0.187209128637373,-0.00544954634538795,0.0724126404450609,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + log_freq",1701.56779874774,7.4551566196717,0.0240510094620829,0.00738648901392352,0.0104035423626137,2.86255774975805,0.0182560171283444,0.144969834623571,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",1702.23104285844,8.11840073037615,0.0172628175476206,0.00530171560432387,0.014156276160435,2.84780846572554,-0.0216418161914594,0.183216277343168,-0.0143555193024315,0.0863890806591177,NA,0.0202411339318858,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",1703.50846994338,9.39582781531476,0.00911427049370857,0.00279915314897038,0.010445286653923,2.86440594874784,0.0174054007233469,0.186885730564988,-0.00542142229092868,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",1705.49073733299,11.3780952049171,0.0033828132186471,0.00103892157687123,0.00764207417845489,2.24752876524983,NA,NA,NA,0.397934424329554,NA,NA,-0.0404220924492864,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos",1706.61744385738,12.5048017293109,0.00192582493638784,0.000591454789363209,0.00825702391356412,2.5554888280419,-0.0423186901076212,NA,NA,0.391386522218743,NA,NA,-0.0381829057216836,NA,NA,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",1707.35059297688,13.2379508488111,0.00133479784654419,0.000409939950539341,0.0105563675880141,0.855716822503052,0.172062746064543,NA,NA,1.53540320434239,NA,NA,-0.175111798052476,NA,NA,-0.139934968389565,0.0163056059767663
"preserved ~ stimlen * pos",1708.22937918475,14.116737056685,0.000860180309621259,0.000264176537663734,0.00712184696658265,1.91036120174504,0.0919193275996271,NA,NA,0.521492720315037,NA,NA,NA,NA,NA,-0.0525769242536842,NA
"preserved ~ pos",1711.65839793465,17.5457558065837,0.000154877217008614,4.75655237566941e-05,0.00188470004592341,2.76823764445538,NA,NA,NA,0.0545009117256471,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos",1711.72878841051,17.6161462824446,0.000149521084561411,4.59205610560325e-05,0.00324584624243741,3.17672574628586,-0.0616753111794057,NA,NA,0.0722129274425951,NA,NA,NA,NA,NA,NA,NA
"preserved ~ 1",1712.32881632458,18.216174196516,0.000110766397837824,3.40183135361053e-05,-6.88019663474909e-16,2.97089361343918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen",1713.87372433582,19.7610822077559,5.11605871859105e-05,1.57123182621657e-05,0.000321271143417038,3.18714681297508,-0.0281071512564156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
