"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos","stimlen","CumPres"
"preserved ~ CumErr + CumPres",1623.64667866588,0,1,0.999999129882732,0.0647461092372532,2.73564017719525,-0.986412348432312,NA,NA,NA,0.205792791560091
"preserved ~ CumErr + I(pos^2) + pos",1629.49013555838,0,1,0.999983839243591,0.0620882237281316,2.14575764851369,-1.14575401822473,-0.0424102116318202,0.512438103816791,NA,NA
"preserved ~ CumErr + pos",1635.86022706059,0,1,0.99960956665554,0.0562919513986941,2.68184071023058,-1.14280986874813,NA,0.155075193860389,NA,NA
"preserved ~ CumErr",1651.55595263354,22.0658170751606,1.61610175834601e-05,1.61607564091916e-05,0.0440012464196452,3.20294463186835,-0.947855192701932,NA,NA,NA,NA
"preserved ~ CumErr",1651.55595263354,0,1,0.729769960053316,0.0440012464196452,3.20294463186835,-0.947855192701932,NA,NA,NA,NA
"preserved ~ CumErr",1651.55595263354,27.9092739676573,8.70118016081889e-07,8.70117258977178e-07,0.0440012464196452,3.20294463186835,-0.947855192701932,NA,NA,NA,NA
"preserved ~ CumErr",1651.55595263354,15.6957255729485,0.000390585842196922,0.000390433344460254,0.0440012464196452,3.20294463186835,-0.947855192701932,NA,NA,NA,NA
"preserved ~ CumErr + stimlen",1653.54286416396,1.98691153042205,0.370294825408983,0.270230039946663,0.0440103554436732,3.16572663972552,-0.949410395928423,NA,NA,0.00489211925795712,NA
"preserved ~ CumPres",1688.31796204178,64.6712833758909,9.05334866012233e-15,9.05334078264733e-15,0.0183089483744421,2.54092554185324,NA,NA,NA,NA,0.184819461965424
"preserved ~ I(pos^2) + pos",1705.49073733299,76.0006017746043,3.13818840893468e-17,3.13813769343623e-17,0.00764207417845489,2.24752876524983,NA,-0.0404220924492864,0.397934424329554,NA,NA
"preserved ~ pos",1711.65839793465,75.7981708740588,3.47245259452806e-17,3.4710968332481e-17,0.00188470004592341,2.76823764445538,NA,NA,0.0545009117256471,NA,NA
"preserved ~ stimlen",1713.87372433582,62.3177717022825,2.93675564753293e-14,2.14315605158646e-14,0.000321271143417038,3.18714681297508,NA,NA,NA,-0.0281071512564156,NA
