"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ stimlen * log_freq + I(pos^2) + pos",3070.83649521369,0,1,0.77150158241431,0.106400546356737,0.964492918656691,-0.109913523022639,0.587578751075897,-0.0642684478225732,0.772030916134275,NA,NA,-0.0552988936409849,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",3073.27207233211,2.43557711841822,0.295883773397489,0.22827479938688,0.107040435846722,0.969225566745228,-0.112513506301297,0.538916434207015,-0.068349768354733,0.779676887867248,NA,0.0422046304484563,-0.0556962986571325,NA,-0.00352427458251873,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",3087.70415237164,16.8676571579485,0.000217387609488555,0.000167714884717685,0.0986647021643772,1.06552972114276,-0.114389521959943,0.0883773908324326,NA,0.757824917109073,NA,NA,-0.0535130323444858,NA,NA,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",3090.35772367747,19.5212284637837,5.76791828587499e-05,4.44995808478899e-05,0.0992178781970849,1.03464697351854,-0.112455173386116,0.0354820549142613,NA,0.774060315571138,0.0439404776237814,NA,-0.0560980254010482,-0.00596431106725845,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",3094.99485637989,24.1583611661995,5.67647235121001e-06,4.3794074014896e-06,0.0964893435802741,1.6729311924376,-0.129909936122294,0.551795449288642,-0.0678973336627365,0.352487841141513,NA,0.0206651509849944,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos",3095.1419564241,24.3054612104074,5.27395182133066e-06,4.06886217573343e-06,0.0956057598419698,1.67496135903719,-0.127388583475435,0.569019602844474,-0.0622166551802731,0.344415879528547,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",3096.90242227143,26.0659270577394,2.18703562083379e-06,1.68730144226973e-06,0.0957043559642864,2.06982437743874,-0.25711247299687,NA,NA,0.425117040075416,NA,NA,-0.0554905851485786,NA,NA,0.0529560814790271,-0.00151108496482903
"preserved ~ stimlen + I(pos^2) + pos",3097.66284311794,26.8263479042466,1.49531457959493e-06,1.15363756436467e-06,0.0937438527428121,1.28726891617442,-0.143307495525354,NA,NA,0.753111306784214,NA,NA,-0.0530256020227087,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",3102.32593474927,31.4894395355755,1.45263025649241e-07,1.1207065415468e-07,0.0934705956674993,0.206779736159396,NA,0.0688176805758306,NA,0.790373437563043,0.0445885019163548,NA,-0.0617810703604494,-0.00658824014248317,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",3110.65452521991,39.8180300062218,2.2574838081992e-09,1.74165233030037e-09,0.0883823061126798,1.74575784511765,-0.130418154842473,0.0867598937605932,NA,0.343557341835641,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",3112.53514889348,41.698653679794,8.81561067316846e-10,6.80125758429795e-10,0.088431645874533,1.74629003043399,-0.131083910110934,0.0730847430969685,NA,0.345665799307122,0.00461881905715249,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos",3120.30175879081,49.4652635771167,1.81448963325611e-11,1.39988162333145e-11,0.0835617198488413,1.95829382457476,-0.158764337453627,NA,NA,0.342575655150516,NA,NA,NA,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",3120.88143014387,50.0449349301794,1.35793960932874e-11,1.04765255742019e-11,0.0833214605108212,0.240575212919152,NA,NA,NA,0.769660409026893,NA,NA,-0.0599137133980239,NA,NA,NA,NA
"preserved ~ stimlen * pos",3121.56992116285,50.7334259491558,9.62446352877777e-12,7.42528884234086e-12,0.0838650017604292,1.65291636396593,-0.121513207891584,NA,NA,0.466110650378842,NA,NA,NA,NA,NA,-0.0146866907835957,NA
"preserved ~ pos + log_freq",3128.43845738897,57.6019621752775,3.10379364971994e-13,2.39458171224642e-13,0.0801862762284355,0.844499932133379,NA,0.119341504847722,NA,0.31563045851671,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos * log_freq",3130.43491077149,59.5984155578035,1.14384847243646e-13,8.82480906526923e-14,0.0801877489149982,0.843734654696342,NA,0.1170042256014,NA,0.315993504114211,0.000802330769819753,NA,NA,NA,NA,NA,NA
"preserved ~ pos",3150.63837445691,79.8018792432204,4.69074797311469e-18,3.6189194839647e-18,0.0701090570742081,0.872819472296447,NA,NA,NA,0.303886789921309,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",3290.11929905962,219.282803845926,2.41737572533602e-48,1.86500919738668e-48,0.0126260830710193,1.83978366695348,0.00280318828554743,0.550246738854411,-0.0600352525334904,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + log_freq",3305.06531429091,234.228819077224,1.37359337031238e-51,1.0597294587898e-51,0.00530696641871707,1.9071917988023,-0.000375306387865359,0.0828602902588745,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ 1",3313.31067524371,242.474180030018,2.22536270023669e-53,1.71687084467839e-53,0,1.89550577952419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen",3314.23368385621,243.397188642516,1.40272336452368e-53,1.08220329541954e-53,0.000467363210751099,2.10960464807694,-0.027778426701532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
