"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ stimlen + log_freq",1687.13499795726,0,1,0.216741522834603,0.0656977773716463,5.46278208819809,-0.313317044930833,0.193891057865943,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",1687.60566582171,0.47066786445157,0.790306896618939,0.171292320279878,0.0667290378744962,5.46220448090124,-0.332494542409235,0.194035451263808,NA,0.0391913063266693,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",1688.07937558715,0.944377629885821,0.623635750051865,0.135167762160341,0.0664096456770966,5.54501119028019,-0.324558703429655,0.42050546920817,-0.026761087382355,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",1688.20748881216,1.07249085490548,0.584940335556871,0.12678085909598,0.0676715290598941,5.16022520691513,-0.323062519364692,0.194436140234067,NA,0.178833878802314,NA,NA,-0.01579225093175,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos",1688.55891458353,1.42391662627415,0.490682346280603,0.106351238960914,0.067434667491444,5.54404912408862,-0.343614027480462,0.419765435688997,-0.0266575181423473,0.0390468896395676,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + I(pos^2) + pos",1689.06257958003,1.9275816227705,0.381444158924006,0.0826747878815533,0.0684430623196249,5.2337590512014,-0.334164892525887,0.429184438284097,-0.0277217479699036,0.183581090562113,NA,NA,-0.0163520158775738,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",1689.13823697098,2.00323901372076,0.367284140069895,0.0796057238317466,0.0670441599276469,5.4772274897159,-0.329405246714634,0.239701476558931,NA,0.028565887713132,-0.0111548739516884,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",1690.40090505834,3.26590710107826,0.195351739978855,0.0423408336114064,0.0675411686339305,5.54482230248411,-0.340644217740274,0.42047104611434,-0.0234538221581358,0.0327525667766524,NA,-0.00680178857465048,NA,NA,NA,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",1691.38712889198,4.25213093471643,0.119305784104855,0.0258585173298626,0.068224375880738,5.11614832630044,-0.318474714960436,0.194379057887881,NA,0.198752528673725,0.018644331882496,NA,-0.0193434279029858,-0.00341709391212429,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",1692.73435347568,5.59935551842136,0.0608296612653679,0.0131843134161689,0.0686642090446845,5.19005032427504,-0.329374940746597,0.378537106060979,-0.0223313909700401,0.197455837770851,NA,0.0150323669701005,-0.0187237949689374,NA,-0.00253415160390241,NA,NA
"preserved ~ stimlen",1712.33016559466,25.195167637396,3.38017248502801e-06,7.32623731848594e-07,0.0472966309454435,5.83155057789217,-0.369342774941337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos",1712.82679986893,25.6918019116738,2.63691481244818e-06,5.71528932035141e-07,0.0483169734347067,5.83089870844519,-0.388268607883998,NA,NA,0.0386765386006842,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos",1713.52207508336,26.3870771260981,1.86259745533586e-06,4.03702208897351e-07,0.0492022011180458,5.54224195355036,-0.379444694145305,NA,NA,0.172813182052131,NA,NA,-0.0151525040539877,NA,NA,NA,NA
"preserved ~ stimlen * pos",1713.84202267806,26.7070247208021,1.58724244231886e-06,3.44021344055904e-07,0.048985149022404,5.13968227008491,-0.309546737442362,NA,NA,0.256766988413526,NA,NA,NA,NA,NA,-0.0243008224576634,NA
"preserved ~ stimlen * (I(pos^2) + pos)",1717.07548885409,29.9404908968274,3.15141072738005e-07,6.83041560129655e-08,0.0495051370653245,4.7255173285651,-0.281958764672107,NA,NA,0.635548615973465,NA,NA,-0.0624842004424977,NA,NA,-0.0544491836593653,0.00550648019132568
"preserved ~ (I(pos^2) + pos) * log_freq",1728.43485248836,41.2998545310998,1.07609481016765e-09,2.3323442787015e-10,0.0417896366911419,2.67062017031858,NA,0.282294755044418,NA,0.253604011340845,0.0164145397985763,NA,-0.0349146281421603,-0.00448408819485914,NA,NA,NA
"preserved ~ pos + log_freq",1730.23170584172,43.0967078844578,4.38196383347994e-10,9.49753514274597e-11,0.0364817667665975,3.09702776760109,NA,0.254066381739027,NA,-0.0351747983982837,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos * log_freq",1730.36247494267,43.2274769854134,4.10461699809038e-10,8.89640938818906e-11,0.0377551830895922,3.17824152835002,NA,0.346648548624146,NA,-0.0569067676221443,-0.022966024291707,NA,NA,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",1773.45880959356,86.3238116362979,1.79896400915136e-19,3.89910198868109e-20,0.00687450907955496,2.60911661174597,NA,NA,NA,0.233177661051923,NA,NA,-0.0328962612122139,NA,NA,NA,NA
"preserved ~ pos",1777.71179573752,90.5767977802641,2.14535055889919e-20,4.64986547149878e-21,0.0025663963619292,3.09117254072479,NA,NA,NA,-0.0605510584330594,NA,NA,NA,NA,NA,NA,NA
"preserved ~ 1",1779.43235537552,92.2973574182613,9.07577016978929e-21,1.96709624749699e-21,3.21632970251499e-16,2.85254744788798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
