"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos","stimlen","CumPres"
"preserved ~ CumErr + CumPres",1392.84013231992,0,1,0.999999548114125,0.25738558333819,2.88851592094269,-1.31789303970072,NA,NA,NA,0.230581248311251
"preserved ~ CumErr + pos",1393.55344363531,0,1,0.999999354461326,0.256937027943957,2.66893615181219,-1.55604544077508,NA,0.22661748852119,NA,NA
"preserved ~ CumErr + I(pos^2) + pos",1393.88763594267,0,1,0.999999237058652,0.257984427937474,2.4033282879331,-1.5622974121987,-0.0219208874919273,0.407118223088413,NA,NA
"preserved ~ CumErr + stimlen",1408.91912978361,0,1,0.998600635870896,0.247256013267338,4.96177240428174,-1.25076674363857,NA,NA,-0.19754472352109,NA
"preserved ~ CumErr",1422.05980377338,28.172167830711,7.62941930513666e-07,7.6294134843372e-07,0.237682042340435,3.4166264399423,-1.3339202520216,NA,NA,NA,NA
"preserved ~ CumErr",1422.05980377338,13.1406739897641,0.00140132509317213,0.00139936412910354,0.237682042340435,3.4166264399423,-1.3339202520216,NA,NA,NA,NA
"preserved ~ CumErr",1422.05980377338,29.2196714534612,4.51886078892015e-07,4.51885874691079e-07,0.237682042340435,3.4166264399423,-1.3339202520216,NA,NA,NA,NA
"preserved ~ CumErr",1422.05980377338,28.5063601380702,6.45539091130293e-07,6.45538674409844e-07,0.237682042340435,3.4166264399423,-1.3339202520216,NA,NA,NA,NA
"preserved ~ stimlen",1712.33016559466,303.411035811042,1.30355902081077e-66,1.30173486707688e-66,0.0472966309454435,5.83155057789217,NA,NA,NA,-0.369342774941337,NA
"preserved ~ CumPres",1718.48596623384,325.64583391392,1.93600127149364e-71,1.93600039664201e-71,0.0431148421859688,2.22552524327694,NA,NA,NA,NA,0.29666240850655
"preserved ~ I(pos^2) + pos",1773.45880959356,379.571173650891,3.77717317688874e-83,3.77717029512714e-83,0.00687450907955496,2.60911661174597,NA,-0.0328962612122139,0.233177661051923,NA,NA
"preserved ~ pos",1777.71179573752,384.158352102217,3.81130542006045e-84,3.8113029597154e-84,0.0025663963619292,3.09117254072479,NA,NA,-0.0605510584330594,NA,NA
