"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ stimlen * log_freq + I(pos^2) + pos",4794.01727449166,0,1,0.545735300156796,0.0514025345727634,1.74324358558372,-0.187836009148005,0.236571308364787,-0.0242148576090181,-0.288779657429774,NA,NA,0.0309879185488107,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",4795.31849445504,1.3012199633813,0.521727435496553,0.284725078610747,0.0523735349759196,1.75937235260037,-0.189672995996345,0.333844668920173,-0.030779383596305,-0.296477783926964,NA,-0.0401934419006395,0.0323657454947409,NA,0.00554347434908842,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",4797.00699279801,2.98971830635492,0.224280191658378,0.122397617713909,0.0496053388764912,1.83353418785836,-0.195734654672258,0.0487992521323558,NA,-0.294274158987609,NA,NA,0.0316391347653139,NA,NA,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",4800.01239290593,5.9951184142692,0.049908736712336,0.0272369594101532,0.0499637740202997,1.83691385116595,-0.196206439466185,0.10319325807482,NA,-0.29562576052986,-0.0325921302902489,NA,0.0319633504269595,0.00363635381465577,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos",4801.83442554126,7.81715104960222,0.0200690686004644,0.0109523991765418,0.0471421643453065,1.95995829809874,-0.21162944110472,NA,NA,-0.296217643467304,NA,NA,0.0319065491394335,NA,NA,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",4802.31137544922,8.29410095755611,0.0158109826059502,0.0086286113382321,0.0484137845003847,1.09774556263485,-0.109555217166352,NA,NA,0.319259188964191,NA,NA,-0.0529852964940954,NA,NA,-0.0709556216162892,0.00955979173178004
"preserved ~ stimlen * log_freq + pos",4810.79147047603,16.7741959843734,0.000227787360814003,0.000124311603725754,0.044627381177558,1.19505562902047,-0.168899535574998,0.251264240558703,-0.0259893774225124,-0.0275956015365589,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",4811.36861317309,17.3513386814266,0.000170688663754255,9.3150829147291e-05,0.0436945700010616,1.19277838939413,-0.182244277197571,0.251655236655988,-0.0260619536147832,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",4812.72676545289,18.7094909612288,8.65537040494882e-05,4.723541165913e-05,0.0446507928619218,1.19521557014995,-0.169149233686199,0.25087424083867,-0.0270818500777955,-0.0271443275278578,NA,0.00231657698033599,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",4814.59044220925,20.5731677175891,3.4087361979925e-05,1.86026767216678e-05,0.0425274640072523,1.27992232788017,-0.176878386690543,0.0499411478532485,NA,-0.0278105700423916,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * pos",4814.87712166642,20.8598471747582,2.9535323995587e-05,1.61184689059599e-05,0.0424235635031685,2.14330008686554,-0.283311954341306,NA,NA,-0.269511994837116,NA,NA,NA,NA,NA,0.0286418216764963,NA
"preserved ~ stimlen + log_freq",4815.20341029581,21.1861358041524,2.50893299932856e-05,1.36921330346186e-05,0.0415801442068925,1.277878016344,-0.190351980514014,0.049754206651451,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",4816.15949134592,22.1422168542622,1.55553111106333e-05,8.48908237799379e-06,0.0426836367402781,1.27057392832662,-0.175493800003641,0.0711800349615832,NA,-0.0287322865013142,-0.00556001168375811,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos",4819.7821797873,25.7649052956376,2.54227134089624e-06,1.38740721330403e-06,0.0399184599462415,1.40438446831603,-0.192950261086326,NA,NA,-0.0275327691392022,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen",4820.347143083,26.3298685913414,1.91664500108123e-06,1.04598083495909e-06,0.0389866761828388,1.40185578287309,-0.206223994115706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",4869.73369361263,75.7164191209677,3.61733302327858e-17,1.97410632322603e-17,0.0238591639580879,0.374827500442996,NA,0.15966166344518,NA,-0.250259343299298,-0.0308450042234837,NA,0.0202292689955767,0.00248315351083346,NA,NA,NA
"preserved ~ pos + log_freq",4874.30108335174,80.2838088600793,3.68631474109292e-18,2.01175208170277e-18,0.0199684249938896,0.104455783923899,NA,0.088280129867862,NA,-0.0767740344019116,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos * log_freq",4874.32134380705,80.3040693153935,3.6491600440584e-18,1.9914754519644e-18,0.0206982089822564,0.104116567775525,NA,0.132426897128333,NA,-0.077872539564813,-0.0117470682783099,NA,NA,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",4891.08183054993,97.0645560582661,8.36949892180258e-22,4.56753100625192e-22,0.0137663296356934,0.401378562557287,NA,NA,NA,-0.251860227375994,NA,NA,0.0195076608598967,NA,NA,NA,NA
"preserved ~ pos",4896.96655516957,102.949280677912,4.41415666478886e-23,2.40896111239767e-23,0.0108420909771895,0.137483513699198,NA,NA,NA,-0.0844418624118295,NA,NA,NA,NA,NA,NA,NA
"preserved ~ 1",4924.04949678937,130.032222297714,5.80579494944946e-29,3.16842724938661e-29,2.96888371455098e-16,-0.183040131708796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
