"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ stimlen * (I(pos^2) + pos)",2872.95922267004,0,1,0.856738875541247,0.0341129571343395,0.917116052693721,0.273042197473786,NA,NA,0.957976048568679,NA,NA,-0.0775600440901293,NA,NA,-0.168905182954935,0.0134345504711613
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",2879.04266290217,6.08344023212931,0.0477526786586884,0.0409115762181272,0.0322146598782579,3.46955198903576,-0.078895715860218,-0.134663513297257,NA,-0.258007911291682,0.114181294602052,NA,0.0139024959452064,-0.0130413820916377,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",2880.07955533311,7.12033266307026,0.0284340948341875,0.024360594435275,0.032662551658989,3.44925027274217,-0.0787555179355157,-0.00310236323095416,-0.017918329879916,-0.256985191885434,NA,0.113010708523291,0.0140851899534535,NA,-0.0123116815455189,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",2881.24159395338,8.28237128334513,0.0159039838955439,0.0136255612792944,0.0293294124331535,3.52689880153133,-0.0829888447367419,0.0532143588163008,NA,-0.28136220641821,NA,NA,0.0171669411641622,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + I(pos^2) + pos",2881.31380099843,8.35457832838983,0.0153400355711712,0.013142404826008,0.0302271430307777,3.4771533452801,-0.0799986722311018,0.23781660517798,-0.022960261333731,-0.275741924305689,NA,NA,0.0165584790037538,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",2881.89655366811,8.93733099806786,0.0114626025023242,0.00982045717861756,0.0299558111592301,2.88671483134081,NA,-0.109665814032854,NA,-0.244486226711052,0.113401919498675,NA,0.00970780460600539,-0.0133474898532766,NA,NA,NA
"preserved ~ stimlen * log_freq + pos",2882.03051471286,9.07129204281728,0.0107199796527179,0.00918422331349462,0.0289619113855736,3.13988293477701,-0.0695665869336659,0.246495118141361,-0.0239868311101999,-0.126901306618139,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",2882.17073130286,9.2115086328231,0.00999416040147505,0.00856238574433859,0.0279645939731041,3.17927257271997,-0.0723775710802166,0.0537760655823463,NA,-0.12697116572677,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos",2883.14904842708,10.1898257570433,0.00612784047811634,0.00524995916071753,0.0275085407485429,3.65307297044759,-0.0995978832217343,NA,NA,-0.282955634585014,NA,NA,0.0173838586545607,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",2883.86403905777,10.904816387731,0.00428597080414713,0.00367195780734763,0.0281075401867985,3.17042763372691,-0.0700596892844062,0.0823483976860034,NA,-0.129751377929136,-0.00651335661586944,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * pos",2883.88257660895,10.9233539389093,0.0042464286393968,0.00363808049758296,0.0271665293196887,2.62972072808108,-0.00887900515958609,NA,NA,0.0761373656070088,NA,NA,NA,NA,NA,-0.0233571550351093,NA
"preserved ~ stimlen * log_freq + pos * log_freq",2884.02663731379,11.0674146437541,0.00395131311207146,0.00338524355254749,0.0289637177527226,3.13998594165533,-0.0697540279449397,0.246714782649596,-0.0244564056431601,-0.126585380419678,NA,0.000809850616083338,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos",2884.16091827912,11.2016956090774,0.0036947299794265,0.00316541880800239,0.0261038618228611,3.3020274335155,-0.0890178565081909,NA,NA,-0.126556837323134,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos + log_freq",2884.47874827606,11.5195256060242,0.00315185912127568,0.00270032023942615,0.0259555735551982,2.70384343745161,NA,0.0673343605637461,NA,-0.148890217070417,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos * log_freq",2885.8391304328,12.8799077627564,0.00159648030638596,0.00136776674251685,0.0262539853248969,2.71347483419115,NA,0.107958335320524,NA,-0.151979190270114,-0.00939779215665269,NA,NA,NA,NA,NA,NA
"preserved ~ pos",2889.12062530455,16.1614026345114,0.000309453933915305,0.000265121215374414,0.0228541554807941,2.723778078945,NA,NA,NA,-0.155480390368022,NA,NA,NA,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",2889.58679460279,16.6275719327473,0.000245114290005521,0.000209998941198421,0.0235708090614542,2.92200289575584,NA,NA,NA,-0.267860847564874,NA,NA,0.0122336642323472,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",2907.75285283438,34.7936301643404,2.78393574410062e-08,2.38510597897985e-08,0.0160044328916815,3.16849261158452,-0.139415919170462,0.246101422314737,-0.0240623323046506,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + log_freq",2907.92172252161,34.9624998515674,2.55852473801475e-08,2.19198760709122e-08,0.0149871098491497,3.20789402764168,-0.142262135163931,0.0525470991906246,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen",2909.76345409826,36.8042314282229,1.01873843141368e-08,8.72792818200009e-09,0.013183837915219,3.32787257151747,-0.158312865041872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ 1",2935.74502297267,62.7858003026299,2.32400304818832e-14,1.99106375825929e-14,0,2.0882545225134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
