Model,AIC,DeltaAIC,AICexp,AICwt,NagR2,(Intercept),CumErr,I(pos^2),pos,stimlen,CumPres
preserved ~ CumErr + stimlen,2813.86724,0,1,0.986595443,0.058627997,3.123845804,-0.656824463,NA,NA,-0.101328759,NA
preserved ~ CumErr + I(pos^2) + pos,2816.201587,0,1,0.958173237,0.058474576,2.901279919,-0.630629635,0.021085585,-0.252266652,NA,NA
preserved ~ CumErr + pos,2818.550037,0,1,0.876236874,0.056478092,2.570138322,-0.616362547,NA,-0.062395377,NA,NA
preserved ~ CumErr,2822.464571,6.262984416,0.04365261,0.041826763,0.053759282,2.348074636,-0.702411005,NA,NA,NA,NA
preserved ~ CumErr,2822.464571,8.597330696,0.01358668,0.013404557,0.053759282,2.348074636,-0.702411005,NA,NA,NA,NA
preserved ~ CumErr,2822.464571,0,1,0.652707489,0.053759282,2.348074636,-0.702411005,NA,NA,NA,NA
preserved ~ CumErr,2822.464571,3.914533992,0.141243914,0.123763126,0.053759282,2.348074636,-0.702411005,NA,NA,NA,NA
preserved ~ CumErr + CumPres,2823.726494,1.261923371,0.532079861,0.347292511,0.054098771,2.403189784,-0.69548478,NA,NA,NA,-0.022500757
preserved ~ pos,2889.120625,70.57058834,4.74E-16,4.15E-16,0.022854155,2.723778079,NA,NA,-0.15548039,NA,NA
preserved ~ I(pos^2) + pos,2889.586795,73.38520806,1.16E-16,1.11E-16,0.023570809,2.922002896,NA,0.012233664,-0.267860848,NA,NA
preserved ~ stimlen,2909.763454,95.89621384,1.50E-21,1.48E-21,0.013183838,3.327872572,NA,NA,NA,-0.158312865,NA
preserved ~ CumPres,2933.371759,110.9071878,8.26E-25,5.39E-25,0.002066272,2.221960617,NA,NA,NA,NA,-0.052318367
,,,,,,,,,,,
,2.33434628,,,,,,,,,,
