"Description","ParameterValue"
"min preserved",0.724908817850247
"max preserved",0.988028320102982
"mean change in probability for each additional length: ",-0.0104132028988073
"mean change in probability for each additional position (excluding  U-shape): ",-0.0143323022145722
"U-shape",1
"Average upward change after U minimum",0.0120052955970394
"Proportion of average downward change",0.837639021094126
"row with biggest return upward",7
"downward distance for row with the largest upward value",0.164615141949376
"return upward value",0.0545036572076505
"Return upward as a proportion of the downward distance:",0.331097471120925
