"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ stimlen + I(pos^2) + pos + log_freq",2541.87492339106,0,1,0.28196137501556,0.123957997247889,5.27175295552899,-0.0900720590570068,0.0453928688587768,NA,-0.794490497751979,NA,NA,0.047444063985839,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos",2542.3810374472,0.506114056139268,0.776423602621895,0.218921466589805,0.122800191540436,5.38270242473611,-0.104341708474897,NA,NA,-0.797161275090172,NA,NA,0.0477433614801625,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + I(pos^2) + pos",2542.63971963332,0.764796242263401,0.682223391583132,0.192360645558559,0.124528395589716,5.22245448606959,-0.0877407701811194,0.216098851619156,-0.0206311587540744,-0.786589522462331,NA,NA,0.0466848568002475,NA,NA,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",2542.81665320145,0.941729810396282,0.624461934274543,0.176074145632927,0.124446700741461,7.92159588144257,-0.399415605695904,NA,NA,-2.13277319943396,NA,NA,0.199027972908884,NA,NA,0.151705584361573,-0.0168530731589553
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",2544.95313922667,3.07821583561645,0.214572432318566,0.0605011380569762,0.124383679207007,5.2249075088654,-0.0839551825935572,0.0994887969654472,NA,-0.788558906835784,-0.00619424038955132,NA,0.0461896837633054,-0.000711509972636392,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",2546.39200215903,4.517078767974,0.104503012108593,0.0294658129874067,0.124642767380807,5.21214505643128,-0.0850738276811352,0.217821436548252,-0.0158559522791466,-0.786560926492987,NA,-0.00808796891089282,0.0463140246973416,NA,2.17019123477567e-05,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",2547.1012997993,5.22637640824496,0.0733004739569172,0.0206679024261846,0.122467306794243,4.61363156338387,NA,0.132621080738429,NA,-0.777689090016765,-0.0091657190553189,NA,0.0420156296609799,-0.000862924861939428,NA,NA,NA
"preserved ~ I(pos^2) + pos",2547.35466981123,5.47974642017198,0.0645785342809269,0.0182086523223396,0.119574754710739,4.62967270056741,NA,NA,NA,-0.786978912059085,NA,NA,0.0428527259277261,NA,NA,NA,NA
"preserved ~ stimlen * pos",2552.68119848045,10.8062750893873,0.00450243217584364,0.00126951196721518,0.118034267412261,5.94959683085049,-0.278877414597743,NA,NA,-0.769198055496965,NA,NA,NA,NA,NA,0.0501452356230652,NA
"preserved ~ pos * log_freq",2557.8142251987,15.9393018076426,0.000345799682173225,9.75021538655063e-05,0.115654789055655,3.74767200681354,NA,0.157496791792695,NA,-0.3580004918224,-0.0198180178218088,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",2557.93104745082,16.0561240597604,0.000326179723352288,9.19700832986062e-05,0.115600600486291,4.10251831038878,-0.0600734073750302,0.0477968121381008,NA,-0.33055147225601,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos",2558.06822299671,16.1932996056553,0.000304557759379324,8.58735246062523e-05,0.116464499442956,4.06520128675817,-0.057596617859687,0.251177464833738,-0.0246751776387495,-0.330275218886977,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",2558.14011623167,16.2651928406162,0.000293804369989131,8.2841484147716e-05,0.116431165583372,4.07429229749696,-0.0521607433596784,0.135897495585157,NA,-0.338928111512488,-0.0172512407155671,NA,NA,NA,NA,NA,NA
"preserved ~ pos + log_freq",2558.20841098315,16.3334875920873,0.00028394108285984,8.00604181465677e-05,0.11454393045099,3.72205396606244,NA,0.0576924168965353,NA,-0.35146814529817,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos",2558.69915527828,16.8242318872199,0.000222159282725562,6.264033682977e-05,0.114316155109105,4.21141303774744,-0.0749862070860729,NA,NA,-0.330123171767277,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",2559.4765470273,17.601623636237,0.000150610756910831,4.24664161107123e-05,0.116738812756528,4.06144112138934,-0.0537283666597353,0.245069205150255,-0.0168706236319266,-0.335595159809407,NA,-0.0114006032197034,NA,NA,NA,NA,NA
"preserved ~ pos",2560.45816371036,18.5832403193031,9.21935709107282e-05,2.59950260215835e-05,0.112570548057779,3.74238600007093,NA,NA,NA,-0.357873543379625,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",2719.9557288834,178.080805492346,2.1391656730235e-39,6.03162094551792e-40,0.0389615271791901,4.1850210205922,-0.257821879391118,0.25403760117571,-0.0253409071704237,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + log_freq",2720.01141744645,178.136494055394,2.08042375030236e-39,5.86599141250282e-40,0.0379698743373154,4.22234710386115,-0.260426186233478,0.0440329383567604,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen",2720.49246712388,178.617543732823,1.63566060148923e-39,4.61193112254682e-40,0.0367723771499174,4.32283287730907,-0.273954160184194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ 1",2793.96855842549,252.093635034431,1.81368846457021e-55,5.11390093320078e-56,2.27172905032782e-16,2.14544830158524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
