"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos","stimlen","CumPres"
"preserved ~ CumErr + I(pos^2) + pos",1863.27128036164,0,1,0.999999997873934,0.412371498416706,4.69320680667042,-1.93849379017448,0.0777638844957128,-0.83667007888682,NA,NA
"preserved ~ CumErr + pos",1890.31499132725,0,1,0.998417454832048,0.400930327537272,3.36430469617895,-1.93539026142321,NA,-0.121249048426285,NA,NA
"preserved ~ CumErr + stimlen",1899.39956949104,0,1,0.870439238204812,0.397335222086282,3.61992507096788,-2.02798723585678,NA,NA,-0.094039132453623,NA
"preserved ~ CumErr + CumPres",1900.70156338296,0,1,0.777965781923921,0.39681933146023,3.08018801822444,-2.06731037907131,NA,NA,NA,-0.0672536363308603
"preserved ~ CumErr",1903.20926545423,39.9379850925898,2.126065929838e-09,2.12606592531785e-09,0.395031992066905,2.89642061527322,-2.06792822912752,NA,NA,NA,NA
"preserved ~ CumErr",1903.20926545423,3.80969596318755,0.148845268122785,0.129560761795188,0.395031992066905,2.89642061527322,-2.06792822912752,NA,NA,NA,NA
"preserved ~ CumErr",1903.20926545423,2.50770207127152,0.285403578454292,0.222034218076079,0.395031992066905,2.89642061527322,-2.06792822912752,NA,NA,NA,NA
"preserved ~ CumErr",1903.20926545423,12.8942741269764,0.00158505358684689,0.00158254516795208,0.395031992066905,2.89642061527322,-2.06792822912752,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",2547.35466981123,684.08338944959,2.83909157009189e-149,2.8390915640558e-149,0.119574754710739,4.62967270056741,NA,0.0428527259277261,-0.786978912059085,NA,NA
"preserved ~ pos",2560.45816371036,670.143172383107,3.02175378268805e-146,3.01697172084051e-146,0.112570548057779,3.74238600007093,NA,NA,-0.357873543379625,NA,NA
"preserved ~ stimlen",2720.49246712388,821.092897632839,5.03434198533912e-179,4.38208880258109e-179,0.0367723771499174,4.32283287730907,NA,NA,NA,-0.273954160184194,NA
"preserved ~ CumPres",2795.12709052695,894.425527143991,5.99742111007421e-195,4.66578840342591e-195,0.000413654617696425,2.20524541154554,NA,NA,NA,NA,-0.0228219711477639
