"Description","ParameterValue"
"min preserved",0.68375
"max preserved",1.02875
"mean change in probability for each additional length: ",-0.00748434060006935
"mean change in probability for each additional position (excluding  U-shape): ",-0.0292137048960966
"U-shape",1
"Average upward change after U minimum",0.00281334302635927
"Proportion of average downward change",0.0963021649039516
"row with biggest return upward",7
"downward distance for row with the largest upward value",0.238640367909452
"return upward value",0.00281334302635927
"Return upward as a proportion of the downward distance:",0.0117890491495837
