"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ stimlen * log_freq + pos",5163.22552641277,0,1,0.429552627249811,0.0538640215194534,0.413182791479318,-0.089919918156726,0.231660192506566,-0.0242214090859022,0.205457778052635,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + I(pos^2) + pos",5164.84826801507,1.62274160229663,0.444248672049468,0.190828184231089,0.0539868954114824,0.485829795821786,-0.0920696610304925,0.229236455982269,-0.0239296252025744,0.168476227527613,NA,NA,0.00448190570657827,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",5165.21971029178,1.99418387901005,0.368950813894538,0.158483791434355,0.053865915930381,0.413094574217211,-0.0898266867821734,0.231827608321528,-0.0239150444992288,0.205279987878805,NA,-0.000688597659479078,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",5166.57592913204,3.35040271927119,0.187270466972209,0.0804425210942113,0.0521201418464702,0.483664855801541,-0.096219741177665,0.0442287094596945,NA,0.205361803696592,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",5167.76035521664,4.53482880386673,0.103579649491366,0.0444929105686306,0.0523861152648143,0.47363993456657,-0.0944125861224036,0.0722211136318908,NA,0.20336958285106,-0.007589637454897,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",5168.05235384294,4.82682743016358,0.0895092134806521,0.0384489178136783,0.0522908954262997,0.567826918929668,-0.0986325953886574,0.0441124457268454,NA,0.161912350223986,NA,NA,0.0052651392750995,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",5168.84267592641,5.61714951364047,0.0602908603239751,0.0258980974513149,0.0539887166803821,0.486066800817575,-0.0920902911911679,0.233807707956617,-0.0240430933480287,0.168200936885697,NA,-0.00240341330123778,0.00453250489962723,NA,0.000287707790425691,NA,NA
"preserved ~ stimlen + pos",5170.54509367616,7.31956726338649,0.0257380810289475,0.0110558603263529,0.0501718460399425,0.594490451779981,-0.110583690759032,NA,NA,0.205081632427263,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",5171.32884846594,8.10332205316354,0.017393459633045,0.00747140628233801,0.0525268156074862,0.543509459081031,-0.0964239246162997,0.0571492971317593,NA,0.167866428109385,0.00118635015364798,NA,0.00426143565113587,-0.000970819497859982,NA,NA,NA
"preserved ~ stimlen * pos",5171.60656468552,8.38103827274972,0.0151384239262537,0.00650274976994365,0.0504783673473948,0.855810788867391,-0.142578987670292,NA,NA,0.116049553147319,NA,NA,NA,NA,NA,0.0105605622963406,NA
"preserved ~ stimlen + I(pos^2) + pos",5171.9893590835,8.76383267072561,0.0125013788174284,0.0053700001152715,0.0503533562584615,0.68086146332503,-0.113035628423221,NA,NA,0.160372052966653,NA,NA,0.0054174455332619,NA,NA,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",5174.6424257987,11.4168993859294,0.00331781218743455,0.00142517494183395,0.0507931782949186,0.431967304175033,-0.0895922556114955,NA,NA,0.423101846060558,NA,NA,-0.0424866759928869,NA,NA,-0.0266908036684364,0.00500946264641551
"preserved ~ pos + log_freq",5183.88835306015,20.6628266473763,3.25929899902459e-05,1.40004044802369e-05,0.0458062216465191,-0.157908812376875,NA,0.0656140631306562,NA,0.179544649766469,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos * log_freq",5184.20684221949,20.9813158067136,2.77949028900552e-05,1.19393735605766e-05,0.0463571735492093,-0.154639455228997,NA,0.105046812498627,NA,0.177266229377731,-0.0108846461686555,NA,NA,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",5188.01672057105,24.7911941582743,4.13676250722326e-06,1.77695720328627e-06,0.0464194529620407,-0.168099956775437,NA,0.0852315763207149,NA,0.186776464028212,0.00210078129410591,NA,-0.00123080877525261,-0.00157111288034855,NA,NA,NA
"preserved ~ pos",5196.13704935365,32.9115229408799,7.13433663697355e-08,3.06457304609657e-08,0.0411283354392556,-0.133163604727122,NA,NA,NA,0.172697758366945,NA,NA,NA,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",5198.12532891984,34.8998025070705,2.64000151340392e-08,1.13401958602613e-08,0.0411321901059047,-0.14318774386164,NA,NA,NA,0.179195746241874,NA,NA,-0.000776568830157141,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",5311.82401108819,148.598484675421,5.39820089839053e-33,2.31881137832594e-33,0.0038813032814217,0.437156360191476,0.00761055581325146,0.225756764607728,-0.0235628620500171,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + log_freq",5315.06065431435,151.835127901574,1.07009145631889e-33,4.59660596459353e-34,0.00210938979736679,0.505884129584245,0.00142028589649476,0.0427769935704758,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ 1",5317.28578292322,154.060256510447,3.51755064029071e-34,1.51097311902113e-34,0,0.516001824851307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen",5318.86471518656,155.639188773787,1.59727455695492e-34,6.86113482379263e-35,0.000142782135780581,0.612773713420916,-0.012564338790736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
