"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ pos * log_freq",2303.8840860732,0,1,0.194513125776204,0.0285422996311514,2.03715186294908,NA,0.234075122220319,NA,0.137488846987283,-0.0244927599708307,NA,NA,NA,NA,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",2304.08076619839,0.196680125196053,0.906340638789875,0.17629515066902,0.0306076972201772,1.92927149020092,NA,0.0805355419457768,NA,0.21247143342109,0.0814504301127033,NA,-0.00925607670384464,-0.0131745350795572,NA,NA,NA
"preserved ~ pos + log_freq",2304.44274170571,0.558655632515183,0.756291937781028,0.14710870881713,0.027151812038087,1.99732577780124,NA,0.15301923726655,NA,0.151251974169264,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos",2305.10092440616,1.21683833296083,0.544210495625441,0.105856084584322,0.0289677427554284,2.11921994886627,-0.0210719087753751,0.399925445114706,-0.0325880856308495,0.15504963071457,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",2305.79917161011,1.91508553691028,0.383834899351335,0.074660926054823,0.0285884320545237,2.11012664815584,-0.0109002683859851,0.230200310016552,NA,0.140350718903723,-0.0240819411740925,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",2305.93432617687,2.05024010366787,0.358753393817733,0.0697822440143088,0.0296013425438282,2.12172558227389,-0.0169666409439001,0.410326107516822,-0.0263039129268657,0.145163111561291,NA,-0.0175002158856052,NA,NA,NA,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",2306.04869371676,2.16460764355907,0.338814058602765,0.0659037815957459,0.0306251066192189,1.97917228059884,-0.00679243638711918,0.0785308674020034,NA,0.211209746070265,0.0814267502493984,NA,-0.00887738846893373,-0.0131382959899722,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",2306.2611703533,2.37708428009819,0.304665099510151,0.0592613608206378,0.0272505127083466,2.10479038197411,-0.0158674728608979,0.149343712455747,NA,0.155003306162522,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",2306.83699875564,2.95291268243864,0.228445789648995,0.0444357046150393,0.0312827387715868,1.99891598899451,-0.012381883592888,0.236009959815842,-0.0214273186074268,0.210781859143884,NA,0.0789810020087606,-0.00828089870527841,NA,-0.0121367468281686,NA,NA
"preserved ~ stimlen * log_freq + I(pos^2) + pos",2307.04477650947,3.16069043627067,0.205904004137742,0.0400510314546688,0.0289982415090357,2.07393248069606,-0.0197944539187488,0.401055227675183,-0.0327246938278895,0.17984529646136,NA,NA,-0.00311658903871001,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",2308.23226320121,4.34817712800896,0.113711747433775,0.0221184274308178,0.0272662260182857,2.0724421584194,-0.0149555611165086,0.149389954839175,NA,0.172750354138272,NA,NA,-0.00222840117019697,NA,NA,NA,NA
"preserved ~ stimlen * (I(pos^2) + pos)",2324.76252978052,20.8784437073218,2.92619695191773e-05,5.69183715754319e-06,0.0193548330693088,0.178408176052133,0.227628521184484,NA,NA,1.59607662361239,NA,NA,-0.164532370684081,NA,NA,-0.180882176639754,0.0202217835743233
"preserved ~ stimlen * pos",2326.13738244669,22.2532963734902,1.47149262711734e-05,2.86224630457233e-06,0.0164217140731289,1.72884176523056,0.0233828043517062,NA,NA,0.418266502982514,NA,NA,NA,NA,NA,-0.0311973179715594,NA
"preserved ~ stimlen + pos",2326.78573793752,22.9016518643198,1.0640682491607e-05,2.0697524118346e-06,0.0149751556851932,2.44245525911884,-0.063539807891927,NA,NA,0.154030858429797,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos",2327.99439815021,24.1103120770113,5.81449838186955e-06,1.13099625507813e-06,0.0132213844862894,2.01602154425013,NA,NA,NA,0.136998932394555,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos",2328.76874330879,24.8846572355883,3.94789268928686e-06,7.67916947222213e-07,0.0149844411025976,2.41781805892854,-0.0628531628530696,NA,NA,0.167575845188473,NA,NA,-0.0016998499809731,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",2329.83571240095,25.9516263277555,2.31566613648064e-06,4.50427458460956e-07,0.0133081481500869,1.95562374728321,NA,NA,NA,0.178486429945353,NA,NA,-0.00514560272883141,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",2330.59767057295,26.7135844997529,1.58204499073018e-06,3.07728516265513e-07,0.0139849573206997,2.16463577870762,0.045454058395823,0.398104495751599,-0.032468602573356,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + log_freq",2331.74677600079,27.8626899275932,8.90622693010617e-07,1.73237803904716e-07,0.0122630388304492,2.14968808347591,0.0506913451143475,0.148296136963612,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ 1",2350.10880632354,46.2247202503454,9.17127115549109e-11,1.78393261979571e-11,0,2.50731236676177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen",2352.10138138592,48.2172953127247,3.38647096731908e-11,6.58713053203601e-12,4.0821053278982e-06,2.48493006315014,0.00291287463753468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
